date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-10-07,01:09.57,Waldo,conc_concept,WR,Map,record,first_record,,,,2534361,76561198020256631,[U:1:59990903],
2023-10-07,00:55.02,Waldo,conc_concept,WR,Map,record,map_record,,-00:14.55,00:14.55,2534361,76561198020256631,[U:1:59990903],
2023-10-07,00:52.11,Waldo,conc_concept,WR,Map,record,map_record,,-00:02.91,00:02.91,2534492,76561198020256631,[U:1:59990903],
2023-10-07,00:51.54,newjuls,conc_concept,WR,Map,record,map_record,,-00:00.57,00:01.71,2534544,76561198396018338,[U:1:435752610],
2023-10-07,00:49.35,Waldo,conc_concept,WR,Map,record,map_record,,-00:02.76,00:02.76,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:49.18,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.16,00:00.16,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:47.22,Waldo,conc_concept,WR,Map,record,map_record,,-00:01.96,00:01.96,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:46.90,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.31,00:00.31,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:46.72,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.18,00:00.18,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:45.84,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.88,00:00.88,2534781,76561198020256631,[U:1:59990903],
2023-10-07,00:44.71,vice,conc_concept,WR,Map,record,map_record,,-00:01.12,00:07.36,2534863,76561198366368448,[U:1:406102720],
2023-11-03,00:44.70,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.25,00:00.25,2574228,76561198020256631,[U:1:59990903],
2023-11-03,00:44.49,Waldo,conc_concept,WR,Map,record,map_record,,-00:00.21,00:00.21,2574228,76561198020256631,[U:1:59990903],
2023-11-08,00:43.60,newjuls,conc_concept,WR,Map,record,map_record,,-00:00.88,00:02.05,2581388,76561198396018338,[U:1:435752610],
2025-08-25,00:43.05,kjr,conc_concept,WR,Map,record,map_record,,-00:00.70,00:00.70,3464727,76561198206903132,[U:1:246637404],
2025-08-26,00:42.38,newjuls,conc_concept,WR,Map,record,map_record,,-00:00.68,00:01.23,3466225,76561198396018338,[U:1:435752610],
