date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534255,,,
2023-10-07,01:06.75,Waldo,conc_concept,WR,IRCSet,,,,false,2534255,,,
2023-10-07,01:02.37,The Savage Eleph,conc_concept,WR,MapRun,01:10.29,+00:07.92,00:07.86,true,2534361,,,
2023-10-07,01:06.75,Waldo,conc_concept,WR,FirstRecord,,,,false,2534361,76561198020256631,[U:1:59990903],
2023-10-07,01:06.75,The Savage Eleph,conc_concept,WR,MapRun,01:18.15,+00:11.40,,true,2534361,,,
2023-10-07,01:06.75,Waldo,conc_concept,WR,IRCSet,,,,false,2534369,,,
2023-10-07,01:06.75,Waldo,conc_concept,WR,IRCSet,,,,false,2534380,,,
2023-10-07,01:06.75,Waldo,conc_concept,WR,IRCSet,,,,false,2534384,,,
2023-10-07,01:06.75,Elaine,conc_concept,WR,MapRun,01:16.51,+00:09.76,,true,2534384,76561198066589108,[U:1:106323380],
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534421,,,
2023-10-07,00:55.20,james17,conc_concept,WR,MapRecord,,-00:03.03,00:05.25,false,2534431,76561198362678073,[U:1:402412345],
2023-10-07,00:59.88,james17,conc_concept,WR,MapRun,01:59.70,+00:59.82,,true,2534431,76561198362678073,[U:1:402412345],
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534446,,,
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534455,,,
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534457,76561198362678073,[U:1:402412345],
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534465,,,
2023-10-07,00:59.88,Laplus Darkness,conc_concept,WR,MapRun,01:37.38,+00:37.50,,true,2534465,76561198111108219,[U:1:150842491],
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534492,,,
2023-10-07,00:55.20,james17,conc_concept,WR,IRC,,-00:03.03,,false,2534495,,,
