date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881590,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881480,76561198020256631,[U:1:59990903],
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881646,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881648,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881665,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881662,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,FirstRecord,,,,false,2881668,76561198020256631,[U:1:59990903],
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881660,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881658,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881652,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881623,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881568,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881655,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881685,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881685,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881685,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881485,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881485,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881485,,,
2024-05-31,00:35.19,Waldo,df_recapture_final,WR,IRCSet,,,,false,2881485,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881737,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881737,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881737,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881744,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881744,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881744,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881751,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881751,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881751,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881717,,,
2024-05-31,00:29.79,•͜•,df_recapture_final,WR,IRC,,-00:00.42,,false,2881717,,,
2024-05-31,00:27.40,•͜•,df_recapture_final,WR,IRC,,-00:02.20,,false,2881735,,,
2024-05-31,00:29.61,•͜•,df_recapture_final,WR,IRC,,-00:00.18,,false,2881735,,,
