date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-07-10,04:44.07,cody,jump_4demo_fixed5,WR,Map,record,map_record,,-00:17.14,00:17.14,10248,76561198078488228,STEAM_0:0:59111250,
2014-07-10,04:31.13,cody,jump_4demo_fixed5,WR,Map,record,map_record,,-00:12.93,00:12.93,10248,76561198078488228,STEAM_0:0:59111250,
2014-08-09,04:18.69,Afterglow -tt,jump_4demo_fixed5,WR,Map,record,map_record,,-00:12.43,01:33.82,14710,76561198047849609,STEAM_0:1:43791940,
2014-08-12,03:45.63,cody,jump_4demo_fixed5,WR,Map,record,map_record,,-00:33.06,00:45.50,15224,76561198078488228,STEAM_0:0:59111250,
2014-11-22,03:23.74,Soup Can,jump_4demo_fixed5,WR,Map,record,map_record,,-00:21.89,00:30.26,32115,76561198029285343,[U:1:69019615],
2015-07-01,03:07.46,Soup Can,jump_4demo_fixed5,WR,Map,record,map_record,,-00:16.27,00:16.27,112752,76561198029285343,[U:1:69019615],
2018-03-15,02:29.05,unknown,jump_4demo_fixed5,WR,Map,observed,wr_split,,,,,,,
2018-03-15,02:26.06,gancho,jump_4demo_fixed5,WR,Map,record,map_record,,-00:02.98,00:03.64,599607,76561198050815941,[U:1:90550213],
2018-03-15,02:21.38,Soup -tt,jump_4demo_fixed5,WR,Map,record,map_record,,-00:04.68,00:07.66,599902,76561198029285343,[U:1:69019615],
2018-09-06,02:18.53,newjuls,jump_4demo_fixed5,WR,Map,record,map_record,,-00:02.85,00:05.64,754388,76561198396018338,[U:1:435752610],
2018-09-06,02:14.94,newjuls,jump_4demo_fixed5,WR,Map,record,map_record,,-00:03.59,00:03.59,754388,76561198396018338,[U:1:435752610],
2018-09-06,02:11.15,newjuls,jump_4demo_fixed5,WR,Map,record,map_record,,-00:03.78,00:03.78,754388,76561198396018338,[U:1:435752610],
2018-09-06,02:10.87,newjuls,jump_4demo_fixed5,WR,Map,record,map_record,,-00:00.28,00:00.28,754388,76561198396018338,[U:1:435752610],
2020-04-13,02:09.06,pi,jump_4demo_fixed5,WR,Map,record,map_record,,-00:01.80,00:01.82,1223726,76561198222006144,[U:1:261740416],
2021-09-27,02:07.00,phancy,jump_4demo_fixed5,WR,Map,record,map_record,,-00:02.06,00:09.04,1714955,76561198116189732,[U:1:155924004],
