date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-01,01:20.11,vice,jump_4holers_fix,WR,IRC,,-00:04.98,,false,1578008,76561198366368448,[U:1:406102720],
2021-05-01,01:25.09,Matty,jump_4holers_fix,WR,IRC,,-00:04.38,,false,1578008,,,
2021-05-01,01:29.47,Matty,jump_4holers_fix,WR,IRC,,-00:23.31,,false,1578008,,,
2021-05-01,01:25.09,Matty,jump_4holers_fix,WR,IRC,,-00:04.38,,false,1578092,,,
2021-05-01,01:29.47,Matty,jump_4holers_fix,WR,IRC,,-00:23.31,,false,1578092,,,
2021-05-01,01:20.11,vice,jump_4holers_fix,WR,IRC,,-00:04.98,,false,1578113,,,
2021-05-01,01:25.09,Matty,jump_4holers_fix,WR,IRC,,-00:04.38,,false,1578113,,,
2021-05-01,01:29.47,Matty,jump_4holers_fix,WR,IRC,,-00:23.31,,false,1578113,,,
2021-05-01,01:25.09,Matty,jump_4holers_fix,WR,MapRecord,,-00:04.38,00:04.38,false,1578153,76561198035204545,[U:1:74938817],
2021-05-01,01:29.47,Matty,jump_4holers_fix,WR,MapRecord,,-00:23.31,06:57.82,false,1578153,76561198035204545,[U:1:74938817],
2021-05-01,01:20.11,vice,jump_4holers_fix,WR,MapRecord,,-00:04.98,,false,1578198,76561198366368448,[U:1:406102720],
2021-05-01,00:05.49,phancy,jump_4holers_fix,WR,Bonus 4,,-00:00.04,00:00.09,false,1578230,76561198116189732,[U:1:155924004],
2021-05-01,00:12.21,phancy,jump_4holers_fix,WR,Bonus 3,,-00:01.77,00:01.77,false,1578230,76561198116189732,[U:1:155924004],
2021-05-01,01:14.08,phancy,jump_4holers_fix,WR,MapRecord,,-00:06.03,00:45.36,false,1578230,76561198116189732,[U:1:155924004],
2021-05-01,01:20.11,koiso,jump_4holers_fix,WR,MapRun,10:10.96,+08:50.85,,true,1578230,76561198071601578,[U:1:111335850],
2021-05-01,01:20.12,IV,jump_4holers_fix,WR,MapRun,07:57.72,+06:37.60,,true,1578230,76561198036170813,[U:1:75905085],
2021-05-01,01:20.11,riot,jump_4holers_fix,WR,MapRun,03:26.74,+02:06.63,,true,1578233,76561198065169685,[U:1:104903957],
2021-05-01,01:14.08,phancy,jump_4holers_fix,WR,Compact,,,,false,1578316,,,
2021-05-01,01:14.08,phancy,jump_4holers_fix,WR,IRC,,-00:06.03,,false,1578316,,,
2021-05-01,01:14.08,Math,jump_4holers_fix,WR,MapRun,05:28.54,+04:14.46,,true,1578316,76561198053967778,[U:1:93702050],
2021-05-02,01:14.08,phancy,jump_4holers_fix,WR,IRC,,-00:06.03,,false,1578322,,,
2021-05-02,00:09.09,vice,jump_4holers_fix,WR,Bonus 5,,-00:00.55,00:00.72,false,1578494,76561198366368448,[U:1:406102720],
2021-05-02,00:09.64,cander,jump_4holers_fix,WR,Bonus 5,,-00:00.16,00:00.58,false,1578494,76561198318722879,[U:1:358457151],
2021-05-02,00:09.81,vice,jump_4holers_fix,WR,Bonus 5,,-00:00.37,00:00.94,false,1578494,76561198366368448,[U:1:406102720],
2021-05-02,01:11.86,Waldo,jump_4holers_fix,WR,Compact,,,,false,1578494,,,
2021-05-02,01:11.87,Moonstruck,jump_4holers_fix,WR,MapRun,15:09.81,+13:57.94,,true,1578494,76561198027443134,[U:1:67177406],
2021-05-02,01:11.87,mois,jump_4holers_fix,WR,MapRun,05:43.56,+04:31.69,,true,1578561,76561198081447195,[U:1:121181467],
2021-05-02,01:11.86,Katto -rng,jump_4holers_fix,WR,MapRun,08:29.86,+07:18.00,,true,1578599,76561198346669763,[U:1:386404035],
2021-05-02,01:11.86,bashed off me ch,jump_4holers_fix,WR,MapRun,03:19.72,+02:07.86,,true,1578599,,,
2021-05-02,01:11.87,bashed off me ch,jump_4holers_fix,WR,MapRun,01:33.15,+00:21.28,00:38.01,true,1578599,,,
2021-05-02,01:04.11,Matty,jump_4holers_fix,WR,IRC,,-00:02.98,,false,1578764,,,
2021-05-02,01:07.09,Matty,jump_4holers_fix,WR,IRC,,-00:02.61,,false,1578764,,,
2021-05-02,01:09.70,bashed off me ch,jump_4holers_fix,WR,IRC,,-00:01.62,,false,1578764,,,
2021-05-02,01:11.32,Matty,jump_4holers_fix,WR,IRC,,-00:00.54,,false,1578764,,,
2021-05-02,00:11.43,phancy,jump_4holers_fix,WR,Bonus 3,,-00:00.49,00:00.49,false,1578859,76561198116189732,[U:1:155924004],
2021-05-02,00:11.92,phancy,jump_4holers_fix,WR,Bonus 3,,-00:00.28,00:00.28,false,1578859,76561198116189732,[U:1:155924004],
2021-05-02,01:04.11,Matty,jump_4holers_fix,WR,IRC,,-00:02.98,,false,1578859,76561198035204545,[U:1:74938817],
2021-05-02,01:04.11,bashed off me ch,jump_4holers_fix,WR,MapRun,01:45.10,+00:40.99,,true,1578859,,,
2021-05-02,01:07.09,Matty,jump_4holers_fix,WR,IRC,,-00:02.61,,false,1578859,76561198035204545,[U:1:74938817],
2021-05-02,01:09.70,bashed off me ch,jump_4holers_fix,WR,MapRecord,,-00:01.62,00:12.72,false,1578859,,,
2021-05-02,01:11.32,Matty,jump_4holers_fix,WR,IRC,,-00:00.54,,false,1578859,76561198035204545,[U:1:74938817],
2021-05-02,01:11.32,Jamie c:,jump_4holers_fix,WR,MapRun,31:04.45,+29:53.13,,true,1578859,76561198120665449,[U:1:160399721],
2021-05-02,01:11.32,bashed off me ch,jump_4holers_fix,WR,MapRun,01:22.42,+00:11.10,00:02.25,true,1578859,,,
2021-05-02,01:11.32,bashed off me ch,jump_4holers_fix,WR,MapRun,01:24.67,+00:13.35,00:08.47,true,1578859,,,
2021-05-02,01:11.32,bashed off me ch,jump_4holers_fix,WR,MapRun,01:32.23,+00:20.91,,true,1578859,,,
2021-05-02,01:11.33,bashed off me ch,jump_4holers_fix,WR,MapRun,02:12.06,+01:00.73,,true,1578859,,,
2021-05-02,01:04.11,Matty,jump_4holers_fix,WR,MapRecord,,-00:02.98,00:02.98,false,1578913,76561198035204545,[U:1:74938817],
2021-05-02,01:07.09,Matty,jump_4holers_fix,WR,MapRecord,,-00:02.61,00:04.23,false,1578913,76561198035204545,[U:1:74938817],
2021-05-02,01:09.70,bashed off me ch,jump_4holers_fix,WR,IRC,,-00:01.62,,false,1578913,,,
2021-05-02,01:11.32,Matty,jump_4holers_fix,WR,MapRecord,,-00:00.54,00:13.77,false,1578913,76561198035204545,[U:1:74938817],
2021-05-02,01:11.32,.Luke.,jump_4holers_fix,WR,MapRun,05:47.26,+04:35.94,,true,1578913,76561198098414676,[U:1:138148948],
2021-05-02,01:11.86,Waldo,jump_4holers_fix,WR,Compact,,,,false,1578913,,,
2021-05-02,01:11.86,Waldo,jump_4holers_fix,WR,Compact,,,,false,1578913,,,
2021-05-03,01:04.11,Matty,jump_4holers_fix,WR,Compact,,,,false,1579159,,,
2021-05-03,00:05.13,song,jump_4holers_fix,WR,Bonus 4,,-00:00.22,00:00.40,false,1579310,76561198210286877,[U:1:250021149],
2021-05-03,00:07.12,song,jump_4holers_fix,WR,Bonus 2,,-00:00.03,00:00.12,false,1579310,76561198210286877,[U:1:250021149],
2021-05-03,00:07.29,song,jump_4holers_fix,WR,Bonus 1,,-00:00.52,00:00.52,false,1579310,76561198210286877,[U:1:250021149],
2021-05-03,00:07.81,song,jump_4holers_fix,WR,Bonus 1,,-00:00.07,,false,1579310,76561198210286877,[U:1:250021149],
2021-05-03,00:08.91,song,jump_4holers_fix,WR,Bonus 5,,-00:00.18,00:00.76,false,1579310,76561198210286877,[U:1:250021149],
2021-05-03,01:04.11,Zignotion,jump_4holers_fix,WR,MapRun,22:09.15,+21:05.04,,true,1579310,76561198225715416,[U:1:265449688],
2021-05-03,01:04.11,Matty,jump_4holers_fix,WR,Ranked,,,,true,1579403,,,
2021-05-03,01:04.11,gtlm.,jump_4holers_fix,WR,MapRun,26:26.44,+25:22.33,,true,1579403,76561198084798301,[U:1:124532573],
2021-05-03,01:04.11,˄˅𒈲𒄭𒄊,jump_4holers_fix,WR,MapRun,11:36.51,+10:32.40,,true,1579403,,,
2021-05-04,01:04.11,barp,jump_4holers_fix,WR,MapRun,01:23.43,+00:19.32,,true,1580459,76561198008003429,[U:1:47737701],
2021-05-04,01:04.11,barp,jump_4holers_fix,WR,MapRun,01:26.83,+00:22.72,,true,1580459,76561198008003429,[U:1:47737701],
2021-05-04,01:04.11,barp,jump_4holers_fix,WR,MapRun,01:48.60,+00:44.49,,true,1580459,76561198008003429,[U:1:47737701],
2021-05-04,01:04.11,❤Grama-Sama❤,jump_4holers_fix,WR,MapRun,09:28.74,+08:24.63,,true,1580459,76561198155993760,[U:1:195728032],
2021-05-06,01:03.33,barp,jump_4holers_fix,WR,IRC,,-00:00.78,,false,1581990,,,
2021-05-06,01:03.33,barp,jump_4holers_fix,WR,MapRecord,,-00:00.78,00:06.37,false,1582107,76561198008003429,[U:1:47737701],
2021-05-06,01:04.11,barp,jump_4holers_fix,WR,MapRun,01:16.30,+00:12.19,,true,1582107,76561198008003429,[U:1:47737701],
2021-05-06,01:04.11,barp,jump_4holers_fix,WR,MapRun,01:26.08,+00:21.97,,true,1582107,76561198008003429,[U:1:47737701],
