date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2019-12-30,02:07.02,beag,jump_4soldier_redo,WR,IRC,,-01:16.53,,false,1136443,,
2019-12-30,01:49.89,maxxy,jump_4soldier_redo,WR,MapRun,04:17.84,+02:27.95,,true,1136508,,
2019-12-30,01:12.18,Flourick,jump_4soldier_redo,WR,MapRun,06:21.97,+05:09.79,,true,1136534,76561198085035706,[U:1:124769978]
2019-12-31,01:12.17,2hr noob,jump_4soldier_redo,WR,MapRun,19:35.30,+18:23.13,,true,1137172,,
2020-01-04,01:01.65,ping.spike.hater,jump_4soldier_redo,WR,IRC,,-00:10.52,,false,1140867,,
2022-03-15,00:53.89,vice,jump_4soldier_redo,WR,MapRecord,,-00:07.76,01:39.03,false,1887732,76561198366368448,[U:1:406102720]
2023-04-11,00:51.73,ixam,jump_4soldier_redo,WR,MapRecord,,-00:02.16,00:04.08,false,2270178,76561198082109328,[U:1:121843600]
2024-04-16,00:51.18,₍ᐢᐢ₎. us,jump_4soldier_redo,WR,IRC,,-00:00.55,,false,2819391,,
2024-07-02,00:49.30,Б Ξ Λ Κ Δ,jump_4soldier_redo,WR,MapRun,05:08.92,+04:19.62,,true,2930183,76561198254524432,[U:1:294258704]
2024-07-05,00:46.08,₍ᐢᐢ₎. us,jump_4soldier_redo,WR,IRC,,-00:03.22,,false,2934890,,
