date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-09,13:18.06,cody,jump_4starters_rc1,WR,MapRecord,,-00:42.91,,false,10005,76561198078488228,STEAM_0:0:59111250,
2014-07-15,00:36.46,cody,jump_4starters_rc1,WR,C1 - Blue,,-00:00.10,00:00.60,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-15,00:49.64,cody,jump_4starters_rc1,WR,C2 - Red,,-00:00.72,00:07.09,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-15,01:11.71,cody,jump_4starters_rc1,WR,C3 - Green,,-00:03.99,00:09.37,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-15,10:30.66,cody,jump_4starters_rc1,WR,MapRecord,,-02:47.40,02:47.40,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-15,10:30.66,cody,jump_4starters_rc1,WR,Compact,,,,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-15,10:30.66,cody,jump_4starters_rc1,WR,Compact,,,,false,10814,76561198078488228,STEAM_0:0:59111250,
2014-07-27,09:38.37,miⓝty,jump_4starters_rc1,WR,MapRecord,,-00:52.28,01:17.45,false,12471,76561198050815941,STEAM_0:1:45275106,
2014-07-27,10:30.66,cody,jump_4starters_rc1,WR,Compact,,,,false,12471,,,
2014-07-27,09:38.37,miⓝty,jump_4starters_rc1,WR,IRC,,-00:52.28,,false,12472,,,
2014-07-28,00:03.34,moonbears,jump_4starters_rc1,WR,Bonus 1,,-00:00.01,00:00.64,false,12696,76561197989807231,STEAM_0:1:14770751,
2014-07-28,00:46.37,cody #Shunix's T...,jump_4starters_rc1,WR,C2 - Red,,-00:02.83,00:03.27,false,12696,76561198078488228,STEAM_0:0:59111250,
2014-07-28,09:29.23,cody #Shunix's T...,jump_4starters_rc1,WR,MapRecord,,-00:09.14,01:01.42,false,12696,76561198078488228,STEAM_0:0:59111250,
2014-07-28,09:29.23,cody #Shunix's T...,jump_4starters_rc1,WR,IRC,,-00:09.14,,false,12698,,,
2014-10-11,09:28.37,minty,jump_4starters_rc1,WR,MapRecord,,-00:00.85,00:10.00,false,22931,76561198050815941,[U:1:90550213],
2014-10-12,00:34.78,viser,jump_4starters_rc1,WR,C1 - Blue,,-00:00.58,00:00.58,false,23203,76561198078488228,[U:1:118222500],
2014-10-12,00:35.36,viser,jump_4starters_rc1,WR,C1 - Blue,,-00:00.37,00:00.37,false,23203,76561198078488228,[U:1:118222500],
2014-10-12,00:35.74,viser,jump_4starters_rc1,WR,C1 - Blue,,-00:00.29,00:00.29,false,23203,76561198078488228,[U:1:118222500],
2014-10-12,00:36.04,viser,jump_4starters_rc1,WR,C1 - Blue,,-00:00.28,00:00.42,false,23203,76561198078488228,[U:1:118222500],
2014-10-12,09:13.52,viser,jump_4starters_rc1,WR,MapRecord,,-00:14.84,00:15.70,false,23203,76561198078488228,[U:1:118222500],
2014-10-16,00:34.33,Soup Can,jump_4starters_rc1,WR,C1 - Blue,,-00:00.45,00:01.99,false,24020,76561198029285343,[U:1:69019615],
2014-10-16,00:45.40,Soup Can,jump_4starters_rc1,WR,C2 - Red,,-00:00.97,00:01.71,false,24020,76561198029285343,[U:1:69019615],
2014-10-16,01:05.75,Soup Can,jump_4starters_rc1,WR,C3 - Green,,-00:01.83,00:13.98,false,24020,76561198029285343,[U:1:69019615],
2014-10-16,01:41.83,Soup Can,jump_4starters_rc1,WR,C4 - White,,-00:00.60,00:24.18,false,24020,76561198029285343,[U:1:69019615],
2014-10-16,08:51.40,Soup Can,jump_4starters_rc1,WR,MapRecord,,-00:22.12,,false,24020,76561198029285343,[U:1:69019615],
2014-10-19,08:51.40,Soup Can,jump_4starters_rc1,WR,Compact,,,,false,24657,,,
2014-10-25,00:02.69,Ltfx,jump_4starters_rc1,WR,Bonus 4,,-00:00.50,00:00.63,false,26173,76561198051610309,[U:1:91344581],
2014-10-25,00:05.42,Soup Can,jump_4starters_rc1,WR,Bonus 6,,-00:00.15,00:00.15,false,26173,76561198029285343,[U:1:69019615],
2014-10-25,00:05.57,Soup Can,jump_4starters_rc1,WR,Bonus 6,,-00:00.04,00:00.31,false,26173,76561198029285343,[U:1:69019615],
2014-10-25,01:03.85,Soup Can,jump_4starters_rc1,WR,C3 - Green,,-00:01.90,00:01.90,false,26173,76561198029285343,[U:1:69019615],
2014-10-25,07:44.36,Soup Can,jump_4starters_rc1,WR,MapRecord,,-01:07.03,01:07.03,false,26173,76561198029285343,[U:1:69019615],
2014-11-16,00:01.95,Ltfx,jump_4starters_rc1,WR,Bonus 3,,-00:00.18,00:00.29,false,30987,76561198051610309,[U:1:91344581],
2014-11-16,00:33.20,Soup Can,jump_4starters_rc1,WR,C1 - Blue,,-00:00.61,00:00.79,false,30987,76561198029285343,[U:1:69019615],
2014-11-16,00:50.27,Kucino <3 LeraYn,jump_4starters_rc1,WR,C6 - Purple,,-00:00.20,00:00.20,false,30987,76561198045405184,[U:1:85139456],
2014-11-16,00:50.47,Kucino <3 LeraYn,jump_4starters_rc1,WR,C6 - Purple,,-00:01.87,00:01.87,false,30987,76561198045405184,[U:1:85139456],
2014-11-16,00:52.34,Kucino <3 LeraYn,jump_4starters_rc1,WR,C6 - Purple,,-00:00.79,00:00.79,false,30987,76561198045405184,[U:1:85139456],
2014-11-16,00:53.14,Kucino <3 LeraYn,jump_4starters_rc1,WR,C6 - Purple,,-00:02.37,00:04.17,false,30987,76561198045405184,[U:1:85139456],
2014-11-16,01:00.86,Soup Can,jump_4starters_rc1,WR,C3 - Green,,-00:01.36,00:02.98,false,30987,76561198029285343,[U:1:69019615],
2014-11-16,07:44.36,Soup Can,jump_4starters_rc1,WR,Compact,,,,false,30987,76561198029285343,[U:1:69019615],
2014-12-01,07:28.28,Soup Can,jump_4starters_rc1,WR,MapRecord,,-00:16.08,00:16.08,false,34196,76561198029285343,[U:1:69019615],
2015-03-08,07:28.28,Soup Can,jump_4starters_rc1,WR,Compact,,,,false,68512,,,
2015-03-29,07:18.23,Soup Can,jump_4starters_rc1,WR,MapRecord,,-00:10.05,00:10.05,false,76778,76561198029285343,[U:1:69019615],
2015-04-20,00:57.50,Soup Can,jump_4starters_rc1,WR,C3 - Green,,-00:03.24,00:03.24,false,84643,76561198029285343,[U:1:69019615],
2017-12-22,06:08.47,Soup,jump_4starters_rc1,WR,MapRun,06:16.67,+00:08.20,,true,532129,76561198029285343,[U:1:69019615],
2018-05-10,00:03.67,byali,jump_4starters_rc1,WR,Bonus 6,,-00:00.65,00:00.68,false,645695,76561198029285343,[U:1:69019615],
2018-05-14,00:05.05,Soup -tt,jump_4starters_rc1,WR,Bonus 2,,-00:00.05,00:00.05,false,649551,76561198029285343,[U:1:69019615],
2018-05-14,00:05.11,Soup -tt,jump_4starters_rc1,WR,Bonus 2,,-00:00.04,00:00.06,false,649551,76561198029285343,[U:1:69019615],
2018-05-15,00:02.57,Soup -tt,jump_4starters_rc1,WR,Bonus 1,,-00:00.06,00:00.08,false,650145,76561198029285343,[U:1:69019615],
2018-10-05,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,781200,,,
2018-11-08,01:18.02,Zike1017 ツ -tt,jump_4starters_rc1,WR,C4 - White,,-00:01.54,00:02.37,false,811043,,,
2018-11-08,01:19.57,Kyle,jump_4starters_rc1,WR,Course 4,,,,false,811043,,,
2018-11-16,06:07.05,Zike1017 ツ -tt,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:07.05,Zike1017 ツ -tt,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2018-11-16,06:08.47,Kyle,jump_4starters_rc1,WR,Compact,,,,false,817951,,,
2019-03-16,01:17.62,Soup -tt,jump_4starters_rc1,WR,C4 - White,,-00:00.40,00:01.95,false,915969,76561198029285343,[U:1:69019615],
2019-03-16,05:59.16,Soup -tt,jump_4starters_rc1,WR,MapRecord,,-00:07.89,00:09.31,false,915969,76561198029285343,[U:1:69019615],
2019-03-16,05:59.16,Soup -tt,jump_4starters_rc1,WR,IRC,,-00:07.89,,false,915989,,,
2019-03-17,00:35.73,Soup -tt,jump_4starters_rc1,WR,C2 - Red,,-00:01.04,00:01.74,false,917207,76561198029285343,[U:1:69019615],
2019-03-26,01:03.85,Soup -tt,jump_4starters_rc1,WR,C5 - Orange,,-00:01.16,00:01.93,false,924523,76561198029285343,[U:1:69019615],
2019-05-14,00:01.88,kater,jump_4starters_rc1,WR,Bonus 3,,,,false,962296,,,
2019-05-14,00:39.33,Soup -tt,jump_4starters_rc1,WR,C6 - Purple,,-00:01.04,00:01.12,false,962296,76561198029285343,[U:1:69019615],
2019-05-14,00:49.93,Soup -tt,jump_4starters_rc1,WR,C3 - Green,,-00:00.51,00:00.83,false,962296,76561198029285343,[U:1:69019615],
2019-07-27,00:01.93,mesatech,jump_4starters_rc1,WR,Bonus 1,,-00:00.13,00:00.19,false,1020130,76561198366368448,[U:1:406102720],
2019-08-23,00:01.85,vice,jump_4starters_rc1,WR,Bonus 3,,-00:00.02,00:00.11,false,1041126,76561198366368448,[U:1:406102720],
2019-08-25,00:01.83,song,jump_4starters_rc1,WR,Bonus 3,,-00:00.02,00:00.04,false,1042577,76561198210286877,[U:1:250021149],
2019-09-07,00:01.10,song -charizard,jump_4starters_rc1,WR,Bonus 5,,-00:00.00,00:00.00,false,1052773,,,
