date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-08-19,02:12.78,Waldo,jump_adam,WR,Map,record,first_record,,,,2460267,76561198020256631,[U:1:59990903],
2023-08-19,02:08.43,Jaff,jump_adam,WR,Map,record,map_record,,-00:04.35,00:41.01,2460308,76561198091905306,[U:1:131639578],
2023-08-19,01:44.05,Jaff,jump_adam,WR,Map,record,map_record,,-00:24.37,00:24.37,2460308,76561198091905306,[U:1:131639578],
2023-08-19,01:31.17,Jaff,jump_adam,WR,Map,record,map_record,,-00:12.88,00:12.88,2460308,76561198091905306,[U:1:131639578],
2023-08-19,01:25.72,Jaff,jump_adam,WR,Map,record,map_record,,-00:05.44,00:05.44,2460308,76561198091905306,[U:1:131639578],
2023-08-19,01:18.27,Jaff,jump_adam,WR,Map,record,map_record,,-00:04.26,00:07.45,2460308,76561198091905306,[U:1:131639578],
2023-08-19,01:15.28,Waldo,jump_adam,WR,Map,record,map_record,,-00:07.24,00:07.24,2460331,76561198020256631,[U:1:59990903],
2023-08-19,01:12.22,newjuls,jump_adam,WR,Map,record,map_record,,-00:03.06,00:06.48,2460413,76561198396018338,[U:1:435752610],
2023-08-19,01:10.69,hayley,jump_adam,WR,Map,record,map_record,,-00:01.53,00:09.94,2461526,76561198366368448,[U:1:406102720],
2023-08-20,01:08.01,newjuls,jump_adam,WR,Map,record,map_record,,-00:02.68,00:04.21,2462302,76561198396018338,[U:1:435752610],
