date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-19,00:06.65,Randy Orton,jump_adventure,WR,Course 2,,-00:00.77,00:01.98,false,11422,76561198070882254,STEAM_0:0:55308263,
2014-07-19,00:25.22,minty,jump_adventure,WR,Course 3,,-00:00.56,00:00.88,false,11422,76561198050815941,STEAM_0:1:45275106,
2014-07-19,00:25.79,Randy Orton,jump_adventure,WR,Course 3,,-00:00.03,00:03.03,false,11422,76561198070882254,STEAM_0:0:55308263,
2014-07-19,03:41.15,minty,jump_adventure,WR,MapRecord,,-00:00.06,00:59.09,false,11422,76561198050815941,STEAM_0:1:45275106,
2014-08-30,03:23.69,sinn,jump_adventure,WR,MapRecord,,-00:17.45,00:56.87,false,19049,76561198067226764,[U:1:106961036],
2014-08-30,03:23.69,sinn,jump_adventure,WR,Compact,,,,false,19049,76561198067226764,[U:1:106961036],
2014-08-30,03:41.15,Kote,jump_adventure,WR,Compact,,,,false,19049,,,
2014-10-11,03:23.69,sunset #RUSSIA N,jump_adventure,WR,Compact,,,,false,22937,,,
2014-11-19,03:20.90,sinnn,jump_adventure,WR,MapRecord,,-00:02.79,00:02.79,false,31599,76561198067226764,[U:1:106961036],
2014-11-28,02:59.89,prostoy paren,jump_adventure,WR,MapRecord,,-00:06.77,00:15.68,false,33499,76561198042495717,[U:1:82229989],
2014-11-28,02:59.89,prostoy paren,jump_adventure,WR,Compact,,,,false,33499,76561198042495717,[U:1:82229989],
2014-11-28,03:06.67,Larrito,jump_adventure,WR,MapRecord,,-00:08.91,00:09.18,false,33499,76561198046600412,[U:1:86334684],
2014-11-28,03:15.58,prostoy paren,jump_adventure,WR,MapRecord,,-00:05.32,00:07.84,false,33499,76561198042495717,[U:1:82229989],
2014-12-20,01:26.15,Ninja Dashie,jump_adventure,WR,Course 4,,-00:10.84,00:14.15,false,38477,76561198105825311,[U:1:145559583],
2014-12-20,02:59.15,WORLD RECORD,jump_adventure,WR,MapRecord,,-00:00.73,00:07.51,false,38477,,,
2014-12-20,02:59.15,Larrito,jump_adventure,WR,Compact,,,,false,38477,76561198046600412,[U:1:86334684],
2014-12-20,02:59.15,Larrito,jump_adventure,WR,Compact,,,,false,38477,76561198046600412,[U:1:86334684],
2015-06-21,00:05.99,Atlas,jump_adventure,WR,Course 1,,-00:00.19,00:00.19,false,108897,76561198060172237,[U:1:99906509],
2015-06-21,00:06.19,Atlas,jump_adventure,WR,Course 1,,-00:00.04,00:00.07,false,108897,76561198060172237,[U:1:99906509],
2015-06-21,00:06.62,Atlas,jump_adventure,WR,Course 2,,-00:00.19,00:04.91,false,108897,76561198060172237,[U:1:99906509],
2015-06-21,00:22.90,879m,jump_adventure,WR,Course 3,,-00:00.83,00:02.61,false,108897,76561198043793220,[U:1:83527492],
2015-06-21,02:57.75,879m,jump_adventure,WR,MapRecord,,-00:01.40,00:12.98,false,108897,76561198043793220,[U:1:83527492],
2015-06-21,02:57.75,879m,jump_adventure,WR,Compact,,,,false,108897,76561198043793220,[U:1:83527492],
2015-06-26,02:57.09,Peace,jump_adventure,WR,IRC,,-00:00.66,,false,110941,,,
2015-06-26,02:57.09,Peace,jump_adventure,WR,MapRecord,,-00:00.66,00:22.58,false,110956,76561198055540152,[U:1:95274424],
2015-06-26,02:57.75,879m,jump_adventure,WR,Compact,,,,false,110956,,,
2015-06-27,02:45.44,879m,jump_adventure,WR,MapRecord,,-00:11.64,00:12.30,false,111427,76561198043793220,[U:1:83527492],
2015-06-27,02:45.44,879m,jump_adventure,WR,IRC,,-00:11.64,,false,111428,76561198043793220,[U:1:83527492],
2018-01-22,00:05.56,nygaard,jump_adventure,WR,Course 1,,-00:00.08,00:00.21,false,558196,76561198029285343,[U:1:69019615],
2018-01-22,00:05.89,nygaard,jump_adventure,WR,Course 2,,-00:00.03,00:00.03,false,558196,76561198029285343,[U:1:69019615],
2018-01-22,00:05.92,nygaard,jump_adventure,WR,Course 2,,-00:00.01,00:00.04,false,558196,76561198029285343,[U:1:69019615],
2018-01-22,01:56.84,Old,jump_adventure,WR,MapRun,10:31.14,+08:34.30,,true,558196,76561198138628577,[U:1:178362849],
2018-01-22,00:18.59,nygaard,jump_adventure,WR,Course 3,,-00:00.40,00:00.40,false,558228,76561198029285343,[U:1:69019615],
2018-01-22,00:19.00,nygaard,jump_adventure,WR,Course 3,,-00:00.44,00:00.44,false,558228,76561198029285343,[U:1:69019615],
2018-01-22,00:19.45,nygaard,jump_adventure,WR,Course 3,,-00:00.10,00:00.10,false,558228,76561198029285343,[U:1:69019615],
2018-01-22,00:19.55,nygaard,jump_adventure,WR,Course 3,,-00:00.20,00:01.84,false,558228,76561198029285343,[U:1:69019615],
2018-01-22,01:06.82,nygaard,jump_adventure,WR,Course 4,,-00:04.34,,false,558228,76561198029285343,[U:1:69019615],
2018-01-22,01:56.83,Zike1017 ツ,jump_adventure,WR,Compact,,,,false,558228,76561198050366275,[U:1:90100547],
2018-01-22,01:56.83,Zike1017 ツ,jump_adventure,WR,Compact,,,,false,558228,76561198050366275,[U:1:90100547],
2018-01-25,01:49.86,Soup,jump_adventure,WR,IRC,,-00:06.97,,false,560335,76561198029285343,[U:1:69019615],
