date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2019-01-08,03:29.14,teardrop -tt,jump_airships_v2,WR,MapRecord,,-00:01.12,00:19.93,false,861803,76561198066947056,[U:1:106681328]
2019-01-29,03:23.04,Minute Maid Frui,jump_airships_v2,WR,IRC,,-00:06.10,,false,878968,,
2021-06-26,03:15.51,minecraft.builde,jump_airships_v2,WR,IRC,,-00:07.53,,false,1622848,,
2021-12-14,03:14.07,hacker,jump_airships_v2,WR,MapRecord,,-00:01.44,00:02.82,false,1795709,76561198027610614,[U:1:67344886]
2022-12-24,03:12.55,fyg,jump_airships_v2,WR,IRC,,-00:01.51,,false,2156480,,
2023-07-28,03:09.55,fyg,jump_airships_v2,WR,MapRecord,,-00:03.00,00:03.00,false,2426688,76561198027610614,[U:1:67344886]
2023-11-13,03:06.55,riotbz,jump_airships_v2,WR,MapRecord,,-00:03.00,00:03.00,false,2588734,76561198065169685,[U:1:104903957]
2024-01-31,03:04.20,Xav,jump_airships_v2,WR,MapRun,20:56.40,+17:52.20,,true,2710006,76561197992479682,[U:1:32213954]
2024-02-03,02:59.74,fyg,jump_airships_v2,WR,IRC,,-00:04.45,,false,2714041,,
2024-05-03,02:57.79,fyg,jump_airships_v2,WR,IRC,,-00:01.95,,false,2843929,,
