date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-09-02,00:31.98,Gorge004,jump_alienvspredator_v3,WR,IRCSet,,,,false,1692367,,,
2021-09-03,21:00.67,IzzyHoP,jump_alienvspredator_v3,WR,IRCSet,,,,false,1693595,,,
2021-09-04,21:00.67,IzzyHoP,jump_alienvspredator_v3,WR,FirstRecord,,,,false,1693696,76561197995927883,[U:1:35662155],
2021-09-04,21:00.67,IzzyHoP,jump_alienvspredator_v3,WR,IRCSet,,,,false,1693704,,,
2021-09-04,21:00.67,IzzyHoP,jump_alienvspredator_v3,WR,IRCSet,,,,false,1693711,76561197995927883,[U:1:35662155],
2021-09-04,00:00.40,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.42,00:00.42,false,1694016,,,
2021-09-04,00:00.82,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.06,00:00.06,false,1694016,,,
2021-09-04,00:00.88,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:01.00,00:01.00,false,1694016,,,
2021-09-04,00:01.89,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:33.24,00:33.24,false,1694016,,,
2021-09-04,00:35.13,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.33,00:00.33,false,1694016,,,
2021-09-04,00:35.46,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.25,00:00.25,false,1694016,,,
2021-09-04,00:35.71,Alternate Machik,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.13,00:01.45,false,1694016,,,
2021-09-04,07:00.42,Alternate Machik,jump_alienvspredator_v3,WR,MapRun,39:14.11,+32:13.69,,true,1694016,,,
2021-09-04,07:00.42,IzzyHoP,jump_alienvspredator_v3,WR,Ranked,,,,true,1694016,,,
2021-09-04,07:00.42,IzzyHoP,jump_alienvspredator_v3,WR,Ranked,,,,true,1694016,,,
2021-09-04,07:00.42,ixam,jump_alienvspredator_v3,WR,MapRun,41:46.74,+34:46.32,,true,1694016,76561198082109328,[U:1:121843600],
2021-09-04,02:51.63,mur #playforzae,jump_alienvspredator_v3,WR,MapRun,16:18.67,+13:27.04,,true,1694622,,,
2021-09-05,02:43.30,wrth haha lol,jump_alienvspredator_v3,WR,MapRun,37:29.41,+34:46.11,,true,1695657,76561198102462417,[U:1:142196689],
2021-09-06,02:27.24,Zen,jump_alienvspredator_v3,WR,MapRun,58:19.42,+55:52.18,,true,1696159,76561198152759309,[U:1:192493581],
2021-09-07,02:10.77,mur,jump_alienvspredator_v3,WR,Ranked,,,,true,1698087,76561198368715869,[U:1:408450141],
2021-09-07,02:19.62,mur,jump_alienvspredator_v3,WR,Ranked,,,,true,1698087,76561198368715869,[U:1:408450141],
2021-09-10,01:59.08,spoops #SaveTapS,jump_alienvspredator_v3,WR,MapRun,21:17.92,+19:18.84,,true,1701505,,,
2021-10-11,00:00.37,Kratos,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.01,00:00.21,false,1729231,76561198930334128,[U:1:970068400],
2021-10-16,01:56.00,Waldo,jump_alienvspredator_v3,WR,MapRun,09:30.84,+07:34.84,,true,1735252,76561198020256631,[U:1:59990903],
2021-10-20,01:55.99,immure,jump_alienvspredator_v3,WR,Ranked,,,,true,1739362,76561198368715869,[U:1:408450141],
2022-01-17,01:52.75,deluxeuser,jump_alienvspredator_v3,WR,MapRun,01:56.86,+00:04.11,00:06.36,true,1830050,76561198417147943,[U:1:456882215],
2022-01-17,01:52.75,mur,jump_alienvspredator_v3,WR,Compact,,,,false,1830657,76561198368715869,[U:1:408450141],
2022-01-17,01:52.75,deluxeuser,jump_alienvspredator_v3,WR,MapRun,02:55.99,+01:03.24,,true,1830657,76561198417147943,[U:1:456882215],
2022-01-17,01:52.75,raskull,jump_alienvspredator_v3,WR,MapRun,38:12.85,+36:20.10,,true,1830657,76561198053912950,[U:1:93647222],
2022-01-17,01:52.76,deluxeuser,jump_alienvspredator_v3,WR,MapRun,01:53.43,+00:00.67,00:03.43,true,1830657,76561198417147943,[U:1:456882215],
2022-01-17,01:52.76,deluxeuser,jump_alienvspredator_v3,WR,MapRun,07:01.89,+05:09.13,,true,1830657,76561198417147943,[U:1:456882215],
2022-01-17,01:52.76,what,jump_alienvspredator_v3,WR,MapRun,23:05.40,+21:12.64,,true,1830657,76561198018630221,[U:1:58364493],
2022-02-05,00:00.24,Tritibellum,jump_alienvspredator_v3,WR,Bonus 1,,-00:00.04,00:00.13,false,1846019,76561199058834773,[U:1:1098569045],
2022-02-05,01:51.93,Le Batata,jump_alienvspredator_v3,WR,MapRun,35:07.69,+33:15.76,,true,1846019,76561198059453711,[U:1:99187983],
2022-02-05,01:51.93,deluxeuser,jump_alienvspredator_v3,WR,Ranked,,,,true,1846019,,,
2022-02-10,01:48.54,mur,jump_alienvspredator_v3,WR,MapRecord,,-00:03.39,00:04.21,false,1852033,76561198368715869,[U:1:408450141],
2022-02-10,01:48.54,bernt,jump_alienvspredator_v3,WR,MapRun,23:09.43,+21:20.89,,true,1852033,76561198017732809,[U:1:57467081],
2022-02-10,01:51.93,mur,jump_alienvspredator_v3,WR,MapRun,01:52.84,+00:00.91,,true,1852033,76561198368715869,[U:1:408450141],
2022-02-10,01:51.93,mur,jump_alienvspredator_v3,WR,MapRun,01:53.79,+00:01.86,,true,1852033,76561198368715869,[U:1:408450141],
2022-02-10,01:48.54,mur,jump_alienvspredator_v3,WR,IRC,,-00:03.39,,false,1852034,,,
2024-02-03,01:48.54,Waiting,jump_alienvspredator_v3,WR,MapRun,1:31:54.81,+1:30:06.27,,true,2715660,76561198028142566,[U:1:67876838],
2024-02-23,01:48.54,porkie,jump_alienvspredator_v3,WR,MapRun,19:29.80,+17:41.26,,true,2745233,76561198054239403,[U:1:93973675],
2024-03-11,01:48.54,аптечка,jump_alienvspredator_v3,WR,MapRun,23:48.36,+21:59.82,,true,2769178,76561198816932139,[U:1:856666411],
2024-03-18,01:48.54,conorbb,jump_alienvspredator_v3,WR,MapRun,21:37.33,+19:48.79,,true,2779449,76561198101725605,[U:1:141459877],
2024-03-22,01:48.54,garf,jump_alienvspredator_v3,WR,MapRun,24:54.24,+23:05.70,,true,2784691,76561199243400809,[U:1:1283135081],
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788231,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788195,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788298,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788317,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788261,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788301,,,
2024-03-25,01:46.39,james17,jump_alienvspredator_v3,WR,IRC,,-00:02.14,,false,2788324,,,
