date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2025-11-10,04:55.60,th14 marisaB lif,jump_ambition_rc2,WR,Map,record,map_record,,-01:24.64,,3569669,,,
2025-11-10,06:21.20,Waldo,jump_ambition_rc2,WR,Map,record,first_record,,,,3569616,76561198020256631,[U:1:59990903],
2025-11-10,06:20.25,kjr -jcf,jump_ambition_rc2,WR,Map,record,map_record,,-00:00.94,,3569616,76561198206903132,[U:1:246637404],
2025-11-10,04:20.84,clip farming in,jump_ambition_rc2,WR,Map,record,map_record,,-00:34.77,02:32.48,3569679,,,
2025-11-10,04:04.04,♥Gryst♥,jump_ambition_rc2,WR,Map,record,map_record,,-00:16.80,00:19.90,3569866,76561198131281269,[U:1:171015541],
2025-11-10,03:52.44,♥Gryst♥,jump_ambition_rc2,WR,Map,record,map_record,,-00:11.60,00:11.60,3569866,76561198131281269,[U:1:171015541],
2025-11-10,03:02.85,cander,jump_ambition_rc2,WR,Map,record,map_record,,-00:49.59,,3569949,76561198318722879,[U:1:358457151],
2025-11-10,02:53.00,cander,jump_ambition_rc2,WR,Map,record,map_record,,-00:09.86,00:09.86,3569949,76561198318722879,[U:1:358457151],
2025-11-10,02:52.11,Luffin,jump_ambition_rc2,WR,Map,record,map_record,,-00:06.04,00:06.04,3570539,76561198094197569,[U:1:133931841],
2025-11-12,02:47.92,Luffin,jump_ambition_rc2,WR,Map,record,map_record,,-00:04.18,00:04.18,3572323,76561198094197569,[U:1:133931841],
2025-11-12,02:43.70,Luffin,jump_ambition_rc2,WR,Map,record,map_record,,-00:04.23,00:04.23,3572323,76561198094197569,[U:1:133931841],
2025-11-12,02:31.06,Luffin,jump_ambition_rc2,WR,Map,record,map_record,,-00:12.63,00:12.63,3572323,76561198094197569,[U:1:133931841],
