date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2022-01-23,16:02.80,tripbwai,jump_and_rc1,WR,IRCSet,,,,false,1834257,,,
2022-01-23,16:02.80,tripbwai,jump_and_rc1,WR,IRCSet,,,,false,1834271,,,
2022-01-23,16:02.80,tripbwai,jump_and_rc1,WR,FirstRecord,,,,false,1834281,76561198109904512,[U:1:149638784],
2022-01-23,02:25.36,Cygnus -rng -hdh,jump_and_rc1,WR,Bonus 1 First,,,,false,1834438,,,
2022-01-23,16:02.80,tripbwai,jump_and_rc1,WR,Compact,,,,false,1834438,,,
2022-01-23,16:02.80,tripbwai,jump_and_rc1,WR,Compact,,,,false,1834438,,,
2022-01-26,11:54.54,Cygnus -rng -hdh,jump_and_rc1,WR,MapRecord,,-04:08.26,,false,1835648,,,
2022-01-26,10:26.28,pine cone,jump_and_rc1,WR,IRC,,-01:28.26,,false,1836018,,,
2022-01-26,10:26.28,pine cone,jump_and_rc1,WR,MapRecord,,-01:28.26,,false,1836068,76561198343592483,[U:1:383326755],
2022-01-26,10:26.28,pine cone,jump_and_rc1,WR,IRC,,-01:28.26,,false,1836101,,,
2022-01-27,10:26.28,pine cone,jump_and_rc1,WR,Compact,,,,false,1836367,,,
2022-02-02,09:02.91,basique,jump_and_rc1,WR,MapRecord,,-01:23.37,54:58.74,false,1842260,76561198366368448,[U:1:406102720],
2022-02-02,01:36.39,naught (no webca,jump_and_rc1,WR,Bonus 1,,-00:48.97,,false,1842835,,,
2022-02-19,07:08.56,tomato tom,jump_and_rc1,WR,IRC,,-01:54.34,,false,1863170,,,
2022-02-19,07:08.56,tomato tom,jump_and_rc1,WR,MapRecord,,-01:54.34,,false,1863204,76561198120374593,[U:1:160108865],
