date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2023-01-10,04:19.27,Waldo,jump_anothermap_rc3,WR,Map,record,map_record,,-02:58.54,,2175587,76561198020256631,[U:1:59990903],
2023-01-10,02:27.45,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-10,02:05.32,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-10,01:52.95,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-10,01:38.91,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-10,01:34.11,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-10,01:33.64,phancy,jump_anothermap_rc3,WR,Map,record,map_record,,-00:00.46,00:09.90,2176483,76561198116189732,[U:1:155924004],
2023-01-10,01:32.86,unknown,jump_anothermap_rc3,WR,Map,observed,wr_split,,,,,,,
2023-01-14,01:28.45,twitch.tv/vicetf,jump_anothermap_rc3,WR,Map,record,map_record,,-00:04.41,00:04.98,2180481,,,
2023-07-26,01:26.08,Jaff,jump_anothermap_rc3,WR,Map,record,map_record,,-00:02.37,00:03.01,2423512,76561198091905306,[U:1:131639578],
2024-02-20,01:24.94,penis mewing??,jump_anothermap_rc3,WR,Map,announcement,irc,,-00:01.14,,,76561198235977602,[U:1:275711874],
2025-02-02,01:22.83,Jaff,jump_anothermap_rc3,WR,Map,record,map_record,,-00:02.11,00:02.19,3247614,76561198091905306,[U:1:131639578],
