date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-09-19,03:14.56,newjuls,jump_antiquity,WR,Map,record,first_record,,,,766354,76561198396018338,[U:1:435752610],
2018-09-19,02:22.94,newjuls,jump_antiquity,WR,Map,record,map_record,,-00:51.61,00:51.61,766354,76561198396018338,[U:1:435752610],
2018-09-19,02:07.95,newjuls,jump_antiquity,WR,Map,record,map_record,,-00:14.99,00:14.99,766354,76561198396018338,[U:1:435752610],
2018-09-19,01:53.33,newjuls,jump_antiquity,WR,Map,record,map_record,,-00:14.61,00:14.61,766354,76561198396018338,[U:1:435752610],
2019-02-26,01:51.95,kater,jump_antiquity,WR,Map,record,map_record,,-00:01.37,00:24.87,902587,76561198222006144,[U:1:261740416],
2019-03-22,01:41.62,newjuls,jump_antiquity,WR,Map,record,map_record,,-00:10.33,00:11.71,921606,76561198396018338,[U:1:435752610],
2019-10-30,01:36.14,kater,jump_antiquity,WR,Map,record,map_record,,-00:05.47,00:06.12,1092817,76561198222006144,[U:1:261740416],
2024-07-16,01:35.61,sam,jump_antiquity,WR,Map,record,map_record,,-00:00.54,00:00.63,2951321,76561198045707908,[U:1:85442180],
2024-07-16,01:32.20,sam,jump_antiquity,WR,Map,record,map_record,,-00:03.40,00:03.40,2951321,76561198045707908,[U:1:85442180],
2024-08-04,01:29.13,thought i was st,jump_antiquity,WR,Map,record,map_record,,-00:03.07,00:04.26,2978645,,,
