date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2020-03-24,01:08.83,BGL »,jump_anxiety_a9,WR,Bonus 1,,,,false,1204898,76561198084406120,[U:1:124140392],
2020-03-24,04:18.16,BGL »,jump_anxiety_a9,WR,Bonus 2,,,,false,1204898,76561198084406120,[U:1:124140392],
2020-03-24,15:15.53,BGL »,jump_anxiety_a9,WR,Compact,,,,false,1204898,76561198084406120,[U:1:124140392],
2020-03-24,15:15.53,BGL »,jump_anxiety_a9,WR,Compact,,,,false,1204898,76561198084406120,[U:1:124140392],
2020-03-24,15:15.53,League,jump_anxiety_a9,WR,MapRun,39:44.21,+24:28.68,,true,1204898,76561198152618680,[U:1:192352952],
2020-03-25,12:22.98,Boshy,jump_anxiety_a9,WR,IRC,,-02:00.76,,false,1205503,,,
2020-03-25,14:23.74,Boshy,jump_anxiety_a9,WR,IRC,,-00:51.79,,false,1205503,,,
2020-03-25,01:02.06,Boshy,jump_anxiety_a9,WR,Bonus 1,,-00:00.81,00:00.88,false,1205568,76561198046601398,[U:1:86335670],
2020-03-25,01:19.35,Boshy,jump_anxiety_a9,WR,Bonus 3,,-00:18.70,,false,1205568,76561198046601398,[U:1:86335670],
2020-03-25,03:29.50,Boshy,jump_anxiety_a9,WR,Bonus 2,,-00:48.65,,false,1205568,76561198046601398,[U:1:86335670],
2020-03-25,12:22.98,Boshy,jump_anxiety_a9,WR,MapRecord,,-02:00.76,02:00.76,false,1205568,76561198046601398,[U:1:86335670],
2020-03-25,14:23.74,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:51.79,,false,1205568,76561198046601398,[U:1:86335670],
2020-03-26,12:22.98,Boshy,jump_anxiety_a9,WR,Compact,,,,false,1206784,,,
2020-04-04,00:57.60,Boshy,jump_anxiety_a9,WR,Bonus 1,,-00:01.33,00:01.33,false,1215007,76561198046601398,[U:1:86335670],
2020-04-04,00:58.93,Boshy,jump_anxiety_a9,WR,Bonus 1,,-00:00.04,00:00.04,false,1215007,76561198046601398,[U:1:86335670],
2020-04-04,00:58.98,Boshy,jump_anxiety_a9,WR,Bonus 1,,-00:00.10,00:00.10,false,1215007,76561198046601398,[U:1:86335670],
2020-04-04,00:59.08,Boshy,jump_anxiety_a9,WR,Bonus 1,,-00:00.14,00:01.97,false,1215007,76561198046601398,[U:1:86335670],
2020-06-28,12:22.33,bgag,jump_anxiety_a9,WR,MapRecord,,-00:00.64,00:25.48,false,1287051,76561198063901478,[U:1:103635750],
2020-06-28,12:22.98,Boshy,jump_anxiety_a9,WR,Compact,,,,false,1287051,,,
2020-06-28,12:22.33,bgag,jump_anxiety_a9,WR,IRC,,-00:00.64,,false,1287084,,,
2020-06-28,11:46.48,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:35.84,00:36.49,false,1287170,76561198046601398,[U:1:86335670],
2020-06-30,11:13.41,I like to jump,jump_anxiety_a9,WR,MapRecord,,-00:33.07,00:56.35,false,1288724,76561198063901478,[U:1:103635750],
2020-06-30,10:12.36,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:05.50,00:05.50,false,1288813,76561198046601398,[U:1:86335670],
2020-06-30,10:17.86,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:13.39,00:13.39,false,1288813,76561198046601398,[U:1:86335670],
2020-06-30,10:31.26,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:33.85,00:33.85,false,1288813,76561198046601398,[U:1:86335670],
2020-06-30,11:05.11,Boshy,jump_anxiety_a9,WR,MapRecord,,-00:08.29,00:20.11,false,1288813,76561198046601398,[U:1:86335670],
2020-07-06,01:11.46,pootis,jump_anxiety_a9,WR,Bonus 3,,-00:07.89,00:07.89,false,1294024,76561198046601398,[U:1:86335670],
2020-11-07,00:57.60,Boshy,jump_anxiety_a9,WR,Bonus 1,,,,false,1410868,,,
2021-07-04,03:41.28,leags,jump_anxiety_a9,WR,Bonus 2,,,,false,1629413,,,
2021-07-04,10:12.36,Boshy,jump_anxiety_a9,WR,Compact,,,,false,1629413,,,
2022-12-08,10:08.83,Cygnus -rng,jump_anxiety_a9,WR,MapRecord,,-00:03.53,00:10.36,false,2141045,76561198178042934,[U:1:217777206],
2024-02-27,02:42.91,x_ray2700,jump_anxiety_a9,WR,Bonus 2,,,,true,2750011,,,
2024-05-13,10:08.83,train go boom,jump_anxiety_a9,WR,Compact,,,,false,2857783,,,
2024-07-20,02:39.15,x_ray2700,jump_anxiety_a9,WR,Bonus 2,,,,true,2957648,,,
2024-12-26,01:16.06,Maxx,jump_anxiety_a9,WR,Bonus 3,,,,false,3190436,,,
2025-06-01,10:08.84,Cygnus,jump_anxiety_a9,WR,Compact,,,,false,3343125,,,
2025-06-19,02:32.78,YOUMAKEMYHATEPEN,jump_anxiety_a9,WR,Bonus 2,,,,true,3368800,,,
