date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2017-12-20,01:59.07,casped,jump_aqua,WR,MapRun,05:23.23,+03:24.16,,true,530673,76561197987864832,[U:1:27599104]
2018-08-15,01:56.30,nem,jump_aqua,WR,MapRecord,,-00:00.19,00:00.19,false,734631,,
2018-08-15,01:53.80,cherry blood,jump_aqua,WR,MapRecord,,-00:02.50,00:22.50,false,734799,76561198366368448,[U:1:406102720]
2019-07-29,01:50.71,Boshy,jump_aqua,WR,MapRecord,,-00:03.09,00:06.97,false,1021625,76561198046601398,[U:1:86335670]
2019-07-29,01:48.11,cander,jump_aqua,WR,MapRecord,,-00:02.59,00:05.68,false,1021683,76561198366368448,[U:1:406102720]
2020-10-12,01:46.57,Skinny inda Hood,jump_aqua,WR,MapRecord,,-00:01.54,00:02.56,false,1384964,,
2020-10-12,01:46.06,Skinny inda Hood,jump_aqua,WR,MapRecord,,-00:00.51,00:00.51,false,1385032,,
2020-10-12,01:45.66,Skinny inda Hood,jump_aqua,WR,MapRecord,,-00:00.40,00:00.40,false,1385049,,
2020-12-29,01:44.58,ez1,jump_aqua,WR,IRC,,-00:01.08,,false,1462066,,
2021-01-08,01:43.86,Skinny.,jump_aqua,WR,IRC,,-00:00.72,,false,1471427,,
2023-09-07,01:41.07,cander,jump_aqua,WR,MapRecord,,-00:02.79,00:05.52,false,2491043,76561198318722879,[U:1:358457151]
2025-04-16,01:41.06,A Cat of Pride,jump_aqua,WR,MapRun,05:38.20,+03:57.14,,true,3278904,76561198803330799,[U:1:843065071]
