date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-02-13,03:25.15,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,IRCSet,,,,false,60884,,,
2015-02-13,03:25.15,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,IRCSet,,,,false,60888,,,
2015-02-13,00:04.69,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,Bonus 2 First,,,,false,60891,,,
2015-02-13,00:06.37,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,Bonus 1 First,,,,false,60891,,,
2015-02-13,03:25.15,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,FirstRecord,,,,false,60891,,,
2015-02-13,01:51.62,๖ۣۜSimonۣۜ,jump_arctic_a2,WR,Compact,,,,false,60903,,,
2015-02-13,01:43.27,Bobby Hendrix,jump_arctic_a2,WR,IRC,,-00:08.35,,false,60975,,,
2015-02-13,01:43.27,Bobby Hendrix,jump_arctic_a2,WR,IRC,,-00:08.35,,false,60982,76561198018656606,[U:1:58390878],
2015-02-13,01:43.27,Bobby Hendrix,jump_arctic_a2,WR,MapRecord,,-00:08.35,00:15.63,false,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,01:58.91,+00:07.28,00:01.16,true,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,02:00.07,+00:08.44,00:55.55,true,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,02:05.71,+00:14.08,,true,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,02:08.95,+00:17.32,,true,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,02:26.33,+00:34.70,,true,60995,76561198018656606,[U:1:58390878],
2015-02-13,01:51.63,Bobby Hendrix,jump_arctic_a2,WR,MapRun,02:31.80,+00:40.17,,true,60995,76561198018656606,[U:1:58390878],
