date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-09-09,01:00.13,jimbob hunter,jump_ariser_fix,WR,Compact,,,,false,757079,,,
2018-09-09,01:00.13,jimbob hunter,jump_ariser_fix,WR,Compact,,,,false,757079,,,
2018-09-09,01:00.13,jimbob hunter,jump_ariser_fix,WR,Compact,,,,false,757079,,,
2018-09-09,01:00.13,twitch.tv/skinny,jump_ariser_fix,WR,MapRun,01:01.42,+00:01.29,00:00.31,true,757079,,,
2018-09-09,01:00.14,Skinny.,jump_ariser_fix,WR,MapRun,01:01.74,+00:01.60,00:00.03,true,757079,76561198180610262,[U:1:220344534],
2018-09-09,01:00.14,steve-o-licious,jump_ariser_fix,WR,MapRun,01:20.16,+00:20.02,00:31.76,true,757079,76561198063901478,[U:1:103635750],
2018-09-12,01:00.06,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:00.07,00:01.36,false,759694,76561198180610262,[U:1:220344534],
2019-07-12,00:15.34,keyboard work PL,jump_ariser_fix,WR,Bonus 1,,-00:00.17,00:00.17,false,1008160,,,
2019-07-12,00:15.52,keyboard work PL,jump_ariser_fix,WR,Bonus 1,,-00:04.33,00:04.33,false,1008160,,,
2019-07-12,00:19.86,keyboard work PL,jump_ariser_fix,WR,Bonus 1,,-00:01.01,00:01.01,false,1008160,,,
2019-07-12,00:20.87,keyboard work PL,jump_ariser_fix,WR,Bonus 1,,-00:00.94,00:00.94,false,1008160,,,
2019-07-12,00:21.82,foot,jump_ariser_fix,WR,Bonus 1,,-00:03.75,,false,1008160,76561198222006144,[U:1:261740416],
2019-07-12,01:00.06,5 Grumpy Inches,jump_ariser_fix,WR,MapRun,04:08.97,+03:08.91,,true,1008160,76561198039532007,[U:1:79266279],
2019-07-12,01:00.06,rep bow e3,jump_ariser_fix,WR,MapRun,05:04.80,+04:04.74,,true,1008160,76561198299748784,[U:1:339483056],
2020-05-25,01:00.06,fences,jump_ariser_fix,WR,MapRun,04:04.69,+03:04.63,,true,1258557,76561198071050420,[U:1:110784692],
2020-05-26,00:14.58,pi,jump_ariser_fix,WR,Bonus 1,,-00:00.50,00:00.76,false,1259530,76561198222006144,[U:1:261740416],
2020-06-19,00:59.68,cander,jump_ariser_fix,WR,IRC,,-00:00.37,,false,1279390,76561198318722879,[U:1:358457151],
2020-06-19,00:59.68,cander,jump_ariser_fix,WR,MapRecord,,-00:00.37,00:01.27,false,1279584,76561198318722879,[U:1:358457151],
2020-06-19,01:00.06,cander,jump_ariser_fix,WR,MapRun,01:00.95,+00:00.89,00:02.49,true,1279584,76561198318722879,[U:1:358457151],
2020-06-19,01:00.06,cander,jump_ariser_fix,WR,MapRun,01:03.45,+00:03.39,00:01.97,true,1279584,76561198318722879,[U:1:358457151],
2020-06-19,01:00.06,cander,jump_ariser_fix,WR,MapRun,01:16.93,+00:16.87,,true,1279584,76561198318722879,[U:1:358457151],
2020-06-19,01:00.06,cander,jump_ariser_fix,WR,MapRun,03:06.71,+02:06.65,,true,1279584,76561198318722879,[U:1:358457151],
2020-06-19,01:00.06,hellstarry,jump_ariser_fix,WR,MapRun,03:42.67,+02:42.61,,true,1279584,76561198321885643,[U:1:361619915],
2020-06-19,01:00.06,muhammad aswan b,jump_ariser_fix,WR,MapRun,03:45.68,+02:45.62,,true,1279584,,,
2020-06-19,01:00.07,cander,jump_ariser_fix,WR,MapRun,01:17.01,+00:16.94,,true,1279584,76561198318722879,[U:1:358457151],
2020-06-19,00:59.68,cander,jump_ariser_fix,WR,IRC,,-00:00.37,,false,1279640,,,
2020-06-23,00:56.37,song,jump_ariser_fix,WR,IRC,,-00:03.31,,false,1283147,,,
2020-06-23,00:56.37,song,jump_ariser_fix,WR,MapRecord,,-00:03.31,00:09.85,false,1283359,76561198210286877,[U:1:250021149],
2020-12-06,00:14.41,twitch.tv/newjul,jump_ariser_fix,WR,Bonus 1,,-00:00.17,,false,1438363,,,
2020-12-06,00:56.37,Creature,jump_ariser_fix,WR,MapRun,02:37.32,+01:40.95,,true,1438363,76561198067642918,[U:1:107377190],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,01:10.42,+00:14.05,00:04.47,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,01:14.89,+00:18.52,00:05.49,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,01:20.38,+00:24.01,00:02.35,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,01:22.74,+00:26.37,00:27.39,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,01:50.13,+00:53.76,,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Hona -bg,jump_ariser_fix,WR,MapRun,02:07.68,+01:11.31,,true,1438363,76561198221809496,[U:1:261543768],
2020-12-06,00:56.37,Moonstruck,jump_ariser_fix,WR,MapRun,02:05.98,+01:09.61,00:45.36,true,1438363,76561198027443134,[U:1:67177406],
2020-12-06,00:56.37,twitch.tv/newjul,jump_ariser_fix,WR,MapRun,01:24.30,+00:27.93,,true,1438363,,,
2020-12-28,00:13.92,ุ,jump_ariser_fix,WR,Bonus 1,,-00:00.49,00:00.66,false,1461348,76561198222006144,[U:1:261740416],
2021-01-11,00:58.45,Skinny.,jump_ariser_fix,WR,IRC,,-00:01.23,,false,1474246,,,
2021-01-11,00:58.45,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:01.23,00:01.61,false,1474331,76561198180610262,[U:1:220344534],
2021-01-11,00:58.45,Skinny.,jump_ariser_fix,WR,IRC,,-00:01.23,,false,1474333,,,
2021-01-11,00:58.36,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:00.09,00:00.09,false,1474369,76561198180610262,[U:1:220344534],
2021-01-11,00:58.36,Skinny.,jump_ariser_fix,WR,MapRun,01:00.40,+00:02.04,,true,1474369,76561198180610262,[U:1:220344534],
2021-01-11,00:57.03,Skinny.,jump_ariser_fix,WR,IRC,,-00:01.33,,false,1474410,,,
2021-01-11,00:57.03,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:01.33,00:01.33,false,1474430,76561198180610262,[U:1:220344534],
2021-01-11,00:57.03,jtravs,jump_ariser_fix,WR,MapRun,01:26.68,+00:29.65,00:11.88,true,1474430,76561198117262056,[U:1:156996328],
2021-01-11,00:57.03,jtravs,jump_ariser_fix,WR,MapRun,01:39.52,+00:42.49,,true,1474430,76561198117262056,[U:1:156996328],
2021-01-11,00:58.36,Skinny.,jump_ariser_fix,WR,Compact,,,,false,1474430,76561198180610262,[U:1:220344534],
2021-01-11,00:58.37,newjuls,jump_ariser_fix,WR,MapRun,01:02.49,+00:04.12,00:02.92,true,1474430,76561198396018338,[U:1:435752610],
2021-01-11,00:57.03,Skinny.,jump_ariser_fix,WR,IRC,,-00:01.33,,false,1474453,,,
2021-01-19,00:55.38,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:01.65,00:01.65,false,1482097,76561198180610262,[U:1:220344534],
2021-01-19,00:57.03,Skinny.,jump_ariser_fix,WR,MapRun,01:00.16,+00:03.13,,true,1482097,76561198180610262,[U:1:220344534],
2021-01-19,00:55.38,Skinny.,jump_ariser_fix,WR,IRC,,-00:01.65,,false,1482103,,,
2021-11-07,00:55.38,CONAAAAAAAAA CAT,jump_ariser_fix,WR,MapRun,11:12.75,+10:17.37,,true,1758223,,,
2021-11-07,00:55.38,TG Sephyr,jump_ariser_fix,WR,MapRun,03:10.99,+02:15.61,,true,1758223,76561198049121113,[U:1:88855385],
2021-12-16,00:13.59,Jorge,jump_ariser_fix,WR,Bonus 1,,-00:00.33,00:00.51,false,1797554,76561198101198779,[U:1:140933051],
2022-11-15,00:54.73,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:00.37,00:00.64,false,2117675,76561198180610262,[U:1:220344534],
2022-11-15,00:55.11,Skinny.,jump_ariser_fix,WR,MapRun,00:55.66,+00:00.55,,true,2117675,76561198180610262,[U:1:220344534],
2022-11-15,00:55.11,Skinny.,jump_ariser_fix,WR,MapRun,00:56.85,+00:01.74,,true,2117675,76561198180610262,[U:1:220344534],
2022-11-15,00:55.11,Skinny.,jump_ariser_fix,WR,MapRun,00:59.13,+00:04.02,,true,2117675,76561198180610262,[U:1:220344534],
2022-11-15,00:54.73,Skinny.,jump_ariser_fix,WR,IRC,,-00:00.37,,false,2117710,,,
2022-11-15,00:54.73,Skinny.,jump_ariser_fix,WR,IRC,,-00:00.37,,false,2117722,,,
2023-05-27,00:54.70,samburger,jump_ariser_fix,WR,MapRecord,,-00:00.03,00:00.18,false,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,00:55.03,+00:00.30,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,00:55.48,+00:00.75,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,00:55.90,+00:01.17,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,00:56.02,+00:01.29,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,01:07.72,+00:12.99,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,01:38.08,+00:43.35,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.73,samburger,jump_ariser_fix,WR,MapRun,01:46.12,+00:51.39,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.74,samburger,jump_ariser_fix,WR,MapRun,00:55.29,+00:00.55,,true,2336134,76561198045707908,[U:1:85442180],
2023-05-27,00:54.74,samburger,jump_ariser_fix,WR,MapRun,01:00.36,+00:05.62,,true,2336134,76561198045707908,[U:1:85442180],
2023-06-17,00:54.71,Helmi.,jump_ariser_fix,WR,MapRun,01:16.77,+00:22.06,01:30.81,true,2368806,76561198201985399,[U:1:241719671],
2023-06-17,00:54.71,samburger,jump_ariser_fix,WR,MapRun,01:42.81,+00:48.10,,true,2368806,76561198045707908,[U:1:85442180],
2023-06-25,00:54.67,Skinny.,jump_ariser_fix,WR,MapRecord,,-00:00.03,00:00.06,false,2379481,76561198180610262,[U:1:220344534],
2023-06-25,00:54.67,Skinny.,jump_ariser_fix,WR,IRC,,-00:00.03,,false,2379486,,,
2024-01-27,00:53.61,ride,jump_ariser_fix,WR,MapRun,05:16.05,+04:22.44,,true,2703890,76561198799702115,[U:1:839436387],
2024-01-30,00:53.61,WOODMANPOTATO,jump_ariser_fix,WR,MapRun,03:05.26,+02:11.65,,true,2709690,76561199613121753,[U:1:1652856025],
2024-02-01,00:53.61,Landlubbers,jump_ariser_fix,WR,MapRun,07:25.92,+06:32.31,,true,2712473,76561198114068375,[U:1:153802647],
2024-02-04,00:53.61,Pile O'Stuff,jump_ariser_fix,WR,MapRun,04:46.41,+03:52.80,,true,2716054,76561198000811400,[U:1:40545672],
2024-02-07,00:53.61,ontpflot,jump_ariser_fix,WR,MapRun,02:46.39,+01:52.78,,true,2720457,76561198990294972,[U:1:1030029244],
2024-02-08,00:53.61,th14 marisaB lif,jump_ariser_fix,WR,MapRun,03:35.35,+02:41.74,,true,2722322,,,
2024-02-23,00:53.61,Lukeozade,jump_ariser_fix,WR,MapRun,06:23.94,+05:30.33,,true,2744659,76561197971098747,[U:1:10833019],
2024-02-24,00:53.61,Max,jump_ariser_fix,WR,MapRun,03:40.36,+02:46.75,,true,2746532,76561198857391400,[U:1:897125672],
2024-02-24,00:53.61,teuxao,jump_ariser_fix,WR,MapRun,02:01.57,+01:07.96,,true,2746532,76561199401149527,[U:1:1440883799],
2024-03-01,00:53.61,Friday,jump_ariser_fix,WR,MapRun,01:45.39,+00:51.78,,true,2754664,76561198396818148,[U:1:436552420],
2024-03-05,00:53.61,Oshey Mang,jump_ariser_fix,WR,MapRun,04:34.20,+03:40.59,,true,2760266,76561198047651540,[U:1:87385812],
2024-03-05,00:53.61,haydos,jump_ariser_fix,WR,MapRun,03:51.63,+02:58.02,,true,2760266,76561198078310429,[U:1:118044701],
2024-03-05,00:53.61,trash <3,jump_ariser_fix,WR,MapRun,02:23.41,+01:29.80,,true,2760266,76561198110764631,[U:1:150498903],
2024-03-07,00:53.61,Axelstack,jump_ariser_fix,WR,MapRun,22:15.54,+21:21.93,,true,2763538,76561198127933533,[U:1:167667805],
2024-03-11,00:53.61,Aphelis,jump_ariser_fix,WR,MapRun,02:22.53,+01:28.92,,true,2769183,76561198100566797,[U:1:140301069],
2024-03-11,00:53.61,♥Gryst♥,jump_ariser_fix,WR,MapRun,05:58.17,+05:04.56,,true,2769183,76561198131281269,[U:1:171015541],
2024-03-28,00:53.61,n,jump_ariser_fix,WR,MapRun,04:50.95,+03:57.34,,true,2793452,76561198072608261,[U:1:112342533],
2024-04-04,00:53.61,vanish -gy,jump_ariser_fix,WR,MapRun,02:37.78,+01:44.17,,true,2802771,,,
2024-04-05,00:53.61,Sekki,jump_ariser_fix,WR,MapRun,02:48.12,+01:54.51,,true,2803825,76561198147221145,[U:1:186955417],
2024-04-08,00:53.61,frogman,jump_ariser_fix,WR,MapRun,02:19.15,+01:25.54,,true,2807918,76561199437890839,[U:1:1477625111],
2024-04-12,00:53.61,clock,jump_ariser_fix,WR,MapRun,02:30.52,+01:36.91,,true,2813522,76561198073365809,[U:1:113100081],
