date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-07-03,01:34.00,vice | bg5.tf,jump_armaldo,WR,MapRecord,,-00:00.66,00:10.30,false,695686,76561198366368448,[U:1:406102720],
2018-07-03,01:34.00,vice | bg5.tf,jump_armaldo,WR,IRC,,-00:00.66,,false,695699,,,
2018-08-29,01:34.00,AAAAAAAAAAAAAAAA,jump_armaldo,WR,Compact,,,,false,746960,,,
2018-08-29,01:34.00,AAAAAAAAAAAAAAAA,jump_armaldo,WR,Compact,,,,false,746960,,,
2018-08-30,01:29.62,AAAAAAAAAAAAAAAA,jump_armaldo,WR,MapRecord,,-00:04.38,00:04.38,false,748050,,,
2021-03-25,02:33.54,1)al kızını 2,jump_armaldo,WR,IRC,,-00:18.04,,false,1545592,,,
2021-03-25,03:28.38,lardox,jump_armaldo,WR,IRCSet,,,,false,1545592,76561198072886956,[U:1:112621228],
2021-03-25,03:28.38,lardox,jump_armaldo,WR,IRCSet,,,,false,1545929,,,
2021-07-29,01:28.99,kater,jump_armaldo,WR,IRC,,-00:00.63,,false,1651064,,,
2021-07-29,01:28.99,kater,jump_armaldo,WR,MapRecord,,-00:00.63,00:01.03,false,1651100,76561198222006144,[U:1:261740416],
2021-07-29,01:28.99,kater,jump_armaldo,WR,IRC,,-00:00.63,,false,1651138,,,
2022-12-15,01:27.19,twitch.tv/vicetf,jump_armaldo,WR,MapRecord,,-00:01.80,00:02.43,false,2147723,,,
2024-06-22,01:27.19,vice,jump_armaldo,WR,Compact,,,,false,2915252,,,
