date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-06-23,18:52.82,879m | bg5.tf,jump_armature_final,WR,IRC,,-19:05.16,,false,686491,,,
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,IRCSet,,,,false,686491,76561198281755237,[U:1:321489509],
2018-06-23,00:18.64,Tenri.,jump_armature_final,WR,Bonus 3,,-00:23.77,,false,686614,76561198096062185,[U:1:135796457],
2018-06-23,00:22.10,deceptive,jump_armature_final,WR,Bonus 1,,-00:00.48,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,00:28.15,Tenri.,jump_armature_final,WR,Bonus 8,,-00:10.88,,false,686614,76561198096062185,[U:1:135796457],
2018-06-23,00:31.30,y/speedo,jump_armature_final,WR,Bonus 1 First,,,,false,686614,76561198066589108,[U:1:106323380],
2018-06-23,00:33.48,y/speedo,jump_armature_final,WR,Bonus 5 First,,,,false,686614,76561198066589108,[U:1:106323380],
2018-06-23,00:41.69,deceptive,jump_armature_final,WR,Bonus 2,,-00:12.93,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,00:42.41,deceptive,jump_armature_final,WR,Bonus 3 First,,,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,00:54.62,y/speedo,jump_armature_final,WR,Bonus 2 First,,,,false,686614,76561198066589108,[U:1:106323380],
2018-06-23,00:54.97,y/speedo,jump_armature_final,WR,Bonus 8 First,,,,false,686614,76561198066589108,[U:1:106323380],
2018-06-23,01:16.34,Tenri.,jump_armature_final,WR,Course 1,,-00:32.48,,false,686614,76561198096062185,[U:1:135796457],
2018-06-23,03:00.04,deceptive,jump_armature_final,WR,Course 1 First,,,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,15:08.67,deceptive,jump_armature_final,WR,Course 3 First,,,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,18:45.68,deceptive,jump_armature_final,WR,Course 2 First,,,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,18:52.82,879m | bg5.tf,jump_armature_final,WR,IRC,,-19:05.16,,false,686614,,,
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,FirstRecord,,,,false,686614,76561198281755237,[U:1:321489509],
2018-06-23,00:16.91,Dark,jump_armature_final,WR,Bonus 1,,,,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,00:16.91,Dark,jump_armature_final,WR,Bonus 1,,-00:03.34,00:03.34,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,00:18.51,879m | bg5.tf,jump_armature_final,WR,Bonus 3,,-00:00.13,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:20.26,Dark,jump_armature_final,WR,Bonus 1,,-00:00.76,00:02.46,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,00:21.03,879m | bg5.tf,jump_armature_final,WR,Bonus 1,,-00:01.07,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:22.58,Робин в к,jump_armature_final,WR,Bonus 1,,-00:05.38,,false,686627,,,
2018-06-23,00:27.16,879m | bg5.tf,jump_armature_final,WR,Bonus 5,,-00:01.77,00:01.77,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:28.93,879m | bg5.tf,jump_armature_final,WR,Bonus 5,,-00:04.54,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:29.59,879m | bg5.tf,jump_armature_final,WR,Bonus 6,,-00:10.81,00:19.85,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:33.29,Dark,jump_armature_final,WR,Bonus 2,,-00:07.46,,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,00:40.41,Dark,jump_armature_final,WR,Bonus 6,,-00:09.04,,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,00:40.76,879m | bg5.tf,jump_armature_final,WR,Bonus 2,,-00:00.92,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,00:49.45,879m | bg5.tf,jump_armature_final,WR,Bonus 6,,-01:10.42,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,01:04.39,879m | bg5.tf,jump_armature_final,WR,Bonus 7,,-01:26.26,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,06:30.90,879m | bg5.tf,jump_armature_final,WR,Course 2,,-03:10.88,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,08:59.54,879m | bg5.tf,jump_armature_final,WR,Course 3,,-06:09.12,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,09:41.78,Dark,jump_armature_final,WR,Course 2,,-05:49.87,,false,686627,76561198198339378,[U:1:238073650],
2018-06-23,18:52.82,879m | bg5.tf,jump_armature_final,WR,MapRecord,,-19:05.16,,false,686627,76561198043793220,[U:1:83527492],
2018-06-23,18:52.83,-2° btw haHAA,jump_armature_final,WR,MapRun,40:31.08,+21:38.25,,true,686627,76561198099670197,[U:1:139404469],
2018-06-23,18:52.83,Dark,jump_armature_final,WR,MapRun,30:43.97,+11:51.14,,true,686627,76561198198339378,[U:1:238073650],
2018-06-23,18:52.83,mortsquad,jump_armature_final,WR,MapRun,46:52.11,+27:59.28,,true,686627,76561198043176744,[U:1:82911016],
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,IRCSet,,,,false,686627,,,
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,IRCSet,,,,false,686640,,,
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,IRCSet,,,,false,686643,,,
2018-06-23,37:57.99,deceptive,jump_armature_final,WR,IRCSet,,,,false,686647,,,
2018-06-23,18:52.82,879m | bg5.tf,jump_armature_final,WR,IRC,,-19:05.16,,false,686669,,,
2018-06-23,17:02.00,newjuls,jump_armature_final,WR,IRC,,-01:50.81,,false,686699,,,
2018-06-23,17:02.00,newjuls,jump_armature_final,WR,IRC,,-01:50.81,,false,687023,,,
2018-06-23,17:02.00,newjuls,jump_armature_final,WR,IRC,,-01:50.81,,false,687063,76561198396018338,[U:1:435752610],
2018-06-23,06:12.55,newjuls,jump_armature_final,WR,Course 2,,-00:18.34,,false,687087,76561198396018338,[U:1:435752610],
2018-06-23,07:53.06,newjuls,jump_armature_final,WR,Course 3,,-01:05.71,,false,687087,76561198396018338,[U:1:435752610],
2018-06-23,17:02.00,newjuls,jump_armature_final,WR,MapRecord,,-01:50.81,,false,687087,76561198396018338,[U:1:435752610],
2018-06-24,14:53.08,newjuls,jump_armature_final,WR,IRC,,-02:08.92,,false,687431,,,
2018-06-24,01:03.62,newjuls,jump_armature_final,WR,Course 1,,-00:01.03,00:02.65,false,687624,76561198396018338,[U:1:435752610],
2018-06-24,05:22.90,newjuls,jump_armature_final,WR,Course 2,,-00:22.86,00:49.65,false,687624,76561198396018338,[U:1:435752610],
2018-06-24,05:45.76,879m | bg5.tf,jump_armature_final,WR,Course 2,,-00:26.79,00:45.13,false,687624,76561198043793220,[U:1:83527492],
2018-06-24,14:53.08,newjuls,jump_armature_final,WR,MapRecord,,-02:08.92,02:08.92,false,687624,76561198396018338,[U:1:435752610],
2018-06-24,14:53.08,Chief,jump_armature_final,WR,MapRun,29:01.40,+14:08.32,,true,687624,76561198122579111,[U:1:162313383],
2018-06-24,14:53.08,Diabolical,jump_armature_final,WR,MapRun,1:17:09.49,+1:02:16.41,,true,687624,76561198053794949,[U:1:93529221],
2018-06-24,14:53.08,jtravs,jump_armature_final,WR,MapRun,37:06.47,+22:13.39,,true,687624,76561198117262056,[U:1:156996328],
2018-06-24,14:53.09,riot,jump_armature_final,WR,MapRun,35:53.88,+21:00.79,,true,687624,76561198065169685,[U:1:104903957],
2018-06-24,17:02.00,newjuls,jump_armature_final,WR,Compact,,,,false,687624,76561198396018338,[U:1:435752610],
2018-06-24,14:53.08,newjuls,jump_armature_final,WR,IRC,,-02:08.92,,false,687631,,,
2018-07-01,00:11.12,newjuls,jump_armature_final,WR,Bonus 3,,-00:00.25,00:00.82,false,694073,76561198396018338,[U:1:435752610],
2018-07-01,00:15.86,newjuls,jump_armature_final,WR,Bonus 1,,-00:01.05,00:02.67,false,694073,76561198396018338,[U:1:435752610],
2018-07-01,00:16.60,newjuls,jump_armature_final,WR,Bonus 8,,-00:04.18,00:18.26,false,694073,76561198396018338,[U:1:435752610],
2018-07-01,00:16.91,Dark,jump_armature_final,WR,Bonus 1,,,,false,694073,,,
2018-07-01,00:22.60,newjuls,jump_armature_final,WR,Bonus 2,,-00:02.05,00:04.83,false,694073,76561198396018338,[U:1:435752610],
2018-07-01,00:27.17,newjuls,jump_armature_final,WR,Bonus 6,,-00:02.41,00:04.84,false,694073,76561198396018338,[U:1:435752610],
