date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-09-30,00:07.91,Soup -tt,jump_armature_final_zip,WR,Bonus 3,record,zone_record,,-00:00.38,00:02.26,1070227,76561198029285343,[U:1:69019615],
2019-09-30,00:20.65,Soup -tt,jump_armature_final_zip,WR,Bonus 2,record,zone_record,,-00:01.94,,1070227,76561198029285343,[U:1:69019615],
2019-09-30,00:19.28,Soup -tt,jump_armature_final_zip,WR,Bonus 2,record,zone_record,,-00:01.36,00:01.36,1070227,76561198029285343,[U:1:69019615],
2020-02-08,10:36.00,Trent the blacks,jump_armature_final_zip,WR,Map,command,wr_command,,,,,,,
2020-02-08,00:13.34,kater,jump_armature_final_zip,WR,Bonus 8,record,zone_record,,-00:00.43,00:03.11,1168309,76561198222006144,[U:1:261740416],
2020-04-04,10:08.81,879m,jump_armature_final_zip,WR,Map,record,map_record,,-00:27.18,01:12.78,1214757,76561198043793220,[U:1:83527492],
2020-05-29,00:13.90,twitch.tv/newjul,jump_armature_final_zip,WR,Bonus 1,record,zone_record,,-00:00.82,00:00.82,1261833,,,
2020-05-29,00:13.47,twitch.tv/newjul,jump_armature_final_zip,WR,Bonus 1,record,zone_record,,-00:00.43,00:00.43,1261833,,,
2020-06-02,03:38.03,ok,jump_armature_final_zip,WR,Course 2,record,zone_record,,-00:07.65,00:11.30,1265025,76561198222006144,[U:1:261740416],
2020-06-02,03:15.26,ok,jump_armature_final_zip,WR,Course 2,record,zone_record,,-00:22.76,00:22.76,1265025,76561198222006144,[U:1:261740416],
2020-06-02,00:50.21,ok,jump_armature_final_zip,WR,Course 1,record,zone_record,,-00:01.57,00:02.88,1265025,76561198222006144,[U:1:261740416],
2020-06-07,03:06.42,ok,jump_armature_final_zip,WR,Course 2,record,zone_record,,-00:08.84,00:08.84,1270097,76561198222006144,[U:1:261740416],
2020-06-07,09:21.32,ok,jump_armature_final_zip,WR,Map,record,map_record,,-00:47.48,01:59.78,1270097,76561198222006144,[U:1:261740416],
2020-06-17,00:18.76,rea,jump_armature_final_zip,WR,Bonus 2,record,zone_record,,-00:00.52,00:00.52,1278217,76561198029285343,[U:1:69019615],
2020-06-17,00:07.88,rea,jump_armature_final_zip,WR,Bonus 3,record,zone_record,,-00:00.03,00:00.03,1278217,76561198029285343,[U:1:69019615],
2020-06-18,00:36.02,vice,jump_armature_final_zip,WR,Bonus 7,record,zone_record,,-00:00.06,,1278502,76561198366368448,[U:1:406102720],
2020-06-18,00:27.16,vice,jump_armature_final_zip,WR,Bonus 7,record,zone_record,,-00:08.86,00:08.86,1278502,76561198366368448,[U:1:406102720],
2020-06-18,00:25.70,song,jump_armature_final_zip,WR,Bonus 5,record,zone_record,,-00:00.05,00:00.11,1278563,76561198210286877,[U:1:250021149],
2020-06-22,00:13.00,vice,jump_armature_final_zip,WR,Bonus 1,record,zone_record,,-00:00.46,00:02.50,1282133,76561198366368448,[U:1:406102720],
2020-07-04,00:25.30,OMEGA GOLEM,jump_armature_final_zip,WR,Bonus 5,record,zone_record,,-00:00.70,00:00.70,1291792,76561198079412731,[U:1:119147003],
2020-07-08,04:23.96,879m,jump_armature_final_zip,WR,Course 3,record,zone_record,,-00:16.87,00:21.24,1295132,76561198043793220,[U:1:83527492],
