date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-04-05,02:33.03,dancing_weasel.g,jump_auga_final,WR,Map,announcement,irc,,-00:10.78,,,,,
2020-04-06,02:31.81,bruh,jump_auga_final,WR,Map,record,map_record,,-00:01.21,00:01.21,1216821,76561198066947056,[U:1:106681328],
2020-04-06,02:04.39,bruh,jump_auga_final,WR,Map,record,map_record,,-00:27.41,00:27.41,1216821,76561198066947056,[U:1:106681328],
2020-04-28,00:07.45,song,jump_auga_final,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.20,1236582,76561198210286877,[U:1:250021149],
2020-07-12,00:07.15,Lonely,jump_auga_final,WR,Bonus 1,record,zone_record,,-00:00.23,00:00.23,1298879,76561198204104197,[U:1:243838469],
2020-07-29,00:07.05,Lonely,jump_auga_final,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,1312851,76561198204104197,[U:1:243838469],
2020-07-31,00:06.80,song,jump_auga_final,WR,Bonus 1,record,zone_record,,-00:00.18,00:00.24,1314188,76561198210286877,[U:1:250021149],
2021-01-17,01:50.24,unknown,jump_auga_final,WR,Map,observed,wr_split,,,,,,,
2022-08-22,01:36.67,Tupikas,jump_auga_final,WR,Map,record,map_record,,-00:13.56,00:23.05,2033859,76561198391066129,[U:1:430800401],
2024-07-31,01:26.94,₍ᐢᐢ₎. us,jump_auga_final,WR,Map,announcement,irc,,-00:09.73,,,,,
