date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-04-04,16:34.98,Fluffie,jump_auga_rc1,WR,Map,record,first_record,,,,1215410,76561198028114870,[U:1:67849142],
2020-04-04,10:37.21,Aventador,jump_auga_rc1,WR,Map,record,map_record,,-05:57.76,,1215410,76561198254280928,[U:1:294015200],
2020-04-04,00:09.09,Aventador,jump_auga_rc1,WR,Bonus 1,record,zone_first,,,,1215410,76561198254280928,[U:1:294015200],
2020-04-04,00:08.86,Zyphon,jump_auga_rc1,WR,Bonus 1,record,zone_record,,-00:00.22,,1215410,76561198082664774,[U:1:122399046],
2020-04-04,00:08.41,PinkiLuna,jump_auga_rc1,WR,Bonus 1,record,zone_record,,-00:00.01,,1215410,76561198063239281,[U:1:102973553],
2020-04-04,07:04.47,dipp,jump_auga_rc1,WR,Map,record,map_record,,-03:32.74,,1215425,76561198395577807,[U:1:435312079],
2020-04-04,00:08.42,dipp,jump_auga_rc1,WR,Bonus 1,record,zone_record,,-00:00.66,00:00.66,1215425,76561198395577807,[U:1:435312079],
2020-04-04,00:07.99,ΔMirageΔ,jump_auga_rc1,WR,Bonus 1,record,zone_record,,-00:00.41,,1215425,76561198065967716,[U:1:105701988],
2020-04-04,02:43.81,Karmac,jump_auga_rc1,WR,Map,record,map_record,,-04:20.65,,1215473,76561197998047965,[U:1:37782237],
2020-04-04,00:07.55,Karmac,jump_auga_rc1,WR,Bonus 1,record,zone_record,,-00:00.54,00:00.54,1215473,76561197998047965,[U:1:37782237],
