date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-11-04,01:17.08,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:27.46,,false,807622,,,
2018-11-04,01:44.54,CrackuhJax,jump_autumn_rc3,WR,IRCSet,,,,false,807622,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807625,76561198066650704,[U:1:106384976],
2018-11-04,01:17.08,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:27.46,,false,807625,76561198066650704,[U:1:106384976],
2018-11-04,01:44.54,CrackuhJax,jump_autumn_rc3,WR,IRCSet,,,,false,807625,76561198066650704,[U:1:106384976],
2018-11-04,01:17.08,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:27.46,,false,807626,,,
2018-11-04,01:44.54,CrackuhJax,jump_autumn_rc3,WR,IRCSet,,,,false,807626,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,MapRecord,,-00:18.81,00:18.81,false,807628,76561198066650704,[U:1:106384976],
2018-11-04,01:17.08,CrackuhJax,jump_autumn_rc3,WR,MapRecord,,-00:27.46,00:27.46,false,807628,76561198066650704,[U:1:106384976],
2018-11-04,01:44.54,CrackuhJax,jump_autumn_rc3,WR,FirstRecord,,,,false,807628,76561198066650704,[U:1:106384976],
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807636,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807637,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807640,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807646,,,
2018-11-04,00:58.27,CrackuhJax,jump_autumn_rc3,WR,IRC,,-00:18.81,,false,807647,,,
2018-11-05,00:50.97,un gato,jump_autumn_rc3,WR,MapRecord,,-00:02.42,00:02.42,false,808068,76561198066351321,[U:1:106085593],
2018-11-05,00:53.40,un gato,jump_autumn_rc3,WR,MapRecord,,-00:01.53,00:01.53,false,808068,76561198066351321,[U:1:106085593],
2018-11-05,00:54.93,un gato,jump_autumn_rc3,WR,MapRecord,,-00:03.33,00:10.68,false,808068,76561198066351321,[U:1:106085593],
2018-11-12,00:48.95,spongebob2,jump_autumn_rc3,WR,MapRecord,,-00:02.02,00:02.02,false,814020,76561198066351321,[U:1:106085593],
2018-11-30,00:48.95,un gato,jump_autumn_rc3,WR,Compact,,,,false,828877,,,
2019-02-21,00:48.25,kidder,jump_autumn_rc3,WR,MapRecord,,-00:00.70,00:00.94,false,898719,76561198000949987,[U:1:40684259],
2019-02-21,00:48.25,kidder,jump_autumn_rc3,WR,IRC,,-00:00.70,,false,898721,,,
2019-02-26,00:48.17,you can't ignore,jump_autumn_rc3,WR,MapRecord,,-00:00.07,00:00.07,false,902836,,,
2019-03-06,00:47.17,kidder,jump_autumn_rc3,WR,MapRecord,,-00:00.58,00:00.58,false,908914,76561198000949987,[U:1:40684259],
2019-03-06,00:47.75,kidder,jump_autumn_rc3,WR,MapRecord,,-00:00.41,00:00.41,false,908914,76561198000949987,[U:1:40684259],
2020-09-17,00:46.93,mr gato,jump_autumn_rc3,WR,MapRecord,,-00:00.24,00:00.54,false,1360200,76561198126091800,[U:1:165826072],
2020-09-17,00:47.17,The Demon Core .,jump_autumn_rc3,WR,Compact,,,,false,1360200,,,
2021-06-03,00:46.93,DenDro,jump_autumn_rc3,WR,Compact,,,,false,1604775,,,
2023-02-14,00:46.75,demon hours,jump_autumn_rc3,WR,MapRecord,,-00:00.18,00:00.24,false,2213520,76561198029285343,[U:1:69019615],
2023-02-14,00:46.75,demon hours,jump_autumn_rc3,WR,Compact,,,,false,2213520,76561198029285343,[U:1:69019615],
2023-02-14,00:46.75,demon hours,jump_autumn_rc3,WR,IRC,,-00:00.18,,false,2213524,,,
2023-02-14,00:46.75,demon hours,jump_autumn_rc3,WR,IRC,,-00:00.18,,false,2213541,,,
2023-02-14,00:46.75,demon hours,jump_autumn_rc3,WR,IRC,,-00:00.18,,false,2213559,,,
2023-06-13,00:44.61,DenDro,jump_autumn_rc3,WR,MapRecord,,-00:02.14,00:02.32,false,2362241,76561198126091800,[U:1:165826072],
