date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-18,00:58.39,Gebobus,jump_ayers_v2,WR,Course 2,,-00:06.04,00:22.08,false,11333,76561198044263100,STEAM_0:0:41998686,
2014-07-18,01:23.45,Gebobus,jump_ayers_v2,WR,MapRecord,,-00:20.00,00:21.88,false,11333,76561198044263100,STEAM_0:0:41998686,
2014-07-18,01:43.46,OOOOOHHHAAAAAA,jump_ayers_v2,WR,Compact,,,,false,11333,,,
2014-08-06,00:19.04,Aurora.tv,jump_ayers_v2,WR,Course 1,,,,false,14168,76561198053067670,STEAM_0:0:46400971,
2014-08-06,00:19.04,Aurora.tv,jump_ayers_v2,WR,Course 1,,-00:01.47,00:01.47,false,14168,76561198053067670,STEAM_0:0:46400971,
2014-08-06,00:20.51,Aurora.tv,jump_ayers_v2,WR,Course 1,,-00:00.07,00:00.36,false,14168,76561198053067670,STEAM_0:0:46400971,
2014-08-06,00:51.89,Aurora.tv,jump_ayers_v2,WR,Course 2,,-00:00.22,00:01.70,false,14168,76561198053067670,STEAM_0:0:46400971,
2014-08-06,00:52.12,LessThanThree,jump_ayers_v2,WR,Course 2,,,,false,14168,,,
2014-08-06,01:22.86,Aurora.tv,jump_ayers_v2,WR,MapRecord,,-00:00.58,00:20.59,false,14168,76561198053067670,STEAM_0:0:46400971,
2014-11-21,00:51.34,Seras,jump_ayers_v2,WR,Course 2,,-00:00.55,00:04.21,false,31983,76561198070882254,[U:1:110616526],
2014-11-21,01:19.12,Seras,jump_ayers_v2,WR,MapRecord,,-00:03.74,00:07.99,false,31983,76561198070882254,[U:1:110616526],
2014-11-21,01:22.86,Aurora -tt,jump_ayers_v2,WR,Compact,,,,false,31983,,,
2014-11-30,01:16.21,fdsds,jump_ayers_v2,WR,MapRecord,,-00:02.91,00:06.65,false,33874,,,
2014-11-30,01:16.21,Aurora -tt,jump_ayers_v2,WR,Compact,,,,false,33874,76561198053067670,[U:1:92801942],
2015-01-17,00:50.50,HD,jump_ayers_v2,WR,Course 2,,-00:00.83,00:01.39,false,51184,76561198053067670,[U:1:92801942],
2015-01-17,01:15.12,HD,jump_ayers_v2,WR,MapRecord,,-00:01.08,00:01.08,false,51184,76561198053067670,[U:1:92801942],
2015-01-17,01:15.12,HD,jump_ayers_v2,WR,Compact,,,,false,51184,76561198053067670,[U:1:92801942],
2015-01-17,01:16.21,HD,jump_ayers_v2,WR,Compact,,,,false,51184,76561198053067670,[U:1:92801942],
2015-04-06,01:12.29,eli,jump_ayers_v2,WR,MapRecord,,-00:02.82,00:11.54,false,79926,76561198178193207,[U:1:217927479],
2015-04-11,00:18.50,Aurora -tt,jump_ayers_v2,WR,Course 1,,-00:00.53,00:00.53,false,81416,76561198053067670,[U:1:92801942],
2015-04-25,00:47.68,XORA,jump_ayers_v2,WR,Course 2,,-00:00.74,00:02.81,false,86470,76561198053067670,[U:1:92801942],
2015-04-25,01:08.80,XORA,jump_ayers_v2,WR,MapRecord,,-00:03.49,00:06.32,false,86470,76561198053067670,[U:1:92801942],
2015-04-25,01:12.29,dooly,jump_ayers_v2,WR,Compact,,,,false,86470,,,
2019-01-24,00:58.13,Adestix,jump_ayers_v2,WR,MapRun,02:47.31,+01:49.18,00:43.30,true,874691,76561198109451411,[U:1:149185683],
2019-01-27,00:55.21,Boshy,jump_ayers_v2,WR,IRC,,-00:02.92,,false,877407,,,
2019-01-27,00:16.80,Boshy,jump_ayers_v2,WR,Course 1,,-00:00.47,00:00.47,false,877498,76561198046601398,[U:1:86335670],
2019-01-27,00:17.27,Boshy,jump_ayers_v2,WR,Course 1,,-00:00.27,00:00.97,false,877498,76561198046601398,[U:1:86335670],
2019-01-27,00:34.84,Boshy,jump_ayers_v2,WR,Course 2,,-00:02.50,00:02.50,false,877498,76561198046601398,[U:1:86335670],
2019-01-27,00:58.13,Boshy,jump_ayers_v2,WR,Compact,,,,false,877498,76561198046601398,[U:1:86335670],
2019-01-27,00:55.21,Boshy,jump_ayers_v2,WR,IRC,,-00:02.92,,false,877530,,,
2019-01-27,00:16.12,Boshy,jump_ayers_v2,WR,Course 1,,-00:00.24,00:00.24,false,877580,76561198046601398,[U:1:86335670],
2019-01-27,00:55.21,Boshy,jump_ayers_v2,WR,MapRecord,,-00:02.92,00:02.92,false,877580,76561198046601398,[U:1:86335670],
2020-04-25,00:55.21,Boshy,jump_ayers_v2,WR,Compact,,,,false,1234138,,,
2020-08-08,00:09.84,roberto,jump_ayers_v2,WR,Bonus 1,,-00:00.75,00:01.09,false,1320652,76561198070882254,[U:1:110616526],
2020-08-08,00:34.84,Boshy,jump_ayers_v2,WR,Course 2,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:34.84,Boshy,jump_ayers_v2,WR,Course 2,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:55.21,Boshy,jump_ayers_v2,WR,Compact,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:55.21,Boshy,jump_ayers_v2,WR,Compact,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:55.21,Boshy,jump_ayers_v2,WR,Compact,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:55.21,Boshy,jump_ayers_v2,WR,Compact,,,,false,1320652,76561198046601398,[U:1:86335670],
2020-08-08,00:09.64,Boshy,jump_ayers_v2,WR,Bonus 1,,-00:00.19,00:00.48,false,1320825,76561198046601398,[U:1:86335670],
2021-02-28,00:55.22,Boshy,jump_ayers_v2,WR,Compact,,,,false,1521899,,,
2022-04-24,00:55.22,twitch.tv/fastfo,jump_ayers_v2,WR,Compact,,,,false,1926746,,,
2022-05-12,00:54.28,Salty,jump_ayers_v2,WR,IRC,,-00:00.93,,false,1946112,,,
2022-05-12,00:54.28,Salty,jump_ayers_v2,WR,MapRecord,,-00:00.93,00:01.42,false,1946147,76561198070497462,[U:1:110231734],
2022-05-12,00:54.28,Salty,jump_ayers_v2,WR,IRC,,-00:00.93,,false,1946167,,,
2023-01-28,00:54.28,Salty,jump_ayers_v2,WR,Compact,,,,false,2196395,,,
2023-01-29,00:54.28,Salty,jump_ayers_v2,WR,Compact,,,,false,2197565,,,
2023-01-29,00:54.28,Salty,jump_ayers_v2,WR,Compact,,,,false,2197565,,,
2023-11-30,00:15.49,Rellort -fwo -gu,jump_ayers_v2,WR,Course 1,,,,false,2615103,,,
2023-11-30,00:33.12,newjuls,jump_ayers_v2,WR,Course 2,,,,false,2615103,76561198396018338,[U:1:435752610],
2023-11-30,00:33.12,newjuls,jump_ayers_v2,WR,Course 2,,-00:01.18,00:01.18,false,2615103,76561198396018338,[U:1:435752610],
2023-11-30,00:53.95,Rellort -fwo -gu,jump_ayers_v2,WR,Compact,,,,false,2615103,,,
2023-11-30,00:53.95,trivago,jump_ayers_v2,WR,MapRun,13:31.48,+12:37.53,,true,2615103,76561198836363923,[U:1:876098195],
2023-11-30,00:14.79,riotbz,jump_ayers_v2,WR,Course 1,,-00:00.70,00:00.70,false,2615166,76561198065169685,[U:1:104903957],
2023-11-30,00:53.37,newjuls,jump_ayers_v2,WR,MapRecord,,-00:00.58,00:04.80,false,2616106,76561198396018338,[U:1:435752610],
2023-12-03,00:32.26,Rellort -fwo -gu,jump_ayers_v2,WR,Course 2,,-00:00.07,00:00.09,false,2619292,,,
2023-12-03,00:32.35,Rellort -fwo -gu,jump_ayers_v2,WR,Course 2,,-00:00.34,00:00.34,false,2619292,,,
2023-12-03,00:32.70,Rellort -fwo -gu,jump_ayers_v2,WR,Course 2,,-00:00.42,00:01.60,false,2619292,,,
2023-12-03,00:52.98,Rellort -fwo -gu,jump_ayers_v2,WR,MapRecord,,-00:00.39,00:00.97,false,2619292,,,
2023-12-03,00:31.47,riotbz,jump_ayers_v2,WR,Course 2,,-00:00.79,00:00.85,false,2619429,76561198065169685,[U:1:104903957],
2023-12-03,00:32.34,newjuls,jump_ayers_v2,WR,Course 2,,-00:00.01,00:00.78,false,2619429,76561198396018338,[U:1:435752610],
2023-12-03,00:52.51,newjuls,jump_ayers_v2,WR,MapRecord,,-00:00.46,00:00.85,false,2619429,76561198396018338,[U:1:435752610],
2023-12-03,00:52.98,Rellort -fwo -gu,jump_ayers_v2,WR,Compact,,,,false,2619429,,,
2023-12-03,00:52.98,Rellort -fwo -gu,jump_ayers_v2,WR,Compact,,,,false,2619429,,,
2023-12-03,00:52.98,Rellort -fwo -gu,jump_ayers_v2,WR,IRC,,-00:00.39,,false,2619429,,,
2023-12-03,00:53.37,newjuls,jump_ayers_v2,WR,Compact,,,,false,2619429,76561198396018338,[U:1:435752610],
2024-03-05,00:52.51,newjuls,jump_ayers_v2,WR,Compact,,,,false,2760894,,,
2024-03-16,00:52.51,newjuls,jump_ayers_v2,WR,Compact,,,,false,2775626,,,
2024-05-19,00:52.51,nəwjuls,jump_ayers_v2,WR,Compact,,,,false,2865632,,,
2024-07-07,00:14.79,riotbz,jump_ayers_v2,WR,Course 1,,,,false,2938101,,,
2024-07-07,00:31.47,riotbz,jump_ayers_v2,WR,Course 2,,,,false,2938101,,,
2024-07-07,00:52.51,newjuls,jump_ayers_v2,WR,Compact,,,,false,2938101,,,
2024-07-10,00:52.51,newjuls,jump_ayers_v2,WR,Compact,,,,false,2942827,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2943962,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944090,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944140,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944148,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944151,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944207,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944231,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944223,,,
2024-07-11,00:31.47,riotbz,jump_ayers_v2,WR,Course 2,,,,false,2944184,,,
2024-07-11,00:31.47,riotbz,jump_ayers_v2,WR,Course 2,,,,false,2944184,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,MapRecord,,-00:01.74,00:02.25,false,2944184,,,
2024-07-11,00:52.51,newjuls,jump_ayers_v2,WR,Compact,,,,false,2944184,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944235,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944064,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944182,,,
2024-07-11,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,IRC,,-00:01.74,,false,2944152,,,
2024-07-12,00:14.70,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Course 1,,-00:00.09,00:00.25,false,2945822,,,
2024-07-12,00:14.79,riotbz,jump_ayers_v2,WR,Course 1,,,,false,2945822,,,
2024-07-12,00:31.03,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Course 2,,-00:00.43,00:00.54,false,2945822,,,
2025-02-07,00:50.77,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3255144,,,
2025-04-21,00:14.56,muesli,jump_ayers_v2,WR,Course 1,,-00:00.14,00:01.74,false,3285970,76561198379555950,[U:1:419290222],
2025-04-25,00:13.92,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Course 1,,-00:00.64,00:00.78,false,3291600,,,
2025-04-30,00:50.78,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3298294,,,
2025-06-04,00:50.78,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3347505,,,
2025-06-11,00:50.78,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3357608,,,
2025-08-27,00:50.78,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3467451,,,
2025-09-22,00:13.92,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Course 1,,,,false,3503237,,,
2025-10-24,00:50.78,₍ᐢᐢ₎. us,jump_ayers_v2,WR,Compact,,,,false,3548026,,,
