date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337199,76561198020256631,[U:1:59990903],
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337208,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337208,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337209,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337209,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337209,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337215,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337217,76561198035204545,[U:1:74938817],
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337217,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337217,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337218,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337218,76561198020256631,[U:1:59990903],
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337221,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337221,,,
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337221,76561198020256631,[U:1:59990903],
2023-05-27,00:20.73,Waldo,jump_azazel,WR,Bonus 1 First,,,,false,2337233,76561198020256631,[U:1:59990903],
2023-05-27,07:05.35,Waldo,jump_azazel,WR,FirstRecord,,,,false,2337233,76561198020256631,[U:1:59990903],
2023-05-27,07:05.35,Waldo,jump_azazel,WR,IRCSet,,,,false,2337236,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337246,,,
2023-05-27,00:11.38,scoob,jump_azazel,WR,Bonus 1,,-00:09.34,,false,2337251,76561198121428371,[U:1:161162643],
2023-05-27,03:38.92,samburger,jump_azazel,WR,MapRun,05:36.07,+01:57.15,00:38.65,true,2337254,76561198045707908,[U:1:85442180],
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337254,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,MapRecord,,-01:38.41,,false,2337254,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337301,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337301,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337306,,,
2023-05-27,05:26.94,☆world emo bos,jump_azazel,WR,IRC,,-01:38.41,,false,2337306,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337323,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337334,,,
2023-05-27,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337345,,,
2023-05-28,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337384,,,
2023-05-28,05:10.38,Matty,jump_azazel,WR,IRC,,-00:16.56,,false,2337388,,,
2023-05-28,05:10.38,Matty,jump_azazel,WR,MapRecord,,-00:16.56,,false,2337390,76561198035204545,[U:1:74938817],
2023-05-29,03:18.66,Helmi.,jump_azazel,WR,MapRun,09:29.80,+06:11.14,,true,2340062,76561198201985399,[U:1:241719671],
2023-07-04,02:57.78,phancy,jump_azazel,WR,MapRecord,,-00:20.88,00:24.03,false,2391515,76561198116189732,[U:1:155924004],
2023-07-04,02:57.78,phancy,jump_azazel,WR,IRC,,-00:20.88,,false,2391527,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967176,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967270,76561198035204545,[U:1:74938817],
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967301,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967386,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967384,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,MapRecord,,-00:00.84,00:01.59,false,2967311,76561198035204545,[U:1:74938817],
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967387,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967410,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967385,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967389,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967399,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967349,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967285,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967404,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967336,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967345,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967356,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967032,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967403,,,
2024-07-27,02:56.94,Matty,jump_azazel,WR,IRC,,-00:00.84,,false,2967256,,,
2024-08-31,02:56.94,Matty,jump_azazel,WR,Compact,,,,false,3019371,,,
2024-09-27,00:07.65,Waldo,jump_azazel,WR,Bonus 1,,,,true,3058952,,,
2024-10-18,02:56.94,Matty,jump_azazel,WR,Compact,,,,false,3089783,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299557,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299606,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299697,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299690,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299661,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,MapRecord,,-00:01.44,00:27.03,false,3299640,76561198396018338,[U:1:435752610],
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299700,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299664,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299706,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299668,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299701,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299704,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299678,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299699,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299705,,,
2025-05-01,02:55.50,newjuls,jump_azazel,WR,IRC,,-00:01.44,,false,3299689,,,
2025-05-29,02:55.50,newjuls,jump_azazel,WR,Compact,,,,false,3339238,,,
