date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-06-22,00:07.15,CT,jump_azure_v2,WR,Bonus 1,,-00:00.28,,false,8614,76561197995205183,STEAM_0:1:17469727,
2014-07-23,15:41.23,guyyst,jump_azure_v2,WR,MapRecord,,-08:55.24,,false,12040,76561198041343262,STEAM_0:0:40538767,
2014-08-05,01:38.86,HeliX,jump_azure_v2,WR,Course 1,,-00:00.07,00:00.07,false,14029,76561197971599263,STEAM_0:1:5666767,
2014-08-05,01:38.93,HeliX,jump_azure_v2,WR,Course 1,,-00:01.15,00:07.80,false,14029,76561197971599263,STEAM_0:1:5666767,
2014-08-05,10:30.87,HeliX,jump_azure_v2,WR,MapRecord,,-05:10.36,,false,14029,76561197971599263,STEAM_0:1:5666767,
2014-08-05,15:41.23,guyyst,jump_azure_v2,WR,Compact,,,,false,14029,,,
2014-08-13,06:31.53,iridescence,jump_azure_v2,WR,Course 2,,-00:55.75,01:57.83,false,15398,76561197971599263,STEAM_0:1:5666767,
2014-08-13,08:29.20,iridescence,jump_azure_v2,WR,MapRecord,,-02:01.66,02:01.66,false,15398,76561197971599263,STEAM_0:1:5666767,
2014-08-30,08:13.03,Torii,jump_azure_v2,WR,MapRecord,,-00:16.17,04:11.11,false,19087,76561198017342289,[U:1:57076561],
2014-08-30,08:29.20,Renovatio,jump_azure_v2,WR,Compact,,,,false,19087,,,
2014-10-17,04:15.71,guyyst,jump_azure_v2,WR,Course 2,,-01:04.28,03:11.56,false,24299,76561198041343262,[U:1:81077534],
2014-10-17,07:22.52,guyyst,jump_azure_v2,WR,MapRecord,,-00:50.50,08:18.70,false,24299,76561198041343262,[U:1:81077534],
2014-10-17,07:22.52,guyyst,jump_azure_v2,WR,Compact,,,,false,24299,76561198041343262,[U:1:81077534],
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-10-17,08:13.03,Torii,jump_azure_v2,WR,Compact,,,,false,24299,,,
2014-11-15,01:27.89,Gebobus,jump_azure_v2,WR,Course 1,,-00:10.26,00:18.82,false,30693,76561198044263100,[U:1:83997372],
2014-11-15,04:15.71,guyyst,jump_azure_v2,WR,Course 2,,,,false,30693,76561198041343262,[U:1:81077534],
2014-11-15,07:22.52,guyyst,jump_azure_v2,WR,Compact,,,,false,30693,76561198041343262,[U:1:81077534],
2015-01-14,07:10.15,LessThanThree,jump_azure_v2,WR,MapRecord,,-00:12.37,04:17.32,false,49913,76561198066563951,[U:1:106298223],
2015-01-14,07:22.52,guyyst,jump_azure_v2,WR,Compact,,,,false,49913,,,
2015-05-15,07:10.15,LTT,jump_azure_v2,WR,Ranked,,,,true,93842,,,
2015-05-15,07:10.15,Newjuls,jump_azure_v2,WR,MapRun,27:21.29,+20:11.14,12:23.46,true,93842,76561198065855696,[U:1:105589968],
2015-05-15,07:10.15,minty,jump_azure_v2,WR,MapRun,29:02.05,+21:51.90,13:31.55,true,93842,76561198178193207,[U:1:217927479],
2015-08-21,06:53.86,jondeezy -tt,jump_azure_v2,WR,MapRecord,,-00:16.28,02:42.87,false,130901,76561198055778722,[U:1:95512994],
2015-09-01,00:07.06,LessThanThree ti,jump_azure_v2,WR,Bonus 1,,,,false,135345,,,
2015-09-01,03:26.23,LessThanThree ti,jump_azure_v2,WR,Course 2,,-00:49.48,01:36.07,false,135345,,,
2015-09-01,06:49.28,LessThanThree ti,jump_azure_v2,WR,MapRecord,,-00:04.57,00:20.86,false,135345,,,
2015-09-01,06:53.86,jondeezy,jump_azure_v2,WR,Compact,,,,false,135345,,,
2015-09-01,06:53.86,jondeezy,jump_azure_v2,WR,Compact,,,,false,135345,,,
2015-09-01,06:53.86,jondeezy,jump_azure_v2,WR,Compact,,,,false,135345,,,
2015-09-01,06:53.86,jondeezy,jump_azure_v2,WR,Compact,,,,false,135345,,,
2015-09-01,06:53.86,jondeezy,jump_azure_v2,WR,Compact,,,,false,135345,,,
2015-09-01,06:53.86,func,jump_azure_v2,WR,MapRun,10:03.82,+03:09.96,08:32.68,true,135345,76561198088581265,[U:1:128315537],
2015-09-01,06:53.87,Gauge,jump_azure_v2,WR,MapRun,1:29:27.70,+1:22:33.83,,true,135345,76561197998802876,[U:1:38537148],
2015-09-02,01:27.46,jondeezy,jump_azure_v2,WR,Course 1,,-00:00.43,00:04.21,false,135713,76561198055778722,[U:1:95512994],
2015-09-02,06:32.47,jondeezy,jump_azure_v2,WR,MapRecord,,-00:16.81,00:21.38,false,135713,76561198055778722,[U:1:95512994],
2015-09-02,06:32.47,jondeezy,jump_azure_v2,WR,IRC,,-00:16.81,,false,135719,,,
2018-01-21,04:14.08,vice,jump_azure_v2,WR,MapRun,16:56.42,+12:42.34,,true,556957,76561197960496196,[U:1:230468],
2019-01-22,02:32.59,Boshy,jump_azure_v2,WR,Course 2,,-00:06.73,00:17.93,false,873043,76561198046601398,[U:1:86335670],
2019-01-22,02:39.33,iTac,jump_azure_v2,WR,Course 2,,,,false,873043,,,
2019-01-22,04:14.08,Boshy,jump_azure_v2,WR,Compact,,,,false,873043,76561198046601398,[U:1:86335670],
2019-01-22,04:14.08,Boshy,jump_azure_v2,WR,Compact,,,,false,873043,76561198046601398,[U:1:86335670],
2019-05-21,00:05.62,Boshy,jump_azure_v2,WR,Bonus 1,,-00:00.18,00:05.48,false,967964,76561198046601398,[U:1:86335670],
2019-08-07,04:14.09,Hass,jump_azure_v2,WR,MapRun,16:05.74,+11:51.65,,true,1028847,76561198152719870,[U:1:192454142],
2019-08-07,02:32.59,cummies in my tu,jump_azure_v2,WR,Course 2,,,,false,1028866,,,
2019-08-07,04:14.08,cummies in my tu,jump_azure_v2,WR,Compact,,,,false,1028866,,,
2019-08-07,04:14.08,Hass,jump_azure_v2,WR,MapRun,08:24.19,+04:10.11,,true,1028866,76561198152719870,[U:1:192454142],
2020-10-19,04:14.08,twitch.tv/boshyt,jump_azure_v2,WR,MapRun,08:26.23,+04:12.15,,true,1392293,,,
2021-03-10,00:05.56,riot,jump_azure_v2,WR,Bonus 1,,-00:00.24,00:00.63,false,1531640,76561198065169685,[U:1:104903957],
2021-03-10,04:14.08,Boshy,jump_azure_v2,WR,Compact,,,,false,1531640,,,
2021-03-10,04:14.08,diller,jump_azure_v2,WR,MapRun,06:07.26,+01:53.18,,true,1531640,76561198040963460,[U:1:80697732],
2021-03-11,01:09.48,diller,jump_azure_v2,WR,Course 1,,-00:00.77,00:02.85,false,1532566,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,Boshy,jump_azure_v2,WR,Compact,,,,false,1532566,,,
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:47.55,+00:33.47,00:06.66,true,1532566,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:54.21,+00:40.13,00:06.19,true,1532566,76561198040963460,[U:1:80697732],
2021-03-11,01:09.00,diller,jump_azure_v2,WR,Course 1,,-00:00.48,00:00.48,false,1533084,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:17.70,+00:03.62,00:02.16,true,1533084,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:18.99,+00:04.91,,true,1533084,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:19.86,+00:05.78,00:19.68,true,1533084,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:20.14,+00:06.06,,true,1533084,76561198040963460,[U:1:80697732],
2021-03-11,04:14.08,diller,jump_azure_v2,WR,MapRun,04:39.54,+00:25.46,00:08.01,true,1533084,76561198040963460,[U:1:80697732],
2021-03-15,03:58.57,diller,jump_azure_v2,WR,MapRecord,,-00:15.51,00:19.12,false,1535966,76561198040963460,[U:1:80697732],
2021-03-15,04:14.08,Boshy,jump_azure_v2,WR,Compact,,,,false,1535966,,,
2021-03-15,03:58.57,diller,jump_azure_v2,WR,IRC,,-00:15.51,,false,1535973,,,
2021-03-15,03:58.57,diller,jump_azure_v2,WR,IRC,,-00:15.51,,false,1536001,76561198040963460,[U:1:80697732],
2021-04-01,03:58.57,Elandi!!,jump_azure_v2,WR,MapRun,08:38.89,+04:40.32,,true,1552316,76561198293964874,[U:1:333699146],
2021-04-01,03:58.57,TT,jump_azure_v2,WR,MapRun,40:15.01,+36:16.44,,true,1552316,76561198083393116,[U:1:123127388],
2021-04-01,03:58.57,seras,jump_azure_v2,WR,MapRun,07:28.54,+03:29.97,02:04.80,true,1552316,76561198070882254,[U:1:110616526],
2021-04-01,03:58.57,seras,jump_azure_v2,WR,MapRun,09:33.34,+05:34.77,00:42.30,true,1552316,76561198070882254,[U:1:110616526],
2021-04-01,03:58.58,Elandi!!,jump_azure_v2,WR,MapRun,06:51.87,+02:53.29,00:47.16,true,1552316,76561198293964874,[U:1:333699146],
2022-04-12,03:58.57,diller,jump_azure_v2,WR,Compact,,,,false,1914382,,,
2022-04-12,03:58.57,ixam,jump_azure_v2,WR,MapRun,18:33.37,+14:34.80,,true,1914382,76561198082109328,[U:1:121843600],
2022-04-12,03:58.57,nibs,jump_azure_v2,WR,MapRun,27:17.71,+23:19.14,,true,1914382,76561198035282173,[U:1:75016445],
2022-04-12,03:58.57,twoog,jump_azure_v2,WR,MapRun,1:02:31.90,+58:33.33,,true,1914382,76561198027761049,[U:1:67495321],
2022-04-12,03:58.57,ｼElandi!!,jump_azure_v2,WR,MapRun,12:47.20,+08:48.63,,true,1914382,76561198293964874,[U:1:333699146],
2022-05-10,02:32.34,vice,jump_azure_v2,WR,Course 2,,-00:00.25,00:18.61,false,1943924,76561198366368448,[U:1:406102720],
2023-02-26,01:08.85,vice,jump_azure_v2,WR,Course 1,,-00:00.15,00:01.08,false,2225563,76561198366368448,[U:1:406102720],
2023-02-26,03:58.57,vice,jump_azure_v2,WR,MapRun,04:35.95,+00:37.38,00:29.49,true,2225563,76561198366368448,[U:1:406102720],
2023-02-26,03:58.57,vice,jump_azure_v2,WR,MapRun,04:41.29,+00:42.72,,true,2225563,76561198366368448,[U:1:406102720],
2023-02-27,01:06.21,vice,jump_azure_v2,WR,Course 1,,-00:02.64,00:02.64,false,2226535,76561198366368448,[U:1:406102720],
2023-02-27,03:58.57,diller,jump_azure_v2,WR,Compact,,,,false,2226535,,,
2023-06-03,00:05.38,SkyeDoesRJ -rng,jump_azure_v2,WR,Bonus 1,,-00:00.18,00:00.21,false,2347306,76561197988619397,[U:1:28353669],
2023-06-10,00:05.20,SkyeDoesRJ -rng,jump_azure_v2,WR,Bonus 1,,-00:00.18,00:00.18,false,2358227,76561197988619397,[U:1:28353669],
2023-10-18,02:24.79,Helmi. -CC,jump_azure_v2,WR,Course 2,,-00:07.54,00:34.96,false,2551915,76561198201985399,[U:1:241719671],
2023-10-18,03:58.57,diller,jump_azure_v2,WR,Compact,,,,false,2551915,,,
2023-10-18,03:58.57,Helmi. -CC,jump_azure_v2,WR,MapRun,09:30.52,+05:31.95,,true,2551915,76561198201985399,[U:1:241719671],
2023-10-18,03:58.57,Helmi. -CC,jump_azure_v2,WR,MapRun,09:32.08,+05:33.51,,true,2551915,76561198201985399,[U:1:241719671],
2023-10-18,03:58.57,Man_riding_a_Shr,jump_azure_v2,WR,MapRun,34:26.53,+30:27.96,,true,2551915,,,
2023-10-18,03:58.57,aki,jump_azure_v2,WR,MapRun,26:18.76,+22:20.19,,true,2551915,76561198048851475,[U:1:88585747],
2023-10-18,03:58.57,brbrbr,jump_azure_v2,WR,MapRun,48:09.88,+44:11.31,,true,2551915,76561198068840752,[U:1:108575024],
2023-10-18,03:58.57,inakilbss,jump_azure_v2,WR,MapRun,43:19.33,+39:20.76,,true,2551915,76561198105613891,[U:1:145348163],
2023-10-18,03:58.57,wrath,jump_azure_v2,WR,MapRun,05:05.41,+01:06.84,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.57,wrath,jump_azure_v2,WR,MapRun,05:09.82,+01:11.25,07:33.28,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.57,wrath,jump_azure_v2,WR,MapRun,05:12.91,+01:14.34,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.57,wrath,jump_azure_v2,WR,MapRun,05:49.21,+01:50.64,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,04:36.75,+00:38.17,00:26.19,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,05:02.94,+01:04.36,00:06.88,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,05:13.89,+01:15.31,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,05:19.23,+01:20.65,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,06:00.99,+02:02.41,,true,2551915,76561198102462417,[U:1:142196689],
2023-10-18,03:58.58,wrath,jump_azure_v2,WR,MapRun,06:55.65,+02:57.07,,true,2551915,76561198102462417,[U:1:142196689],
