date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2015-02-21,01:15.76,Top Cake A banjo,jump_babylon,WR,MapRecord,,-00:02.86,00:08.52,false,63567,76561198070783552,[U:1:110517824],
2015-02-21,01:15.77,Top Cake A banjo,jump_babylon,WR,MapRun,01:16.15,+00:00.38,,true,63567,76561198070783552,[U:1:110517824],
2015-02-21,01:15.77,๖ۣۜSimonۣۜ,jump_babylon,WR,MapRun,01:19.18,+00:03.41,,true,63567,,,
2015-02-21,01:21.78,Top Cake A banjo,jump_babylon,WR,MapRun,01:24.28,+00:02.50,,true,63567,76561198070783552,[U:1:110517824],
2015-02-21,01:30.64,๖ۣۜSimonۣۜ,jump_babylon,WR,FirstRecord,,,,false,63567,,,
2015-02-21,01:05.54,Kucinoブッバ,jump_babylon,WR,MapRecord,,-00:03.18,00:03.18,false,63607,76561198045405184,[U:1:85139456],
2015-02-21,01:05.55,Gebobus,jump_babylon,WR,MapRun,01:09.18,+00:03.63,00:11.52,true,63607,76561198044263100,[U:1:83997372],
2015-02-21,01:08.73,Kucinoブッバ,jump_babylon,WR,MapRecord,,-00:06.94,00:11.96,false,63607,76561198045405184,[U:1:85139456],
2015-02-21,01:15.67,Seras,jump_babylon,WR,IRC,,-00:00.09,,false,63607,,,
2015-02-21,01:15.76,Kucinoブッバ,jump_babylon,WR,MapRun,01:20.69,+00:04.93,,true,63607,76561198045405184,[U:1:85139456],
2015-02-21,01:15.77,Gebobus,jump_babylon,WR,MapRun,01:20.70,+00:04.93,,true,63607,76561198044263100,[U:1:83997372],
2015-02-21,01:04.24,Topkek,jump_babylon,WR,MapRecord,,-00:01.30,00:02.67,false,63611,76561198070783552,[U:1:110517824],
2015-02-21,01:05.54,Kucinoブッバ,jump_babylon,WR,Compact,,,,false,63611,,,
2015-02-21,01:05.54,Kucinoブッバ,jump_babylon,WR,IRC,,-00:03.18,,false,63611,,,
2015-02-21,01:05.55,Codie,jump_babylon,WR,MapRun,01:11.17,+00:05.62,00:07.05,true,63611,76561198149832229,[U:1:189566501],
2015-02-21,01:05.55,Codie,jump_babylon,WR,MapRun,01:15.11,+00:09.56,,true,63611,76561198149832229,[U:1:189566501],
