date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-04-23,00:36.12,♥sara,jump_bait_a6,WR,IRC,,-00:03.75,,false,1571850,,,
2021-04-23,00:39.87,♥sara,jump_bait_a6,WR,IRC,,-00:03.63,,false,1571850,,,
2021-04-23,00:54.37,hex,jump_bait_a6,WR,IRC,,-00:32.28,,false,1571850,,,
2021-04-23,01:26.65,Erik,jump_bait_a6,WR,IRCSet,,,,false,1571850,,,
2021-04-23,00:54.37,hex,jump_bait_a6,WR,IRC,,-00:32.28,,false,1571878,,,
2021-04-23,01:26.65,Erik,jump_bait_a6,WR,IRCSet,,,,false,1571878,,,
2021-04-23,00:35.68,♥sara,jump_bait_a6,WR,IRC,,-00:00.43,,false,1571880,,,
2021-04-23,00:36.12,♥sara,jump_bait_a6,WR,IRC,,-00:03.75,,false,1571880,,,
2021-04-23,00:39.87,♥sara,jump_bait_a6,WR,IRC,,-00:03.63,,false,1571880,,,
2021-04-23,00:54.37,hex,jump_bait_a6,WR,IRC,,-00:32.28,,false,1571880,,,
2021-04-23,01:26.65,Erik,jump_bait_a6,WR,IRCSet,,,,false,1571880,,,
2021-04-23,00:34.57,♥sara,jump_bait_a6,WR,IRC,,-00:01.11,,false,1571884,76561198095639158,[U:1:135373430],
2021-04-23,00:35.68,♥sara,jump_bait_a6,WR,IRC,,-00:00.43,,false,1571884,76561198095639158,[U:1:135373430],
2021-04-23,00:36.12,♥sara,jump_bait_a6,WR,MapRecord,,-00:03.75,00:03.75,false,1571884,76561198095639158,[U:1:135373430],
2021-04-23,00:39.87,♥sara,jump_bait_a6,WR,MapRecord,,-00:03.63,00:04.30,false,1571884,76561198095639158,[U:1:135373430],
2021-04-23,00:54.37,hex,jump_bait_a6,WR,MapRecord,,-00:32.28,,false,1571884,76561198181342094,[U:1:221076366],
2021-04-23,01:26.65,Erik,jump_bait_a6,WR,FirstRecord,,,,false,1571884,76561198048698026,[U:1:88432298],
2021-04-23,00:35.68,♥sara,jump_bait_a6,WR,IRC,,-00:00.43,,false,1571891,,,
2021-04-23,00:36.12,♥sara,jump_bait_a6,WR,IRC,,-00:03.75,,false,1571891,,,
2021-04-23,00:39.87,♥sara,jump_bait_a6,WR,IRC,,-00:03.63,,false,1571891,,,
2021-04-23,00:54.37,hex,jump_bait_a6,WR,IRC,,-00:32.28,,false,1571891,,,
