date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2014-05-24,01:20.14,Aurora -tt,jump_beef,WR,Map,command,wr_command,,,,,76561198053067670,STEAM_0:0:46400971,
2014-05-24,00:17.66,Aurora -tt,jump_beef,WR,Course 2,record,zone_record,,-00:02.23,00:02.23,1435,76561198053067670,STEAM_0:0:46400971,
2014-05-24,01:19.19,Aurora -tt,jump_beef,WR,Map,record,map_record,,-00:00.94,00:00.94,1435,76561198053067670,STEAM_0:0:46400971,
2014-05-24,00:15.35,Aurora -tt,jump_beef,WR,Course 1,record,zone_record,,-00:00.20,00:00.20,1435,76561198053067670,STEAM_0:0:46400971,
2014-05-24,01:13.57,Aurora -tt,jump_beef,WR,Map,record,map_record,,-00:05.62,00:05.62,1435,76561198053067670,STEAM_0:0:46400971,
2014-05-24,00:15.13,Aurora -tt,jump_beef,WR,Course 1,record,zone_record,,-00:00.22,00:00.22,1435,76561198053067670,STEAM_0:0:46400971,
2014-06-21,01:11.94,guyyst,jump_beef,WR,Map,record,map_record,,-00:01.63,,8553,76561198041343262,STEAM_0:0:40538767,
2014-08-23,00:21.39,Torii,jump_beef,WR,Course 3,record,zone_record,,-00:00.43,00:00.44,17444,76561198017342289,[U:1:57076561],
2014-10-12,00:14.77,Aurora -tt,jump_beef,WR,Course 1,record,zone_record,,-00:00.16,00:00.26,23101,76561198053067670,[U:1:92801942],
2014-10-28,00:05.76,Aurora -tt,jump_beef,WR,Bonus 1,command,wr_command,,,,,76561198053067670,[U:1:92801942],
2014-10-28,00:14.03,guyyst,jump_beef,WR,Course 1,record,zone_record,,-00:00.31,00:00.37,26819,76561198041343262,[U:1:81077534],
2014-10-28,00:05.75,guyyst,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.00,00:00.12,26819,76561198041343262,[U:1:81077534],
2014-10-28,00:05.72,guyyst,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.02,00:00.02,26819,76561198041343262,[U:1:81077534],
2014-11-18,00:16.01,Torii,jump_beef,WR,Course 2,record,zone_record,,-00:00.31,00:00.33,31417,76561198017342289,[U:1:57076561],
2015-06-28,01:08.33,twitch.tv/aurora,jump_beef,WR,Map,record,map_record,,-00:03.60,00:05.23,111754,,,
2017-12-29,01:01.67,kidder,jump_beef,WR,Map,command,rank_command,,,,,,,
2017-12-29,00:12.34,kidder,jump_beef,WR,Course 1,command,wr_command,,,,,,,
2017-12-30,01:01.48,kidder,jump_beef,WR,Map,record,map_record,,-00:00.19,00:00.19,539123,76561198000949987,[U:1:40684259],
2018-01-03,00:12.30,kidder,jump_beef,WR,Course 1,record,zone_record,,-00:00.04,00:00.04,542695,76561198000949987,[U:1:40684259],
2018-01-04,01:00.97,waluigi noise (t,jump_beef,WR,Map,record,map_record,,-00:00.51,00:00.51,543600,,,
2018-02-23,00:20.66,kidbz,jump_beef,WR,Course 3,record,zone_record,,-00:00.57,00:00.57,583676,76561198000949987,[U:1:40684259],
2018-02-28,00:12.26,im kidder?,jump_beef,WR,Course 1,record,zone_record,,-00:00.03,00:00.03,587127,76561198000949987,[U:1:40684259],
2018-03-02,01:00.41,kidder,jump_beef,WR,Map,record,map_record,,-00:00.55,00:00.55,588935,76561198000949987,[U:1:40684259],
2018-12-02,00:15.98,kidder,jump_beef,WR,Course 2,record,zone_record,,-00:00.00,00:00.00,830895,76561198000949987,[U:1:40684259],
2018-12-02,00:15.82,kidder,jump_beef,WR,Course 2,record,zone_record,,-00:00.16,00:00.16,830895,76561198000949987,[U:1:40684259],
2018-12-02,00:15.59,kidder,jump_beef,WR,Course 2,record,zone_record,,-00:00.22,00:00.22,830895,76561198000949987,[U:1:40684259],
2018-12-12,00:59.10,Hogs Aren't Safe,jump_beef,WR,Map,record,map_record,,-00:01.31,00:01.31,839095,,,
2019-05-24,00:15.57,vice,jump_beef,WR,Course 2,record,zone_record,,-00:00.02,00:00.05,969712,76561198366368448,[U:1:406102720],
2019-06-01,00:05.05,Boshy,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.04,976343,76561198046601398,[U:1:86335670],
2019-06-01,00:05.04,Boshy,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.01,00:00.01,976343,76561198046601398,[U:1:86335670],
2019-06-01,00:04.93,Boshy,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.10,00:00.10,976343,76561198046601398,[U:1:86335670],
2019-08-01,00:15.55,kidder,jump_beef,WR,Course 2,record,zone_record,,-00:00.01,00:00.02,1023621,76561198000949987,[U:1:40684259],
2019-08-01,00:15.49,kidder -charizar,jump_beef,WR,Course 2,record,zone_record,,-00:00.06,00:00.06,1024001,,,
2019-08-01,00:15.46,kidder -charizar,jump_beef,WR,Course 2,record,zone_record,,-00:00.02,00:00.02,1024001,,,
2019-09-04,00:19.95,this map will ki,jump_beef,WR,Course 3,record,zone_record,,-00:00.71,00:00.71,1050284,,,
2019-09-06,00:19.75,kidder,jump_beef,WR,Course 3,record,zone_record,,-00:00.19,00:00.19,1051804,76561198000949987,[U:1:40684259],
2019-09-08,00:19.72,kidder,jump_beef,WR,Course 3,record,zone_record,,-00:00.03,00:00.03,1053161,76561198000949987,[U:1:40684259],
2019-09-08,00:19.48,kidder,jump_beef,WR,Course 3,record,zone_record,,-00:00.23,00:00.23,1053161,76561198000949987,[U:1:40684259],
2020-08-06,00:12.24,twitch.tv/boshyt,jump_beef,WR,Course 1,record,zone_record,,-00:00.02,00:00.05,1319613,,,
2020-08-06,00:11.80,twitch.tv/boshyt,jump_beef,WR,Course 1,record,zone_record,,-00:00.43,00:00.43,1319613,,,
2020-08-08,00:15.33,Boshy,jump_beef,WR,Course 2,record,zone_record,,-00:00.13,00:00.47,1320980,76561198046601398,[U:1:86335670],
2020-08-08,00:19.30,Boshy,jump_beef,WR,Course 3,record,zone_record,,-00:00.18,00:01.67,1321023,76561198046601398,[U:1:86335670],
2020-08-11,00:58.99,twitch.tv/boshyt,jump_beef,WR,Map,record,map_record,,-00:00.10,00:00.25,1323626,,,
2021-03-11,00:04.78,RueLee ♥,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.22,00:00.24,1533011,76561198248800010,[U:1:288534282],
2021-03-24,00:04.62,song,jump_beef,WR,Bonus 1,record,zone_record,,-00:00.16,00:00.19,1544981,76561198210286877,[U:1:250021149],
