date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-12-23,02:14.93,BIGTROLL,jump_benroads2_a3,WR,Map,command,rank_command,,,,,,,
2017-12-23,00:01.78,Boshy,jump_benroads2_a3,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.09,532985,76561198046601398,[U:1:86335670],
2018-03-30,00:07.15,syphilis,jump_benroads2_a3,WR,Bonus 2,record,zone_record,,-00:00.93,00:00.93,612191,76561198235977602,[U:1:275711874],
2018-07-29,00:03.66,Henry,jump_benroads2_a3,WR,Bonus 4,record,zone_record,,-00:00.01,00:00.23,720262,,,
2018-07-29,00:03.53,Boshy,jump_benroads2_a3,WR,Bonus 4,record,zone_record,,-00:00.12,00:00.13,720473,76561198046601398,[U:1:86335670],
2018-12-05,00:04.69,879n,jump_benroads2_a3,WR,Bonus 6,command,wr_command,,,,,76561198366368448,[U:1:406102720],
2019-02-20,02:10.59,twitch.tv/boshyt,jump_benroads2_a3,WR,Map,record,map_record,,-00:04.34,00:12.91,897987,,,
2019-03-09,00:04.16,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:01.06,00:01.06,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:04.01,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.15,00:00.15,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:03.97,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.04,00:00.04,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:03.91,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.06,00:00.06,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:03.76,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.14,00:00.14,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:03.71,Beagle,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.04,00:00.04,910930,76561198084406120,[U:1:124140392],
2019-03-09,00:03.25,Boshy,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.46,00:01.11,911058,76561198046601398,[U:1:86335670],
2019-06-03,00:07.09,Boshy,jump_benroads2_a3,WR,Bonus 2,record,zone_record,,-00:00.05,00:00.53,977555,76561198046601398,[U:1:86335670],
2019-06-03,00:02.02,Boshy,jump_benroads2_a3,WR,Bonus 7,record,zone_record,,-00:00.01,00:00.09,977573,76561198046601398,[U:1:86335670],
2021-02-19,00:02.01,Skye -rng,jump_benroads2_a3,WR,Bonus 7,record,zone_record,,-00:00.02,00:00.03,1513042,76561197988619397,[U:1:28353669],
2021-02-21,00:06.45,jannie,jump_benroads2_a3,WR,Bonus 3,record,zone_record,,-00:00.07,00:00.07,1515326,76561198325883671,[U:1:365617943],
2021-03-13,00:03.70,Skye -rng,jump_benroads2_a3,WR,Bonus 6,record,zone_record,,-00:00.01,00:00.10,1534678,76561197988619397,[U:1:28353669],
2021-03-19,00:01.87,cander,jump_benroads2_a3,WR,Bonus 8,record,zone_record,,-00:00.04,00:00.09,1539871,76561198318722879,[U:1:358457151],
2021-03-19,00:06.42,purplevice,jump_benroads2_a3,WR,Bonus 3,record,zone_record,,-00:00.03,00:00.27,1539871,76561198366368448,[U:1:406102720],
2021-03-19,00:06.09,purplevice,jump_benroads2_a3,WR,Bonus 3,record,zone_record,,-00:00.33,00:00.33,1539871,76561198366368448,[U:1:406102720],
2021-03-19,00:01.68,purplevice,jump_benroads2_a3,WR,Bonus 8,record,zone_record,,-00:00.19,00:00.19,1539871,76561198366368448,[U:1:406102720],
2021-04-05,02:09.37,nevos,jump_benroads2_a3,WR,Map,record,map_record,,-00:16.14,00:16.14,1556146,76561198133103832,[U:1:172838104],
2021-04-21,00:01.75,Kittaye,jump_benroads2_a3,WR,Bonus 1,record,zone_record,,-00:00.03,00:00.03,1569294,76561198018540237,[U:1:58274509],
2021-04-26,00:01.69,Kittaye,jump_benroads2_a3,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.06,1573602,76561198018540237,[U:1:58274509],
