date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2017-11-17,00:44.16,Chief,jump_beyond_b3,WR,MapRun,00:47.50,+00:03.34,,true,504894,76561198122579111,[U:1:162313383]
2018-02-05,00:44.14,Chief,jump_beyond_b3,WR,MapRecord,,-00:00.01,00:00.42,false,569267,76561198122579111,[U:1:162313383]
2018-04-20,00:43.58,Chief,jump_beyond_b3,WR,MapRecord,,-00:00.55,00:00.55,false,629277,76561198122579111,[U:1:162313383]
2018-05-21,00:43.40,Chief,jump_beyond_b3,WR,MapRecord,,-00:00.17,00:00.17,false,655402,76561198122579111,[U:1:162313383]
2018-07-02,00:43.15,Ned✵,jump_beyond_b3,WR,MapRecord,,-00:00.25,00:00.43,false,694906,76561198154207916,[U:1:193942188]
2018-07-03,00:42.82,Chief,jump_beyond_b3,WR,IRC,,-00:00.32,,false,695699,,
2018-09-08,00:42.00,Ned✵,jump_beyond_b3,WR,MapRecord,,-00:00.82,00:01.09,false,756255,76561198154207916,[U:1:193942188]
2018-09-14,00:40.90,Ned✵,jump_beyond_b3,WR,MapRecord,,-00:00.31,00:00.31,false,761317,76561198154207916,[U:1:193942188]
2018-09-15,00:40.24,Ned✵,jump_beyond_b3,WR,IRC,,-00:00.66,,false,762462,,
2018-10-18,00:40.21,Ned✵,jump_beyond_b3,WR,IRC,,-00:00.03,,false,792795,,
2020-02-23,00:40.04,Chief,jump_beyond_b3,WR,IRC,,-00:00.16,,false,1179754,,
2020-03-11,00:39.76,Chief,jump_beyond_b3,WR,IRC,,-00:00.10,,false,1193788,,
2023-07-06,00:39.12,vice,jump_beyond_b3,WR,MapRecord,,-00:00.37,00:00.37,false,2393790,76561198366368448,[U:1:406102720]
2024-01-18,00:38.58,fox,jump_beyond_b3,WR,MapRecord,,-00:00.54,00:06.67,false,2689138,76561198046601398,[U:1:86335670]
2024-01-22,00:38.20,fox,jump_beyond_b3,WR,MapRecord,,-00:00.37,00:00.37,false,2697062,76561198046601398,[U:1:86335670]
2024-01-23,00:37.69,fox,jump_beyond_b3,WR,IRC,,-00:00.51,,false,2698539,,
2025-10-04,00:37.38,lc50,jump_beyond_b3,WR,IRC,,-00:00.32,,false,3520354,,
