date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2019-08-02,00:30.41,kater,jump_blossom_s3f_fix2,WR,MapRecord,,-00:00.85,00:00.96,false,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:30.41,kater,jump_blossom_s3f_fix2,WR,Compact,,,,false,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:31.51,+00:00.24,00:00.27,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:31.78,+00:00.51,00:00.15,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:31.93,+00:00.66,00:00.21,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:32.14,+00:00.87,00:00.31,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:32.45,+00:01.18,00:00.00,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:33.22,+00:01.95,,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:34.76,+00:03.49,,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:37.24,+00:05.97,,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.27,kater,jump_blossom_s3f_fix2,WR,MapRun,00:37.79,+00:06.52,,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.28,21,jump_blossom_s3f_fix2,WR,MapRun,02:25.05,+01:53.77,,true,1024744,76561198225715416,[U:1:265449688],
2019-08-02,00:31.28,NECTVR,jump_blossom_s3f_fix2,WR,MapRun,02:57.66,+02:26.38,,true,1024744,76561198097209458,[U:1:136943730],
2019-08-02,00:31.28,kater,jump_blossom_s3f_fix2,WR,MapRun,00:31.38,+00:00.10,00:00.13,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.28,kater,jump_blossom_s3f_fix2,WR,MapRun,00:32.46,+00:01.18,00:01.10,true,1024744,76561198222006144,[U:1:261740416],
2019-08-02,00:31.28,silvo,jump_blossom_s3f_fix2,WR,MapRun,01:56.31,+01:25.03,,true,1024744,76561198186769550,[U:1:226503822],
2019-08-31,00:30.13,twitch.tv/zike10,jump_blossom_s3f_fix2,WR,IRC,,-00:00.28,,false,1047066,,,
2019-08-31,00:30.13,twitch.tv/zike10,jump_blossom_s3f_fix2,WR,MapRecord,,-00:00.28,00:00.48,false,1047094,,,
2019-08-31,00:30.42,bro epic,jump_blossom_s3f_fix2,WR,MapRun,01:18.13,+00:47.71,,true,1047094,76561198967624733,[U:1:1007359005],
2019-08-31,00:30.42,twitch.tv/zike10,jump_blossom_s3f_fix2,WR,MapRun,00:30.61,+00:00.19,00:00.65,true,1047094,,,
2019-08-31,00:30.42,twitch.tv/zike10,jump_blossom_s3f_fix2,WR,MapRun,00:30.85,+00:00.43,,true,1047094,,,
2021-01-30,00:30.13,WOWman5577,jump_blossom_s3f_fix2,WR,MapRun,03:21.30,+02:51.17,,true,1492834,76561198120630343,[U:1:160364615],
2021-03-28,00:30.13,Justice_Extrocen,jump_blossom_s3f_fix2,WR,MapRun,02:28.15,+01:58.02,,true,1548438,,,
2023-07-19,00:29.67,Waldo,jump_blossom_s3f_fix2,WR,Ranked,,,,true,2413769,76561198020256631,[U:1:59990903],
2023-07-19,00:29.67,salsaa,jump_blossom_s3f_fix2,WR,MapRun,01:09.34,+00:39.67,,true,2413769,76561198149627108,[U:1:189361380],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.09,,false,2435946,,,
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.09,,false,2436311,,,
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRecord,,-00:00.09,00:00.30,false,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:29.59,+00:00.01,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:29.97,+00:00.39,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:30.04,+00:00.46,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:30.07,+00:00.49,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:30.18,+00:00.60,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:30.61,+00:01.03,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:31.02,+00:01.44,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-03,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:31.17,+00:01.59,,true,2436357,76561198083816511,[U:1:123550783],
2023-08-05,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.22,,false,2439420,,,
2023-08-05,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.22,,false,2439451,,,
2023-08-05,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,MapRecord,,-00:00.22,00:00.22,false,2439488,76561198083816511,[U:1:123550783],
2023-08-05,00:29.58,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:30.55,+00:00.97,,true,2439488,76561198083816511,[U:1:123550783],
2023-08-05,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.22,,false,2439495,,,
2023-08-05,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,IRC,,-00:00.22,,false,2439521,,,
2023-08-08,00:29.19,sleepy,jump_blossom_s3f_fix2,WR,MapRecord,,-00:00.16,00:00.16,false,2443994,76561198083816511,[U:1:123550783],
2023-08-08,00:29.19,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:32.55,+00:03.36,,true,2443994,76561198083816511,[U:1:123550783],
2023-08-08,00:29.35,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:31.27,+00:01.92,,true,2443994,76561198083816511,[U:1:123550783],
2023-08-08,00:29.36,sleepy,jump_blossom_s3f_fix2,WR,MapRun,00:29.76,+00:00.40,,true,2443994,76561198083816511,[U:1:123550783],
