date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2019-02-08,00:35.68,unknown,jump_blossom_s3f_fix2,WR,Map,observed,wr_split,,,,,,,
2019-02-08,00:35.11,twitch.tv/boshyt,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.55,00:00.55,887314,,,
2021-01-30,00:34.71,WOWman5577,jump_blossom_s3f_fix2,WR,Map,command,rank_command,,,,,76561198120630343,[U:1:160364615],
2021-01-30,00:33.25,Boshy,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.61,00:01.86,1493198,76561198046601398,[U:1:86335670],
2021-03-18,00:33.24,sleepy,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.01,00:00.34,1538970,76561198083816511,[U:1:123550783],
2021-03-28,00:32.74,sleepy,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.49,00:00.49,1548438,76561198083816511,[U:1:123550783],
2022-02-20,00:32.32,FF73,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.42,00:00.93,1865024,76561198046601398,[U:1:86335670],
2022-02-24,00:31.92,Rachello,jump_blossom_s3f_fix2,WR,Map,record,map_record,,-00:00.40,00:00.40,1869621,76561198815853361,[U:1:855587633],
2022-03-19,00:31.66,sleepy,jump_blossom_s3f_fix2,WR,Map,announcement,irc,,-00:00.25,,,76561198083816511,[U:1:123550783],
2023-04-20,00:30.96,Rellort,jump_blossom_s3f_fix2,WR,Map,announcement,irc,,-00:00.70,,,76561198090668406,[U:1:130402678],
2023-04-20,00:30.64,Rellort,jump_blossom_s3f_fix2,WR,Map,announcement,irc,,-00:00.31,,,76561198090668406,[U:1:130402678],
2023-04-20,00:30.43,Rellort,jump_blossom_s3f_fix2,WR,Map,announcement,irc,,-00:00.21,,,76561198090668406,[U:1:130402678],
2023-04-20,00:29.52,Rellort,jump_blossom_s3f_fix2,WR,Map,announcement,irc,,-00:00.91,,,76561198090668406,[U:1:130402678],
