date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-27,01:07.21,mojo jojo,jump_bouncerific_v2,WR,MapRecord,,-00:00.07,00:16.58,false,536712,76561198008003429,[U:1:47737701],
2017-12-27,01:07.29,mojo jojo,jump_bouncerific_v2,WR,MapRun,01:23.79,+00:16.50,00:02.18,true,536712,76561198008003429,[U:1:47737701],
2017-12-27,01:07.29,mojo jojo,jump_bouncerific_v2,WR,MapRun,01:50.32,+00:43.03,,true,536712,76561198008003429,[U:1:47737701],
2018-01-08,01:05.44,Zike1017 ツ,jump_bouncerific_v2,WR,IRC,,-00:01.76,,false,546439,76561198050366275,[U:1:90100547],
2018-01-08,01:05.44,Zike1017 ツ,jump_bouncerific_v2,WR,MapRecord,,-00:01.76,00:01.96,false,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.21,mojo jojo,jump_bouncerific_v2,WR,Compact,,,,false,546496,,,
2018-01-08,01:07.21,mojo jojo,jump_bouncerific_v2,WR,Compact,,,,false,546496,,,
2018-01-08,01:07.21,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,01:07.40,+00:00.19,00:08.65,true,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.21,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,01:16.06,+00:08.85,00:02.35,true,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.21,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,01:18.41,+00:11.20,00:01.39,true,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.22,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,01:20.14,+00:12.92,,true,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.22,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,01:20.41,+00:13.19,,true,546496,76561198050366275,[U:1:90100547],
2018-01-08,01:07.22,Zike1017 ツ,jump_bouncerific_v2,WR,MapRun,02:34.00,+01:26.78,,true,546496,76561198050366275,[U:1:90100547],
2018-03-20,01:01.15,| Zabivaka | tra,jump_bouncerific_v2,WR,IRC,,-00:02.65,,false,603970,,,
2018-03-20,01:03.80,| Zabivaka | tra,jump_bouncerific_v2,WR,IRC,,-00:00.76,,false,603970,,,
2018-03-20,01:04.57,| Zabivaka | tra,jump_bouncerific_v2,WR,IRC,,-00:00.87,,false,603970,,,
2018-03-20,01:01.15,| Zabivaka | tra,jump_bouncerific_v2,WR,MapRecord,,-00:02.65,00:02.65,false,604113,,,
2018-03-20,01:01.15,| Zabivaka | tra,jump_bouncerific_v2,WR,MapRun,01:22.34,+00:21.19,,true,604113,,,
2018-03-20,01:03.80,| Zabivaka | tra,jump_bouncerific_v2,WR,MapRecord,,-00:00.76,00:00.76,false,604113,,,
2018-03-20,01:04.57,| Zabivaka | tra,jump_bouncerific_v2,WR,MapRecord,,-00:00.87,00:01.71,false,604113,,,
2018-03-20,01:05.44,| Zabivaka | tra,jump_bouncerific_v2,WR,MapRun,01:07.70,+00:02.26,,true,604113,,,
2018-03-20,01:01.15,| Zabivaka | tra,jump_bouncerific_v2,WR,IRC,,-00:02.65,,false,604125,,,
2018-03-20,01:03.80,| Zabivaka | tra,jump_bouncerific_v2,WR,IRC,,-00:00.76,,false,604125,,,
2018-05-14,01:01.15,carl,jump_bouncerific_v2,WR,MapRun,07:42.73,+06:41.58,,true,649486,76561198092096689,[U:1:131830961],
2019-06-07,00:12.85,ITS BATHTIME BOY,jump_bouncerific_v2,WR,Bonus 2,,-00:00.42,00:00.60,false,980706,,,
2019-06-07,01:01.15,Starkie,jump_bouncerific_v2,WR,Compact,,,,false,980706,,,
