date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-12-02,01:27.47,mesatech,jump_butter,WR,IRC,,-00:01.94,,false,516112,76561198111845972,[U:1:151580244],
2017-12-02,01:29.42,mesatech,jump_butter,WR,IRC,,-00:01.36,,false,516112,76561198111845972,[U:1:151580244],
2017-12-02,01:30.79,mesatech,jump_butter,WR,IRC,,-00:01.08,,false,516112,76561198111845972,[U:1:151580244],
2017-12-02,01:27.47,mesatech,jump_butter,WR,MapRecord,,-00:01.94,00:01.94,false,516265,76561198111845972,[U:1:151580244],
2017-12-02,01:29.42,mesatech,jump_butter,WR,MapRecord,,-00:01.36,00:01.36,false,516265,76561198111845972,[U:1:151580244],
2017-12-02,01:30.79,mesatech,jump_butter,WR,MapRecord,,-00:01.08,00:01.82,false,516265,76561198111845972,[U:1:151580244],
2017-12-02,01:31.88,Boshy's nescient,jump_butter,WR,Compact,,,,false,516265,,,
2017-12-02,01:27.47,mesatech,jump_butter,WR,IRC,,-00:01.94,,false,516270,76561198111845972,[U:1:151580244],
2017-12-02,01:29.42,mesatech,jump_butter,WR,IRC,,-00:01.36,,false,516270,76561198111845972,[U:1:151580244],
2017-12-02,01:30.79,mesatech,jump_butter,WR,IRC,,-00:01.08,,false,516270,76561198111845972,[U:1:151580244],
2018-08-31,01:27.47,mesatech,jump_butter,WR,Compact,,,,false,748927,,,
2019-08-05,01:26.09,nemesis,jump_butter,WR,MapRecord,,-00:01.38,00:02.14,false,1026859,76561198069991227,[U:1:109725499],
2019-12-18,00:03.16,super song -char,jump_butter,WR,Bonus 1,,-00:00.09,00:00.39,false,1126928,,,
2020-02-21,01:25.66,Skinn.,jump_butter,WR,IRC,,-00:00.43,,false,1178533,,,
2020-02-21,01:25.66,Skinn.,jump_butter,WR,MapRecord,,-00:00.43,00:00.87,false,1178550,76561198180610262,[U:1:220344534],
2020-03-15,01:24.23,Skinny.,jump_butter,WR,MapRecord,,-00:01.42,00:01.42,false,1197204,76561198180610262,[U:1:220344534],
2020-03-15,01:24.23,Skinny.,jump_butter,WR,IRC,,-00:01.42,,false,1197219,,,
2020-03-15,01:24.23,Skinny.,jump_butter,WR,IRC,,-00:01.42,,false,1197264,,,
2020-06-16,00:02.87,song,jump_butter,WR,Bonus 1,,-00:00.00,00:00.04,false,1276740,76561198210286877,[U:1:250021149],
2020-06-19,00:02.69,song,jump_butter,WR,Bonus 1,,-00:00.13,00:00.13,false,1279407,76561198210286877,[U:1:250021149],
2020-06-19,00:02.83,song,jump_butter,WR,Bonus 1,,-00:00.01,00:00.04,false,1279407,76561198210286877,[U:1:250021149],
2020-06-21,00:02.28,song,jump_butter,WR,Bonus 1,,-00:00.10,00:00.41,false,1281102,76561198210286877,[U:1:250021149],
2021-02-08,01:24.24,Skinny.,jump_butter,WR,Compact,,,,false,1502454,,,
2021-06-14,00:02.38,pneumonoultramic,jump_butter,WR,Bonus 1,,-00:00.10,00:00.15,false,1613106,,,
2022-08-17,00:02.20,Kratos,jump_butter,WR,Bonus 1,,-00:00.09,00:00.15,false,2028126,76561198930334128,[U:1:970068400],
2022-09-18,01:21.79,Wookiee,jump_butter,WR,MapRun,04:51.19,+03:29.40,,true,2061567,76561198139642742,[U:1:179377014],
2024-05-15,00:01.98,kratos,jump_butter,WR,Bonus 1,,-00:00.15,00:00.16,false,2860284,76561198930334128,[U:1:970068400],
2024-05-15,01:20.19,Matty,jump_butter,WR,MapRecord,,-00:01.60,00:04.60,false,2860284,76561198035204545,[U:1:74938817],
2024-05-15,01:21.79,sam,jump_butter,WR,Compact,,,,false,2860284,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860307,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860324,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860345,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860395,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860409,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860406,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860426,,,
2024-05-15,01:20.19,Matty,jump_butter,WR,IRC,,-00:01.60,,false,2860419,,,
