date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-03-29,01:36.57,mesatech,jump_buttered_b2,WR,MapRecord,,-00:03.26,00:03.78,false,611699,76561198111845972,[U:1:151580244],
2018-03-29,01:39.83,gancho,jump_buttered_b2,WR,Compact,,,,false,611699,,,
2018-03-29,01:36.57,mesatech,jump_buttered_b2,WR,IRC,,-00:03.26,,false,611716,76561198111845972,[U:1:151580244],
2019-03-08,01:36.52,kater,jump_buttered_b2,WR,MapRecord,,-00:00.04,00:11.89,false,910069,76561198222006144,[U:1:261740416],
2019-08-13,00:00.89,Nando53rd,jump_buttered_b2,WR,Bonus 1,,,,false,1033224,,,
2019-08-13,01:29.32,newjuls,jump_buttered_b2,WR,MapRecord,,-00:07.19,00:07.87,false,1033224,76561198396018338,[U:1:435752610],
2019-08-13,01:29.32,newjuls,jump_buttered_b2,WR,IRC,,-00:07.19,,false,1033234,76561198396018338,[U:1:435752610],
2020-02-07,00:00.88,cander -cg ุ,jump_buttered_b2,WR,Bonus 1,,-00:00.01,00:00.01,false,1167766,,,
2022-12-05,01:29.56,cander,jump_buttered_b2,WR,IRC,,-00:01.32,,false,2137505,,,
2022-12-05,01:29.56,cander,jump_buttered_b2,WR,IRC,,-00:01.32,,false,2137545,,,
2022-12-05,01:29.56,cander,jump_buttered_b2,WR,MapRecord,,-00:01.32,00:08.02,false,2137623,76561198318722879,[U:1:358457151],
2022-12-05,01:29.56,cander,jump_buttered_b2,WR,IRC,,-00:01.32,,false,2137646,,,
