date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-10-13,06:13.97,Spooky Syro 🎃,jump_camp_rc2,WR,IRCSet,,,,false,787969,,
2018-10-13,04:36.62,mslenny-chan,jump_camp_rc2,WR,MapRun,15:06.29,+10:29.67,,true,788037,76561198136378809,[U:1:176113081]
2018-10-13,04:20.72,Spook Candy,jump_camp_rc2,WR,MapRun,21:38.22,+17:17.50,,true,788866,76561198065151241,[U:1:104885513]
2018-10-14,04:17.07,altfs,jump_camp_rc2,WR,MapRun,06:23.34,+02:06.27,01:46.67,true,789249,76561198131264287,[U:1:170998559]
2018-10-15,04:14.85,Jaffxsman,jump_camp_rc2,WR,MapRun,17:06.46,+12:51.61,,true,790534,76561198091905306,[U:1:131639578]
2018-10-20,03:45.14,mr.  funnyskelet,jump_camp_rc2,WR,MapRecord,,-00:13.99,00:17.89,false,794046,,
2019-10-13,03:44.16,teardrop | tipof,jump_camp_rc2,WR,IRC,,-00:00.98,,false,1080399,,
2019-10-19,03:38.32,TD,jump_camp_rc2,WR,MapRecord,,-00:04.45,00:04.45,false,1084131,76561198066947056,[U:1:106681328]
2021-07-19,03:34.50,conor,jump_camp_rc2,WR,MapRun,21:22.51,+17:48.01,,true,1642167,76561198101725605,[U:1:141459877]
2022-12-19,03:24.55,Ronnie The Rat,jump_camp_rc2,WR,IRC,,-00:09.94,,false,2151784,,
2024-07-21,03:20.85,riotbz,jump_camp_rc2,WR,IRC,,-00:03.70,,false,2958962,,
2025-04-16,03:20.84,cagi,jump_camp_rc2,WR,MapRun,07:06.46,+03:45.62,,true,3278580,76561198059806422,[U:1:99540694]
2025-12-09,03:14.60,BLANK,jump_camp_rc2,WR,IRC,,-00:06.26,,false,3670661,,
2025-12-10,03:14.59,Litari,jump_camp_rc2,WR,MapRun,13:36.99,+10:22.40,,true,3671495,76561198057926456,[U:1:97660728]
2025-12-15,03:11.62,BLANK -jcf,jump_camp_rc2,WR,IRC,,-00:02.97,,false,3678352,,
