date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-08-20,01:17.29,QUACK LIKE A DUC,jump_canyon_b1,WR,IRC,,-00:00.34,,false,738892,,,
2018-08-20,01:17.29,QUACK LIKE A DUC,jump_canyon_b1,WR,MapRecord,,-00:00.34,00:00.64,false,738923,,,
2018-08-20,01:17.64,QUACK LIKE A DUC,jump_canyon_b1,WR,MapRun,01:19.51,+00:01.87,,true,738923,,,
2018-10-17,01:17.29,sun,jump_canyon_b1,WR,MapRun,14:22.49,+13:05.20,,true,791659,76561198075492369,[U:1:115226641],
2019-02-14,01:15.40,transformation M,jump_canyon_b1,WR,Compact,,,,false,892480,,,
2019-02-14,01:15.40,jtravs,jump_canyon_b1,WR,MapRun,01:49.16,+00:33.76,00:07.69,true,892480,76561198117262056,[U:1:156996328],
2019-02-14,01:15.40,kater,jump_canyon_b1,WR,MapRun,01:27.50,+00:12.10,,true,892480,76561198222006144,[U:1:261740416],
2019-02-14,01:15.41,Bandi,jump_canyon_b1,WR,MapRun,03:17.53,+02:02.12,,true,892480,76561198052851335,[U:1:92585607],
2019-02-14,01:15.41,Flash,jump_canyon_b1,WR,MapRun,09:42.86,+08:27.45,,true,892480,76561198289603621,[U:1:329337893],
2019-02-14,01:15.41,Shock,jump_canyon_b1,WR,MapRun,01:24.15,+00:08.74,00:13.65,true,892480,76561198027443134,[U:1:67177406],
2019-02-14,01:15.41,Shock,jump_canyon_b1,WR,MapRun,01:37.80,+00:22.39,00:40.40,true,892480,76561198027443134,[U:1:67177406],
2019-02-14,01:15.41,jtravs,jump_canyon_b1,WR,MapRun,01:56.86,+00:41.45,02:42.48,true,892480,76561198117262056,[U:1:156996328],
2019-02-14,01:15.41,kater,jump_canyon_b1,WR,MapRun,01:16.86,+00:01.45,00:04.87,true,892480,76561198222006144,[U:1:261740416],
2019-02-14,01:15.41,kater,jump_canyon_b1,WR,MapRun,01:37.72,+00:22.31,,true,892480,76561198222006144,[U:1:261740416],
2019-02-14,01:15.41,saturn,jump_canyon_b1,WR,MapRun,08:15.75,+07:00.34,,true,892480,76561198201760578,[U:1:241494850],
2019-04-23,01:15.40,hiei,jump_canyon_b1,WR,MapRun,02:02.78,+00:47.38,00:05.22,true,946606,76561198113927027,[U:1:153661299],
2019-04-23,01:15.41,crab,jump_canyon_b1,WR,MapRun,01:15.55,+00:00.14,00:02.10,true,946606,76561198318722879,[U:1:358457151],
2019-04-23,01:15.41,crab,jump_canyon_b1,WR,MapRun,01:17.66,+00:02.25,00:01.25,true,946606,76561198318722879,[U:1:358457151],
2019-07-16,01:12.01,vice,jump_canyon_b1,WR,MapRecord,,-00:01.19,00:01.81,false,1011342,76561198366368448,[U:1:406102720],
2019-07-16,01:13.21,cander,jump_canyon_b1,WR,MapRecord,,-00:01.19,00:01.19,false,1011342,76561198318722879,[U:1:358457151],
2019-07-16,01:13.21,vice,jump_canyon_b1,WR,MapRun,01:13.82,+00:00.61,00:01.57,true,1011342,76561198366368448,[U:1:406102720],
2019-07-16,01:13.21,vice,jump_canyon_b1,WR,MapRun,01:15.52,+00:02.31,,true,1011342,76561198366368448,[U:1:406102720],
2019-07-16,01:14.41,cander,jump_canyon_b1,WR,MapRecord,,-00:00.66,00:00.66,false,1011342,76561198318722879,[U:1:358457151],
2019-07-16,01:14.41,cander,jump_canyon_b1,WR,Ranked,,,,true,1011342,76561198318722879,[U:1:358457151],
2019-07-16,01:15.07,cander,jump_canyon_b1,WR,MapRecord,,-00:00.33,00:00.48,false,1011342,76561198318722879,[U:1:358457151],
2019-07-16,01:15.41,cander,jump_canyon_b1,WR,MapRun,01:27.16,+00:11.75,,true,1011342,76561198318722879,[U:1:358457151],
2019-07-16,01:15.41,缘分讓我們,jump_canyon_b1,WR,MapRun,14:39.88,+13:24.47,,true,1011342,,,
2020-04-24,01:11.62,cander,jump_canyon_b1,WR,MapRecord,,-00:00.39,00:00.54,false,1233306,76561198318722879,[U:1:358457151],
2020-04-24,01:12.01,chiyo,jump_canyon_b1,WR,MapRun,01:41.59,+00:29.58,,true,1233306,76561198046582124,[U:1:86316396],
2020-04-24,01:12.01,chiyo,jump_canyon_b1,WR,MapRun,02:00.60,+00:48.59,,true,1233306,76561198046582124,[U:1:86316396],
2020-04-24,01:12.01,mr gato,jump_canyon_b1,WR,MapRun,01:57.80,+00:45.79,00:00.54,true,1233306,76561198126091800,[U:1:165826072],
2020-04-24,01:12.02,cander,jump_canyon_b1,WR,MapRun,01:12.16,+00:00.14,00:01.04,true,1233306,76561198318722879,[U:1:358457151],
2020-05-09,01:11.62,palindrome,jump_canyon_b1,WR,MapRun,01:14.57,+00:02.95,,true,1245549,76561198366368448,[U:1:406102720],
2020-05-09,01:11.62,r1elZ,jump_canyon_b1,WR,MapRun,08:53.99,+07:42.37,,true,1245549,76561198444727306,[U:1:484461578],
2020-05-09,01:11.62,cander,jump_canyon_b1,WR,Compact,,,,false,1245657,,,
2020-05-09,01:11.62,kaptain,jump_canyon_b1,WR,MapRun,04:25.01,+03:13.39,,true,1245657,76561198033727092,[U:1:73461364],
2020-07-31,01:10.58,song,jump_canyon_b1,WR,MapRecord,,-00:01.03,00:08.59,false,1314294,76561198210286877,[U:1:250021149],
2020-07-31,01:11.62,song,jump_canyon_b1,WR,MapRun,01:19.18,+00:07.56,00:17.17,true,1314294,76561198210286877,[U:1:250021149],
2020-07-31,01:11.63,song,jump_canyon_b1,WR,MapRun,01:36.36,+00:24.73,01:26.29,true,1314294,76561198210286877,[U:1:250021149],
2020-07-31,01:10.58,song,jump_canyon_b1,WR,IRC,,-00:01.03,,false,1314303,,,
2020-10-13,01:10.59,Katt-o'-lantern,jump_canyon_b1,WR,MapRun,02:13.23,+01:02.64,,true,1386470,76561198346669763,[U:1:386404035],
2021-01-25,01:11.46,vice,jump_canyon_b1,WR,MapRecord,,-00:00.16,00:00.56,false,1488227,76561198366368448,[U:1:406102720],
2021-01-25,01:11.46,vice,jump_canyon_b1,WR,Ranked,,,,true,1488227,76561198366368448,[U:1:406102720],
2021-01-25,01:11.62,vice,jump_canyon_b1,WR,MapRun,01:13.83,+00:02.21,,true,1488227,76561198366368448,[U:1:406102720],
2021-01-25,01:11.62,vice,jump_canyon_b1,WR,MapRun,01:14.28,+00:02.66,,true,1488227,76561198366368448,[U:1:406102720],
2021-01-25,01:11.46,vice,jump_canyon_b1,WR,IRC,,-00:00.16,,false,1488241,,,
2021-06-04,01:11.46,PL_PIER,jump_canyon_b1,WR,MapRun,08:50.01,+07:38.55,,true,1604944,76561198061152926,[U:1:100887198],
2021-06-30,01:09.19,song,jump_canyon_b1,WR,MapRecord,,-00:02.26,00:06.37,false,1625822,76561198210286877,[U:1:250021149],
2021-06-30,01:11.46,vice,jump_canyon_b1,WR,Compact,,,,false,1625822,,,
2021-06-30,01:11.46,song,jump_canyon_b1,WR,MapRun,01:15.57,+00:04.11,,true,1625822,76561198210286877,[U:1:250021149],
2021-06-30,01:09.19,song,jump_canyon_b1,WR,IRC,,-00:02.26,,false,1625860,,,
2022-03-20,01:09.20,Aged Mozzarella,jump_canyon_b1,WR,MapRun,05:32.76,+04:23.56,,true,1892851,76561198208364184,[U:1:248098456],
2023-04-04,01:09.20,htraB,jump_canyon_b1,WR,MapRun,06:24.45,+05:15.25,,true,2260355,76561198043122677,[U:1:82856949],
2023-04-04,01:09.20,the joy of recyc,jump_canyon_b1,WR,MapRun,12:18.18,+11:08.98,,true,2260355,,,
2023-05-13,01:09.19,Not Good,jump_canyon_b1,WR,MapRun,04:34.51,+03:25.32,,true,2316379,76561198161322716,[U:1:201056988],
2023-05-13,01:09.19,haydos,jump_canyon_b1,WR,MapRun,06:12.73,+05:03.54,,true,2316379,76561198078310429,[U:1:118044701],
2023-05-13,01:09.19,koyaanisqatsi,jump_canyon_b1,WR,MapRun,03:33.01,+02:23.82,,true,2316379,76561198209987443,[U:1:249721715],
2024-02-05,01:09.20,Spurt,jump_canyon_b1,WR,MapRun,03:03.96,+01:54.76,,true,2718241,76561198078523852,[U:1:118258124],
2024-02-09,01:09.20,Double Maining A,jump_canyon_b1,WR,MapRun,02:04.29,+00:55.09,,true,2723568,,,
2024-02-09,01:09.19,De Bote,jump_canyon_b1,WR,MapRun,04:46.93,+03:37.74,,true,2724211,76561198002152900,[U:1:41887172],
2024-02-09,01:09.19,bongcloud,jump_canyon_b1,WR,MapRun,06:49.36,+05:40.17,,true,2724595,76561199593294978,[U:1:1633029250],
2024-02-09,01:09.19,rupt,jump_canyon_b1,WR,MapRun,04:07.15,+02:57.96,,true,2724595,76561198056688070,[U:1:96422342],
2024-02-16,01:09.19,pregnant canniba,jump_canyon_b1,WR,MapRun,02:48.85,+01:39.66,,true,2734548,,,
2024-02-21,01:09.20,b'nard marmalade,jump_canyon_b1,WR,MapRun,02:35.91,+01:26.71,,true,2741336,76561197962748704,[U:1:2482976],
2024-02-29,01:09.20,teuxao,jump_canyon_b1,WR,MapRun,03:14.34,+02:05.14,,true,2752939,76561199401149527,[U:1:1440883799],
2024-02-29,01:09.20,Jdn,jump_canyon_b1,WR,MapRun,07:13.86,+06:04.66,,true,2753831,76561198293079232,[U:1:332813504],
2024-03-02,01:09.20,Mr. N,jump_canyon_b1,WR,MapRun,04:53.04,+03:43.84,,true,2756382,76561198072608261,[U:1:112342533],
2024-03-02,01:09.20,Pigeon,jump_canyon_b1,WR,MapRun,02:14.67,+01:05.47,,true,2756382,76561198396818148,[U:1:436552420],
2024-03-02,01:09.19,VAALVERDEE,jump_canyon_b1,WR,MapRun,04:44.26,+03:35.07,,true,2756579,76561198104580254,[U:1:144314526],
2024-03-03,01:09.19,Narthuril,jump_canyon_b1,WR,MapRun,04:28.45,+03:19.26,,true,2756882,76561198447075276,[U:1:486809548],
2024-03-03,01:09.19,Sowbug -sja,jump_canyon_b1,WR,MapRun,03:11.83,+02:02.64,,true,2756882,76561198027251214,[U:1:66985486],
2024-03-04,01:09.19,FIDEL CASHFLOW,jump_canyon_b1,WR,MapRun,10:33.91,+09:24.72,,true,2758495,76561198274631806,[U:1:314366078],
2024-03-05,01:09.20,Pre Fucked Baske,jump_canyon_b1,WR,MapRun,04:47.64,+03:38.44,,true,2760055,,,
2024-03-12,01:09.19,Noctis,jump_canyon_b1,WR,MapRun,03:34.36,+02:25.17,,true,2770699,76561199084481046,[U:1:1124215318],
2024-03-12,01:09.20,Axelstack,jump_canyon_b1,WR,MapRun,05:27.27,+04:18.07,,true,2771052,76561198127933533,[U:1:167667805],
2024-03-13,01:09.20,♥Gryst♥,jump_canyon_b1,WR,MapRun,03:37.59,+02:28.39,,true,2772025,76561198131281269,[U:1:171015541],
2024-03-17,01:09.19,Purps,jump_canyon_b1,WR,MapRun,04:11.71,+03:02.52,,true,2778126,76561198053886680,[U:1:93620952],
2024-03-17,01:09.20,Stansumthing,jump_canyon_b1,WR,MapRun,01:34.74,+00:25.54,00:02.13,true,2778126,76561198378196732,[U:1:417931004],
2024-03-17,01:09.20,Stansumthing,jump_canyon_b1,WR,MapRun,01:36.87,+00:27.67,00:06.90,true,2778126,76561198378196732,[U:1:417931004],
2024-03-17,01:09.20,Stansumthing,jump_canyon_b1,WR,MapRun,01:38.67,+00:29.47,,true,2778126,76561198378196732,[U:1:417931004],
2024-03-17,01:09.20,Stansumthing,jump_canyon_b1,WR,MapRun,01:43.77,+00:34.57,,true,2778126,76561198378196732,[U:1:417931004],
2024-03-19,01:09.20,number,jump_canyon_b1,WR,MapRun,04:37.56,+03:28.36,,true,2780019,76561198044612407,[U:1:84346679],
2024-03-20,01:09.19,minecraftpig21,jump_canyon_b1,WR,MapRun,02:28.99,+01:19.80,,true,2781481,76561198172292361,[U:1:212026633],
2024-03-20,01:09.19,[NSG] big oink,jump_canyon_b1,WR,MapRun,05:31.69,+04:22.50,,true,2781560,76561198053162347,[U:1:92896619],
2024-03-25,01:09.19,FROYO GUNGON,jump_canyon_b1,WR,MapRun,04:06.07,+02:56.88,,true,2788221,76561198099843841,[U:1:139578113],
2024-04-07,01:09.19,YourLocalPigeon,jump_canyon_b1,WR,MapRun,03:52.06,+02:42.87,,true,2806985,76561198130704748,[U:1:170439020],
2024-04-15,01:09.19,clock,jump_canyon_b1,WR,MapRun,02:45.46,+01:36.27,,true,2817829,76561198073365809,[U:1:113100081],
2024-04-15,01:09.19,Mephal13,jump_canyon_b1,WR,MapRun,03:31.60,+02:22.41,,true,2818099,76561198015204033,[U:1:54938305],
2024-04-16,01:09.20,coscu,jump_canyon_b1,WR,MapRun,04:14.34,+03:05.14,,true,2819802,76561199403557555,[U:1:1443291827],
2024-04-18,01:09.19,Nova,jump_canyon_b1,WR,MapRun,03:33.07,+02:23.88,,true,2821625,76561198236108860,[U:1:275843132],
2024-04-23,01:09.20,pont,jump_canyon_b1,WR,MapRun,04:57.36,+03:48.16,,true,2828582,76561198188733737,[U:1:228468009],
2024-04-27,01:09.20,上火的烟头,jump_canyon_b1,WR,MapRun,08:25.53,+07:16.33,,true,2834096,76561198275434697,[U:1:315168969],
2024-04-27,01:09.19,aless,jump_canyon_b1,WR,MapRun,03:46.60,+02:37.41,,true,2834785,76561198941165698,[U:1:980899970],
2024-04-29,01:09.19,₍ᐢᐢ₎. us,jump_canyon_b1,WR,Compact,,,,false,2837869,,,
2024-04-29,01:09.19,ᵐüˢˡⁱ,jump_canyon_b1,WR,MapRun,07:39.67,+06:30.48,,true,2837869,76561198379555950,[U:1:419290222],
2024-05-03,01:09.19,ᵗʰʳᵒᵃᵗ,jump_canyon_b1,WR,MapRun,01:29.08,+00:19.89,00:07.99,true,2842990,,,
2024-05-03,01:09.19,ᵗʰʳᵒᵃᵗ,jump_canyon_b1,WR,MapRun,01:37.90,+00:28.71,,true,2842990,,,
2024-05-03,01:09.20,skiptzs,jump_canyon_b1,WR,MapRun,04:39.84,+03:30.64,,true,2842990,76561198956842358,[U:1:996576630],
2024-05-03,01:09.20,ᵗʰʳᵒᵃᵗ,jump_canyon_b1,WR,MapRun,01:37.08,+00:27.88,00:29.34,true,2842990,,,
2024-05-03,01:09.20,Uber,jump_canyon_b1,WR,MapRun,05:14.28,+04:05.08,,true,2843419,76561198161512154,[U:1:201246426],
2024-05-06,01:09.19,уважаемо,jump_canyon_b1,WR,MapRun,07:55.12,+06:45.93,,true,2846956,,,
2024-05-07,01:09.19,Baananaa Dit Pri,jump_canyon_b1,WR,MapRun,09:40.12,+08:30.93,,true,2849382,,,
2024-05-08,01:09.19,Aphelis,jump_canyon_b1,WR,MapRun,02:49.81,+01:40.62,,true,2850584,76561198100566797,[U:1:140301069],
2024-05-12,01:09.20,kevin,jump_canyon_b1,WR,MapRun,03:03.90,+01:54.70,,true,2856131,76561198039920735,[U:1:79655007],
2024-05-13,01:09.19,LookingGrimm,jump_canyon_b1,WR,MapRun,04:05.23,+02:56.04,,true,2856788,76561198817055403,[U:1:856789675],
2024-05-15,01:09.20,Helmi. -CC,jump_canyon_b1,WR,MapRun,01:48.93,+00:39.73,00:20.56,true,2860577,76561198201985399,[U:1:241719671],
2024-05-28,01:09.20,Rotarius,jump_canyon_b1,WR,MapRun,04:38.58,+03:29.38,,true,2877208,76561198109893506,[U:1:149627778],
2024-05-28,01:09.19,KiloOnline,jump_canyon_b1,WR,MapRun,05:42.40,+04:33.21,,true,2877305,76561198411125245,[U:1:450859517],
2024-05-29,01:09.19,Cotton,jump_canyon_b1,WR,MapRun,03:16.24,+02:07.05,,true,2879743,76561198051914219,[U:1:91648491],
2024-05-29,01:09.20,naked gorilla,jump_canyon_b1,WR,MapRun,03:54.78,+02:45.58,,true,2879743,76561198989890043,[U:1:1029624315],
2024-05-30,01:09.19,Hona,jump_canyon_b1,WR,MapRun,01:59.02,+00:49.83,,true,2880099,76561198221809496,[U:1:261543768],
2024-05-30,01:09.19,Hona,jump_canyon_b1,WR,MapRun,02:28.75,+01:19.56,00:03.88,true,2880099,76561198221809496,[U:1:261543768],
2024-05-30,01:09.20,Hona,jump_canyon_b1,WR,MapRun,01:40.62,+00:31.42,00:14.82,true,2880099,76561198221809496,[U:1:261543768],
2024-05-30,01:09.20,Hona,jump_canyon_b1,WR,MapRun,01:55.44,+00:46.24,00:33.31,true,2880099,76561198221809496,[U:1:261543768],
2024-06-02,01:09.19,Silvio,jump_canyon_b1,WR,MapRun,02:21.28,+01:12.09,,true,2886213,76561198175878398,[U:1:215612670],
2024-06-09,01:09.20,American healthc,jump_canyon_b1,WR,MapRun,04:26.34,+03:17.14,,true,2896751,,,
2024-06-13,01:09.20,Goth,jump_canyon_b1,WR,MapRun,02:22.83,+01:13.63,,true,2902895,76561198143568244,[U:1:183302516],
2024-06-13,01:09.20,Im relaxed,jump_canyon_b1,WR,MapRun,07:02.04,+05:52.84,,true,2902895,76561198072266230,[U:1:112000502],
2024-06-16,01:09.20,Cucetinha Firme,jump_canyon_b1,WR,MapRun,06:55.74,+05:46.54,,true,2907320,76561198200204206,[U:1:239938478],
2024-06-22,01:09.19,₍ᐢᐢ₎. us,jump_canyon_b1,WR,Compact,,,,false,2915536,,,
2024-06-22,01:09.19,Eleum Loyce,jump_canyon_b1,WR,MapRun,02:28.45,+01:19.26,,true,2915536,76561198223267660,[U:1:263001932],
2024-06-23,01:09.19,Sizzles #FixTF2,jump_canyon_b1,WR,MapRun,06:25.81,+05:16.62,,true,2917744,76561199018123288,[U:1:1057857560],
2024-06-24,01:09.20,happy meal heads,jump_canyon_b1,WR,MapRun,03:33.93,+02:24.73,,true,2919714,,,
