date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571850,,,
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,IRCSet,,,,false,1571850,,,
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571880,,,
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571880,,,
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,IRCSet,,,,false,1571880,76561198332723633,[U:1:372457905],
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571884,76561198181342094,[U:1:221076366],
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571884,76561198083816511,[U:1:123550783],
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,IRCSet,,,,false,1571884,76561198332723633,[U:1:372457905],
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571891,,,
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571891,,,
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,IRCSet,,,,false,1571891,,,
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571892,,,
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571892,76561198083816511,[U:1:123550783],
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,IRCSet,,,,false,1571892,,,
2021-04-23,00:20.07,hex,jump_carp_b2,WR,Bonus 1,,-00:02.16,,false,1571894,76561198181342094,[U:1:221076366],
2021-04-23,00:22.23,maxxy,jump_carp_b2,WR,Bonus 1,,-00:00.36,,false,1571894,76561198083235528,[U:1:122969800],
2021-04-23,00:22.59,dunn,jump_carp_b2,WR,Bonus 1,,-00:00.85,,false,1571894,76561198151048590,[U:1:190782862],
2021-04-23,00:26.37,Bonzi,jump_carp_b2,WR,Bonus 1 First,,,,false,1571894,76561198175838507,[U:1:215572779],
2021-04-23,01:55.50,Cygnus -rng,jump_carp_b2,WR,MapRun,04:07.69,+02:12.19,,true,1571894,76561198178042934,[U:1:217777206],
2021-04-23,02:02.11,IzzyHoP,jump_carp_b2,WR,Bonus 2,,-00:00.01,,false,1571894,76561197995927883,[U:1:35662155],
2021-04-23,02:02.13,maxxy,jump_carp_b2,WR,Bonus 2,,-00:03.16,,false,1571894,76561198083235528,[U:1:122969800],
2021-04-23,02:05.29,sleepy,jump_carp_b2,WR,Bonus 2,,-00:18.09,,false,1571894,76561198083816511,[U:1:123550783],
2021-04-23,02:37.24,hex,jump_carp_b2,WR,MapRecord,,-00:48.72,,false,1571894,76561198181342094,[U:1:221076366],
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,MapRecord,,-03:59.28,,false,1571894,76561198083816511,[U:1:123550783],
2021-04-23,07:55.75,Agent C,jump_carp_b2,WR,FirstRecord,,,,false,1571894,76561198332723633,[U:1:372457905],
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571899,76561198181342094,[U:1:221076366],
2021-04-23,03:56.47,sleepy,jump_carp_b2,WR,IRC,,-03:59.28,,false,1571899,,,
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571911,,,
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571914,,,
2021-04-23,02:37.24,hex,jump_carp_b2,WR,IRC,,-00:48.72,,false,1571915,,,
2021-04-24,01:45.72,Ian Connor,jump_carp_b2,WR,MapRun,15:27.39,+13:41.67,,true,1572293,76561198063638461,[U:1:103372733],
2021-04-24,00:13.27,riot,jump_carp_b2,WR,Bonus 1,,-00:00.18,00:00.18,false,1572437,76561198065169685,[U:1:104903957],
2021-04-24,00:13.45,riot,jump_carp_b2,WR,Bonus 1,,-00:00.21,00:00.21,false,1572437,76561198065169685,[U:1:104903957],
2021-04-24,00:13.66,riot,jump_carp_b2,WR,Bonus 1,,-00:00.03,00:00.16,false,1572437,76561198065169685,[U:1:104903957],
2021-04-24,01:49.75,IzzyHoP,jump_carp_b2,WR,Bonus 2,,,,false,1572437,,,
2021-04-25,01:45.72,WORLDS BEST HEAV,jump_carp_b2,WR,Compact,,,,false,1572775,,,
2021-04-25,01:42.99,mr gato,jump_carp_b2,WR,IRC,,-00:00.88,,false,1572826,,,
2021-04-25,01:43.87,mr gato,jump_carp_b2,WR,IRC,,-00:01.78,,false,1572826,,,
2021-04-25,01:45.66,mr gato,jump_carp_b2,WR,IRC,,-00:00.06,,false,1572826,,,
2021-04-25,01:38.11,mr gato,jump_carp_b2,WR,IRC,,-00:04.87,,false,1572955,,,
2021-04-25,01:42.99,mr gato,jump_carp_b2,WR,IRC,,-00:00.88,,false,1572955,,,
2021-04-25,01:43.87,mr gato,jump_carp_b2,WR,IRC,,-00:01.78,,false,1572955,,,
2021-04-25,01:45.66,mr gato,jump_carp_b2,WR,IRC,,-00:00.06,,false,1572955,,,
2021-04-25,01:38.11,mr gato,jump_carp_b2,WR,MapRecord,,-00:04.87,00:04.87,false,1573064,76561198126091800,[U:1:165826072],
2021-04-25,01:42.99,mr gato,jump_carp_b2,WR,MapRecord,,-00:00.88,00:00.88,false,1573064,76561198126091800,[U:1:165826072],
2021-04-25,01:43.87,mr gato,jump_carp_b2,WR,MapRecord,,-00:01.78,00:01.78,false,1573064,76561198126091800,[U:1:165826072],
2021-04-25,01:45.27,IzzyHoP,jump_carp_b2,WR,Bonus 2,,,,false,1573064,76561197995927883,[U:1:35662155],
2021-04-25,01:45.66,mr gato,jump_carp_b2,WR,MapRecord,,-00:00.06,00:02.95,false,1573064,76561198126091800,[U:1:165826072],
2021-04-25,01:38.11,mr gato,jump_carp_b2,WR,IRC,,-00:04.87,,false,1573130,76561198126091800,[U:1:165826072],
