date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2022-01-15,03:56.97,💗 Meti,jump_causatham_rc4,WR,Map,record,first_record,,,,1828028,76561198096749316,[U:1:136483588],
2022-01-15,03:35.38,unknown,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-01-15,03:15.45,Claire,jump_causatham_rc4,WR,Map,record,map_record,,-00:19.93,,1828041,76561198066589108,[U:1:106323380],
2022-01-15,02:49.81,ondkaja,jump_causatham_rc4,WR,Map,record,map_record,,-00:25.63,01:59.26,1828113,76561198010123351,[U:1:49857623],
2022-01-15,02:37.45,-100 social cred,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-01-15,02:05.88,unknown,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-01-15,01:59.05,unknown,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-01-15,01:49.20,-100 social cred,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-01-18,01:47.10,Salty,jump_causatham_rc4,WR,Map,record,map_record,,-00:02.10,00:05.58,1830874,76561198070497462,[U:1:110231734],
2022-01-25,01:39.99,unknown,jump_causatham_rc4,WR,Map,observed,wr_split,,,,,,,
2022-03-20,01:37.11,tripbwai l'agres,jump_causatham_rc4,WR,Map,record,map_record,,-00:02.88,00:07.23,1892435,,,
