date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2022-05-22,07:23.28,Waldo,jump_celeriix,WR,IRC,,-00:11.86,,false,1954343,,
2022-05-22,05:53.82,osplo,jump_celeriix,WR,IRC,,-01:29.46,,false,1954359,,
2022-05-22,03:50.04,fotor,jump_celeriix,WR,MapRun,19:19.09,+15:29.05,,true,1954692,76561198231320900,[U:1:271055172]
2022-05-22,02:58.68,HOI,jump_celeriix,WR,MapRun,31:16.95,+28:18.27,,true,1954874,76561198061182117,[U:1:100916389]
2022-05-23,02:47.79,SourceTV,jump_celeriix,WR,MapRun,08:11.79,+05:24.00,,true,1955532,76561198053967778,[U:1:93702050]
2022-05-23,02:07.69,tomatotom@goblin,jump_celeriix,WR,IRC,,-00:40.09,,false,1955549,,
2022-05-24,01:57.97,tomatotom@goblin,jump_celeriix,WR,IRC,,-00:09.72,,false,1955748,,
2023-09-18,01:56.50,Helmi. -CC,jump_celeriix,WR,IRC,,-00:01.47,,false,2507260,,
2023-10-29,01:52.77,makly,jump_celeriix,WR,MapRecord,,-00:03.73,00:04.11,false,2567105,76561197976761681,[U:1:16495953]
2023-10-29,01:52.53,makly,jump_celeriix,WR,IRC,,-00:00.24,,false,2567754,,
2023-10-30,01:47.62,makly,jump_celeriix,WR,MapRecord,,-00:04.90,00:04.90,false,2568391,76561197976761681,[U:1:16495953]
