date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2020-03-25,04:45.94,Frauke,jump_chasm_final,WR,Map,announcement,irc_set,,,,,76561198370281030,[U:1:410015302],
2020-03-25,03:45.21,Scoob,jump_chasm_final,WR,Map,record,map_record,,-00:08.20,,1205680,76561198121428371,[U:1:161162643],
2020-03-25,02:48.71,cander,jump_chasm_final,WR,Map,announcement,irc,,-00:56.49,,,76561198318722879,[U:1:358457151],
2020-03-25,02:10.38,cander,jump_chasm_final,WR,Map,announcement,irc,,-00:38.32,,,76561198318722879,[U:1:358457151],
2020-03-25,02:09.40,Lighty,jump_chasm_final,WR,Map,record,map_record,,-00:00.97,,1205932,76561198069991227,[U:1:109725499],
2020-03-25,02:00.64,Lighty,jump_chasm_final,WR,Map,record,map_record,,-00:08.75,00:08.75,1205932,76561198069991227,[U:1:109725499],
2020-03-26,01:58.65,cander,jump_chasm_final,WR,Map,record,map_record,,-00:01.99,00:11.73,1206299,76561198318722879,[U:1:358457151],
2020-03-29,01:56.77,Skinny.,jump_chasm_final,WR,Map,record,map_record,,-00:01.87,00:18.52,1209267,76561198180610262,[U:1:220344534],
2020-04-03,01:52.91,cander,jump_chasm_final,WR,Map,announcement,irc,,-00:03.85,,,76561198318722879,[U:1:358457151],
2020-10-12,01:50.53,Skinny inda Hood,jump_chasm_final,WR,Map,record,map_record,,-00:02.38,00:06.24,1384687,,,
2020-12-19,01:49.90,cander,jump_chasm_final,WR,Map,record,map_record,,-00:00.63,00:03.01,1451877,76561198318722879,[U:1:358457151],
2021-01-04,01:47.11,Skinny.,jump_chasm_final,WR,Map,record,map_record,,-00:02.79,00:03.42,1467573,76561198180610262,[U:1:220344534],
2024-12-08,01:40.00,cander,jump_chasm_final,WR,Map,record,map_record,,-00:07.11,00:08.17,3163984,76561198318722879,[U:1:358457151],
