date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2020-03-25,04:31.80,Frauke,jump_chasm_final,WR,IRC,,-00:34.93,,false,1205657,76561198370281030,[U:1:410015302]
2020-03-25,04:14.97,Ww! Darkknio™,jump_chasm_final,WR,MapRun,05:03.91,+00:48.94,,true,1205680,76561198063242136,[U:1:102976408]
2020-03-25,03:13.60,ILDPRUT,jump_chasm_final,WR,MapRun,09:21.38,+06:07.78,,true,1205726,76561198024545611,[U:1:64279883]
2020-03-25,02:48.40,jtravs,jump_chasm_final,WR,IRC,,-00:03.58,,false,1205737,,
2020-03-25,02:26.56,riot,jump_chasm_final,WR,IRC,,-00:21.83,,false,1205805,,
2020-03-25,01:57.25,Boshy,jump_chasm_final,WR,IRC,,-00:05.53,,false,1205929,,
2021-08-22,01:53.68,twitch.tv/rachel,jump_chasm_final,WR,MapRecord,,-00:03.57,00:21.04,false,1679891,,
2023-09-02,01:46.18,yggdrasil jail -,jump_chasm_final,WR,MapRecord,,-00:03.72,00:08.40,false,2484320,,
2024-12-09,01:44.44,bnuy,jump_chasm_final,WR,IRC,,-00:01.74,,false,3165526,,
2024-12-09,01:39.15,bnuy,jump_chasm_final,WR,IRC,,-00:05.29,,false,3165616,,
2025-04-15,01:39.14,G6 SOOOOOAPYMEiS,jump_chasm_final,WR,MapRun,02:11.74,+00:32.60,,true,3276623,,
