date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-14,06:16.51,cody,jump_collab,WR,MapRecord,,-00:15.35,00:56.60,false,10804,76561198078488228,STEAM_0:0:59111250,
2014-08-17,05:57.31,ne ocean  ♡,jump_collab,WR,MapRecord,,-00:06.40,03:54.93,false,16188,76561198042495717,STEAM_0:1:41114994,
2014-08-17,06:03.71,Gebobus -tt,jump_collab,WR,MapRecord,,-00:12.79,00:28.15,false,16188,76561198044263100,STEAM_0:0:41998686,
2014-08-18,05:38.83,Kucino,jump_collab,WR,MapRecord,,-00:18.47,02:42.28,false,16418,76561198045405184,STEAM_0:0:42569728,
2014-08-18,05:38.83,Kucino,jump_collab,WR,Compact,,,,false,16418,76561198045405184,STEAM_0:0:42569728,
2014-08-28,05:23.40,cody,jump_collab,WR,MapRecord,,-00:15.42,00:53.10,false,18698,76561198078488228,[U:1:118222500],
2014-09-30,05:10.60,kUcino -kk,jump_collab,WR,MapRecord,,-00:12.80,00:28.23,false,21725,76561198045405184,[U:1:85139456],
2014-10-14,05:03.72,my feelings 4 u,jump_collab,WR,MapRecord,,-00:06.88,00:19.68,false,23699,76561198078488228,[U:1:118222500],
2014-11-22,04:58.54,soul obligation,jump_collab,WR,MapRecord,,-00:05.17,00:12.05,false,32176,,,
2015-01-10,04:35.31,Conolel Pootis,jump_collab,WR,IRC,,-00:23.23,,false,47691,,,
2015-01-10,04:35.31,Conolel Pootis,jump_collab,WR,MapRecord,,-00:23.23,00:28.41,false,47710,76561198078488228,[U:1:118222500],
2015-03-16,04:28.30,BIG 8====D,jump_collab,WR,Ranked,,,,true,71394,76561198048236806,[U:1:87971078],
2015-05-10,04:09.06,Topkek,jump_collab,WR,MapRecord,,-00:19.23,00:24.32,false,91755,76561198070783552,[U:1:110517824],
2015-08-16,04:09.06,Topkek,jump_collab,WR,Compact,,,,false,129285,,,
2015-09-06,03:53.86,Bobby Johnson,jump_collab,WR,IRC,,-00:12.32,,false,137287,,,
2015-09-06,04:06.19,Bobby Johnson,jump_collab,WR,IRC,,-00:02.87,,false,137287,,,
2015-09-06,03:33.82,gamer,jump_collab,WR,MapRecord,,-00:19.87,00:19.87,false,137293,76561198029285343,[U:1:69019615],
2015-09-06,03:53.70,gamer,jump_collab,WR,MapRecord,,-00:00.15,00:17.13,false,137293,76561198029285343,[U:1:69019615],
2015-09-06,03:53.86,Bobby Johnson,jump_collab,WR,MapRecord,,-00:12.32,00:12.32,false,137293,76561198018656606,[U:1:58390878],
2015-09-06,04:06.19,Bobby Johnson,jump_collab,WR,MapRecord,,-00:02.87,00:23.71,false,137293,76561198018656606,[U:1:58390878],
2015-09-13,03:33.82,Soup Can -tt,jump_collab,WR,Compact,,,,false,139846,76561198029285343,[U:1:69019615],
2015-09-13,03:33.82,Soup Can -tt,jump_collab,WR,Compact,,,,false,139846,76561198029285343,[U:1:69019615],
2018-02-07,02:52.52,Soup -tt,jump_collab,WR,MapRecord,,-00:16.21,,false,571041,76561198029285343,[U:1:69019615],
2018-02-07,03:08.74,Zike1017 ツ,jump_collab,WR,Compact,,,,false,571041,,,
2018-04-21,02:52.52,Soup -tt,jump_collab,WR,Compact,,,,false,630479,,,
2018-06-02,00:10.94,Boshy,jump_collab,WR,Bonus 1,,,,false,666740,,,
2020-02-10,00:09.83,Boshy,jump_collab,WR,Bonus 1,,-00:00.12,00:01.10,false,1170096,76561198046601398,[U:1:86335670],
2020-02-11,00:08.82,Boshy,jump_collab,WR,Bonus 1,,-00:00.23,00:00.23,false,1170706,76561198046601398,[U:1:86335670],
2020-02-11,00:09.05,Boshy,jump_collab,WR,Bonus 1,,-00:00.03,00:00.03,false,1170706,76561198046601398,[U:1:86335670],
2020-02-11,00:09.08,Boshy,jump_collab,WR,Bonus 1,,-00:00.07,00:00.12,false,1170706,76561198046601398,[U:1:86335670],
2020-02-11,00:09.29,Boshy,jump_collab,WR,Bonus 1,,-00:00.06,00:00.06,false,1170706,76561198046601398,[U:1:86335670],
2020-02-11,00:09.35,Boshy,jump_collab,WR,Bonus 1,,-00:00.34,00:00.48,false,1170706,76561198046601398,[U:1:86335670],
2021-03-07,00:08.91,Ww! Darkknio™,jump_collab,WR,Bonus 1,,,,false,1528591,,,
2021-03-07,02:52.53,go crazy,jump_collab,WR,Compact,,,,false,1528591,,,
2022-05-18,00:08.67,cander,jump_collab,WR,Bonus 1,,-00:00.19,00:00.31,false,1952183,76561198318722879,[U:1:358457151],
2024-04-16,02:52.53,suh,jump_collab,WR,Compact,,,,false,2819437,,,
2024-06-26,02:46.96,sam,jump_collab,WR,MapRecord,,-00:05.56,00:08.76,false,2922643,76561198045707908,[U:1:85442180],
2024-06-26,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922529,,,
2024-06-26,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922575,,,
2024-06-26,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922696,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922780,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922778,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922805,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922749,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922789,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922767,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922807,,,
2024-06-27,02:46.96,sam,jump_collab,WR,IRC,,-00:05.56,,false,2922812,,,
2024-09-06,02:46.96,glubtubis wepal,jump_collab,WR,Compact,,,,false,3028034,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151529,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151497,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151505,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151515,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151496,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151525,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151550,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151541,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151503,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151546,,,
2024-11-29,02:46.72,cander,jump_collab,WR,IRC,,-00:00.24,,false,3151499,,,
2024-11-29,02:46.72,cander,jump_collab,WR,MapRecord,,-00:00.24,00:22.99,false,3151456,76561198318722879,[U:1:358457151],
2025-01-11,02:46.72,cander,jump_collab,WR,Compact,,,,false,3215119,,,
