date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2017-11-17,03:07.97,Corqo,jump_concept_a5,WR,MapRun,22:31.87,+19:23.90,,true,505195,76561198025569815,[U:1:65304087],
2017-11-17,03:07.97,❤ Yin ❤,jump_concept_a5,WR,MapRun,20:46.08,+17:38.11,,true,505195,76561198238998196,[U:1:278732468],
2017-11-22,03:07.96,funk,jump_concept_a5,WR,MapRun,16:11.44,+13:03.48,,true,509053,76561198044533177,[U:1:84267449],
2017-12-01,01:07.65,Lilligan,jump_concept_a5,WR,Course 1,,-00:00.51,00:03.15,false,515164,76561198035787281,[U:1:75521553],
2017-12-01,03:07.96,Bamooxa,jump_concept_a5,WR,MapRun,16:20.33,+13:12.37,,true,515164,76561198067160709,[U:1:106894981],
2017-12-01,03:07.96,Skinny.,jump_concept_a5,WR,MapRun,08:17.33,+05:09.37,05:08.98,true,515164,76561198180610262,[U:1:220344534],
2017-12-01,03:07.96,๖Kaos,jump_concept_a5,WR,MapRun,26:22.28,+23:14.32,,true,515164,76561198113093440,[U:1:152827712],
2017-12-14,03:07.96,vice,jump_concept_a5,WR,Compact,,,,false,525593,,,
2017-12-14,03:07.96,vice,jump_concept_a5,WR,Compact,,,,false,525593,,,
2018-07-20,01:07.15,newjuls,jump_concept_a5,WR,Course 1,,-00:00.49,00:00.79,false,712031,76561198396018338,[U:1:435752610],
2018-07-20,01:43.74,newjuls,jump_concept_a5,WR,Course 2,,-00:04.81,00:23.26,false,712031,76561198396018338,[U:1:435752610],
2018-07-20,02:59.56,newjuls,jump_concept_a5,WR,MapRecord,,-00:08.39,00:36.22,false,712031,76561198396018338,[U:1:435752610],
2018-07-20,02:59.56,newjuls,jump_concept_a5,WR,Compact,,,,false,712031,76561198396018338,[U:1:435752610],
2018-07-20,02:59.57,BIG SCOOT,jump_concept_a5,WR,MapRun,13:11.20,+10:11.63,,true,712031,76561198049293816,[U:1:89028088],
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,ronin,jump_concept_a5,WR,Compact,,,,false,712031,,,
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,03:35.78,+00:27.82,00:02.77,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,03:38.56,+00:30.60,00:03.07,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,03:41.63,+00:33.67,00:31.73,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,04:06.04,+00:58.08,,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,04:13.37,+01:05.41,01:35.11,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,05:48.49,+02:40.53,00:38.24,true,712031,76561198396018338,[U:1:435752610],
2018-07-20,03:07.96,newjuls,jump_concept_a5,WR,MapRun,06:03.34,+02:55.38,,true,712031,76561198396018338,[U:1:435752610],
2018-09-03,02:59.56,newjuls,jump_concept_a5,WR,Compact,,,,false,751773,76561198396018338,[U:1:435752610],
2019-05-11,01:32.41,vice,jump_concept_a5,WR,Course 2,,-00:02.23,00:02.55,false,960099,76561198366368448,[U:1:406102720],
2019-05-11,02:59.57,Zam,jump_concept_a5,WR,MapRun,21:49.24,+18:49.67,,true,960099,76561198046021943,[U:1:85756215],
2019-05-11,02:59.57,🌴,jump_concept_a5,WR,MapRun,10:56.23,+07:56.66,,true,960099,76561198053562434,[U:1:93296706],
2019-09-08,02:51.97,Madeline,jump_concept_a5,WR,MapRecord,,-00:07.59,00:19.64,false,1053590,76561198046601398,[U:1:86335670],
2019-09-08,02:59.56,ghort,jump_concept_a5,WR,Compact,,,,false,1053590,,,
2019-09-08,02:59.56,Madeline,jump_concept_a5,WR,MapRun,03:13.43,+00:13.87,,true,1053590,76561198046601398,[U:1:86335670],
2019-09-08,02:59.57,Madeline,jump_concept_a5,WR,MapRun,03:11.62,+00:12.05,00:13.85,true,1053590,76561198046601398,[U:1:86335670],
2019-09-08,02:59.57,Madeline,jump_concept_a5,WR,MapRun,03:25.48,+00:25.91,01:24.34,true,1053590,76561198046601398,[U:1:86335670],
2019-10-09,00:01.24,song,jump_concept_a5,WR,Bonus 1,,-00:00.03,00:00.48,false,1076852,76561198210286877,[U:1:250021149],
2019-10-17,02:51.97,Boshy,jump_concept_a5,WR,Compact,,,,false,1082832,,,
2020-06-12,00:01.24,cander,jump_concept_a5,WR,Bonus 1,,-00:00.00,00:00.00,false,1273296,76561198318722879,[U:1:358457151],
2020-07-13,02:51.97,Grump,jump_concept_a5,WR,MapRun,23:34.75,+20:42.78,,true,1300015,76561198117504382,[U:1:157238654],
2020-07-13,02:51.97,Zen,jump_concept_a5,WR,MapRun,19:07.57,+16:15.60,,true,1300015,76561198152759309,[U:1:192493581],
2020-07-13,02:51.98,left,jump_concept_a5,WR,MapRun,07:39.58,+04:47.60,,true,1300015,76561198093895849,[U:1:133630121],
2021-04-05,01:05.25,vice,jump_concept_a5,WR,Course 1,,-00:01.55,00:02.92,false,1556239,76561198366368448,[U:1:406102720],
2021-04-05,02:51.97,vice,jump_concept_a5,WR,MapRun,03:11.32,+00:19.35,,true,1556239,76561198366368448,[U:1:406102720],
2021-04-05,02:51.98,Boshy,jump_concept_a5,WR,Compact,,,,false,1556239,,,
2021-04-05,02:51.98,Boshy,jump_concept_a5,WR,Compact,,,,false,1556239,,,
2021-04-05,02:51.98,Boshy,jump_concept_a5,WR,Ranked,,,,true,1556239,,,
2021-04-05,02:51.98,Boshy,jump_concept_a5,WR,Ranked,,,,true,1556239,,,
2021-10-25,02:49.47,vice,jump_concept_a5,WR,IRC,,-00:02.51,,false,1744858,,,
2021-10-25,02:49.47,vice,jump_concept_a5,WR,MapRecord,,-00:02.51,00:11.05,false,1744910,76561198366368448,[U:1:406102720],
2021-10-25,02:51.97,vice,jump_concept_a5,WR,MapRun,03:00.52,+00:08.55,00:07.44,true,1744910,76561198366368448,[U:1:406102720],
2021-10-25,02:51.97,vice,jump_concept_a5,WR,MapRun,03:24.46,+00:32.49,,true,1744910,76561198366368448,[U:1:406102720],
2021-10-25,02:51.97,vice,jump_concept_a5,WR,MapRun,03:55.24,+01:03.27,,true,1744910,76561198366368448,[U:1:406102720],
2021-10-25,02:51.98,Boshy,jump_concept_a5,WR,Compact,,,,false,1744910,,,
2021-10-25,02:51.98,Boshy,jump_concept_a5,WR,Compact,,,,false,1744910,,,
2021-10-25,02:51.98,kanda,jump_concept_a5,WR,MapRun,16:10.38,+13:18.40,,true,1744910,76561198391588245,[U:1:431322517],
2021-10-25,02:51.98,meowsh,jump_concept_a5,WR,MapRun,20:03.57,+17:11.59,,true,1744910,76561198060448954,[U:1:100183226],
2022-01-03,02:49.47,Jamie c:,jump_concept_a5,WR,MapRun,15:21.79,+12:32.32,,true,1815947,76561198120665449,[U:1:160399721],
2022-07-31,00:01.20,Jorge,jump_concept_a5,WR,Bonus 1,,-00:00.04,00:00.10,false,2017716,76561198101198779,[U:1:140933051],
2022-07-31,00:01.15,Jorge,jump_concept_a5,WR,Bonus 1,,-00:00.01,00:00.01,false,2017740,76561198101198779,[U:1:140933051],
2022-07-31,00:01.17,Jorge,jump_concept_a5,WR,Bonus 1,,-00:00.03,00:00.03,false,2017740,76561198101198779,[U:1:140933051],
2023-04-24,00:01.18,Kratos,jump_concept_a5,WR,Bonus 1,,-00:00.06,00:00.07,false,2289200,76561198930334128,[U:1:970068400],
2023-04-24,00:01.15,Kratos,jump_concept_a5,WR,Bonus 1,,-00:00.01,00:00.01,false,2289814,76561198930334128,[U:1:970068400],
2023-04-24,00:01.17,Kratos,jump_concept_a5,WR,Bonus 1,,-00:00.01,00:00.01,false,2289814,76561198930334128,[U:1:970068400],
2023-09-04,02:49.47,consition,jump_concept_a5,WR,MapRun,13:37.27,+10:47.80,,true,2486353,76561198045329479,[U:1:85063751],
2023-11-03,01:04.65,Matty,jump_concept_a5,WR,Course 1,,-00:00.34,00:00.34,false,2574929,76561198035204545,[U:1:74938817],
2023-11-03,01:04.99,Matty,jump_concept_a5,WR,Course 1,,-00:00.25,00:00.52,false,2574929,76561198035204545,[U:1:74938817],
2023-11-03,01:31.98,Matty,jump_concept_a5,WR,Course 2,,-00:00.44,00:01.20,false,2574929,76561198035204545,[U:1:74938817],
2023-11-03,02:45.87,Matty,jump_concept_a5,WR,MapRecord,,-00:03.60,00:15.66,false,2574929,76561198035204545,[U:1:74938817],
2023-11-03,02:49.47,arkadia,jump_concept_a5,WR,Compact,,,,false,2574929,,,
2023-11-03,02:49.47,cander,jump_concept_a5,WR,Compact,,,,false,2574929,,,
2023-11-03,02:49.47,cander,jump_concept_a5,WR,Compact,,,,false,2574929,,,
2023-11-03,02:49.47,Matty,jump_concept_a5,WR,MapRun,03:10.08,+00:20.61,,true,2574929,76561198035204545,[U:1:74938817],
2024-01-27,02:45.87,minette,jump_concept_a5,WR,MapRun,17:52.11,+15:06.24,,true,2704678,76561199512889791,[U:1:1552624063],
2024-02-01,02:45.87,Helmi. -CC,jump_concept_a5,WR,MapRun,06:37.74,+03:51.87,04:07.45,true,2712380,76561198201985399,[U:1:241719671],
2024-02-01,02:45.87,farmacist,jump_concept_a5,WR,MapRun,12:44.74,+09:58.87,,true,2712380,76561198124842300,[U:1:164576572],
2024-02-24,02:45.87,sumo,jump_concept_a5,WR,MapRun,28:52.26,+26:06.39,,true,2745754,76561198018144933,[U:1:57879205],
2024-02-25,02:45.87,no,jump_concept_a5,WR,MapRun,37:29.74,+34:43.87,,true,2748152,76561198439899407,[U:1:479633679],
2024-02-27,02:45.87,gonna kill mysel,jump_concept_a5,WR,MapRun,09:53.80,+07:07.93,,true,2750474,,,
