date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2017-11-17,10:34.12,WAAA,jump_concept_a5,WR,Map,observed,wr_split,,,,,,,
2017-11-17,01:39.93,tear,jump_concept_a5,WR,Course 1,record,zone_record,,-00:03.35,00:04.00,505195,76561198066947056,[U:1:106681328],
2017-11-17,01:37.78,fox,jump_concept_a5,WR,Course 1,record,zone_record,,-00:02.14,00:02.90,505329,76561198046601398,[U:1:86335670],
2017-12-14,07:51.58,Mr.Spy Bhop,jump_concept_a5,WR,Course 2,record,zone_record,,-00:44.58,02:39.73,525593,,,
2017-12-14,10:20.23,Mr.Spy Bhop,jump_concept_a5,WR,Map,record,map_record,,-00:13.89,02:14.02,525593,,,
2018-09-03,07:29.26,newjuls,jump_concept_a5,WR,Course 2,record,zone_record,,-00:22.31,01:42.08,751773,76561198396018338,[U:1:435752610],
2018-09-03,09:29.01,newjuls,jump_concept_a5,WR,Map,record,map_record,,-00:51.22,01:38.44,751773,76561198396018338,[U:1:435752610],
2018-09-03,09:06.77,eee,jump_concept_a5,WR,Map,record,map_record,,-00:22.23,01:13.45,751851,76561198033727092,[U:1:73461364],
2018-09-03,07:13.18,eee,jump_concept_a5,WR,Course 2,record,zone_record,,-00:16.08,00:38.39,751851,76561198033727092,[U:1:73461364],
2019-10-11,07:10.03,twitch.tv/zike10,jump_concept_a5,WR,Course 2,record,zone_record,,-00:03.14,00:06.79,1078212,,,
2019-10-17,06:55.30,Zike1017 ツ -tt,jump_concept_a5,WR,Course 2,record,zone_record,,-00:14.73,00:14.73,1082832,,,
2019-10-17,08:56.17,Zike1017 ツ -tt,jump_concept_a5,WR,Map,record,map_record,,-00:10.60,00:58.05,1082832,,,
2020-01-31,00:02.98,happy kip day,jump_concept_a5,WR,Bonus 1,record,zone_record,,-00:00.11,00:00.13,1162627,,,
2020-05-10,01:34.08,Boshy,jump_concept_a5,WR,Course 1,record,zone_record,,-00:01.38,00:03.70,1246351,76561198046601398,[U:1:86335670],
2020-07-05,06:45.22,mimimimimimimimi,jump_concept_a5,WR,Course 2,record,zone_record,,-00:10.08,00:26.66,1292934,,,
2020-07-05,08:30.39,mimimimimimimimi,jump_concept_a5,WR,Map,record,map_record,,-00:25.77,00:28.65,1292934,,,
2020-07-13,05:24.46,Zik.j2-nC-tt-ttd,jump_concept_a5,WR,Course 2,record,zone_record,,-00:48.62,00:48.62,1300015,,,
2020-07-13,07:37.27,Zik.j2-nC-tt-ttd,jump_concept_a5,WR,Map,record,map_record,,-00:53.12,01:10.09,1300015,,,
2021-03-16,00:02.94,violetSkye -rng,jump_concept_a5,WR,Bonus 1,record,zone_record,,-00:00.07,00:00.19,1537347,76561197988619397,[U:1:28353669],
2021-11-19,00:02.85,Skye,jump_concept_a5,WR,Bonus 1,record,zone_record,,-00:00.06,00:00.09,1771609,76561197988619397,[U:1:28353669],
2022-01-03,07:23.26,royalplayz922,jump_concept_a5,WR,Map,record,map_record,,-00:14.01,01:02.50,1815947,76561198343592483,[U:1:383326755],
2022-01-04,01:31.99,royalplayz922,jump_concept_a5,WR,Course 1,record,zone_record,,-00:02.09,00:02.49,1816705,76561198343592483,[U:1:383326755],
2022-01-06,01:30.85,ad control air f,jump_concept_a5,WR,Course 1,record,zone_record,,-00:01.14,00:01.14,1818804,,,
2022-04-22,01:29.22,MeDICK Dr.Sex 69,jump_concept_a5,WR,Course 1,record,zone_record,,-00:01.63,00:01.63,1924636,,,
2022-04-22,05:23.49,MeDICK Dr.Sex 69,jump_concept_a5,WR,Course 2,record,zone_record,,-00:00.98,00:07.69,1924636,,,
2023-02-13,07:18.37,ixam,jump_concept_a5,WR,Map,command,wr_command,,,,,,,
2023-02-13,04:43.39,poco hayer,jump_concept_a5,WR,Course 2,record,zone_record,,-00:36.60,00:40.09,2213252,76561198343592483,[U:1:383326755],
2023-02-13,04:34.23,poco hayer,jump_concept_a5,WR,Course 2,record,zone_record,,-00:09.16,00:09.16,2213252,76561198343592483,[U:1:383326755],
2023-02-13,06:26.05,poco hayer,jump_concept_a5,WR,Map,record,map_record,,-00:52.32,00:57.21,2213252,76561198343592483,[U:1:383326755],
