date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-25,01:46.67,cody,jump_contact,WR,MapRecord,,-00:12.43,00:12.61,false,12312,76561198078488228,STEAM_0:0:59111250,
2014-07-25,01:46.67,cody,jump_contact,WR,Compact,,,,false,12312,76561198078488228,STEAM_0:0:59111250,
2014-07-25,01:46.67,cody,jump_contact,WR,Compact,,,,false,12312,76561198078488228,STEAM_0:0:59111250,
2014-07-25,01:46.67,cody,jump_contact,WR,Compact,,,,false,12312,76561198078488228,STEAM_0:0:59111250,
2014-07-25,01:59.11,Gebobus,jump_contact,WR,Compact,,,,false,12312,76561198044263100,STEAM_0:0:41998686,
2014-08-26,01:35.35,Gebobus,jump_contact,WR,MapRecord,,-00:11.32,00:17.68,false,18088,76561198044263100,[U:1:83997372],
2015-01-17,01:33.41,1231231231231231,jump_contact,WR,MapRecord,,-00:01.93,01:37.52,false,51225,,,
2015-09-04,01:27.25,Soup Can,jump_contact,WR,MapRecord,,-00:06.16,00:18.85,false,136426,76561198029285343,[U:1:69019615],
2015-09-04,01:33.41,Oh Well,jump_contact,WR,Compact,,,,false,136426,,,
2018-01-27,01:09.33,Soup -tt,jump_contact,WR,MapRecord,,-00:01.89,00:01.89,false,562241,76561198029285343,[U:1:69019615],
2018-01-27,01:11.22,Soup -tt,jump_contact,WR,MapRecord,,-00:02.35,00:02.35,false,562241,76561198029285343,[U:1:69019615],
2018-12-22,01:08.65,twitch.tv/zike10,jump_contact,WR,MapRecord,,-00:00.67,00:05.62,false,847179,,,
2018-12-22,01:09.33,Kyle,jump_contact,WR,Compact,,,,false,847179,,,
2018-12-22,01:09.33,Kyle,jump_contact,WR,Compact,,,,false,847179,,,
2019-03-22,01:07.94,Soup -tt,jump_contact,WR,IRC,,-00:00.70,,false,921301,,,
2019-03-22,01:07.94,Soup -tt,jump_contact,WR,MapRecord,,-00:00.70,00:01.38,false,921429,76561198029285343,[U:1:69019615],
2020-06-01,01:06.98,twitch.tv/zike10,jump_contact,WR,MapRecord,,-00:00.96,00:01.42,false,1264804,,,
2020-06-01,01:07.94,Soup -tt,jump_contact,WR,Compact,,,,false,1264804,,,
2020-07-14,01:03.79,osplo,jump_contact,WR,MapRun,11:29.77,+10:25.98,,true,1300720,76561198047229461,[U:1:86963733],
2020-11-21,01:03.27,RIP A. Trebek,jump_contact,WR,MapRun,03:19.86,+02:16.59,01:27.30,true,1424381,76561198027443134,[U:1:67177406],
2021-02-27,01:02.88,Zike1017,jump_contact,WR,Ranked,,,,true,1521711,76561198050366275,[U:1:90100547],
2021-02-27,01:03.27,soup -tt,jump_contact,WR,Compact,,,,false,1521711,,,
2021-03-01,01:02.43,go crazy,jump_contact,WR,Ranked,,,,true,1523567,,,
2021-03-02,01:02.14,Rellort,jump_contact,WR,MapRun,05:31.15,+04:29.01,00:58.95,true,1523698,76561198090668406,[U:1:130402678],
2023-02-17,00:59.91,iron,jump_contact,WR,MapRun,28:20.16,+27:20.25,,true,2216879,76561198158054484,[U:1:197788756],
2024-02-18,00:59.91,suh,jump_contact,WR,Compact,,,,false,2738013,,,
2024-06-21,00:59.91,suh,jump_contact,WR,Compact,,,,false,2914388,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958251,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958263,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958310,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958380,,,
2024-07-21,00:59.52,vice,jump_contact,WR,MapRecord,,-00:00.39,00:00.39,false,2958280,76561198366368448,[U:1:406102720],
2024-07-21,00:59.91,suh,jump_contact,WR,Compact,,,,false,2958280,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958297,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958375,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958410,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958419,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958391,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958411,,,
2024-07-21,00:59.52,vice,jump_contact,WR,IRC,,-00:00.39,,false,2958397,,,
2025-05-12,00:59.52,vice,jump_contact,WR,Compact,,,,false,3315353,76561198366368448,[U:1:406102720],
2025-05-12,00:59.52,vice,jump_contact,WR,Compact,,,,false,3315353,76561198366368448,[U:1:406102720],
2025-05-30,00:59.52,SID,jump_contact,WR,Compact,,,,false,3340474,,,
