date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-03-20,01:42.17,imPikable,jump_cow,WR,IRCSet,,,,false,603720,76561198066589108,[U:1:106323380]
2018-03-20,01:14.97,ÞøмîÞђД,jump_cow,WR,MapRun,07:11.21,+05:56.24,,true,603754,,
2018-03-20,01:06.70,mslenny,jump_cow,WR,IRC,,-00:08.26,,false,603756,,
2018-03-20,00:53.17,Pop,jump_cow,WR,MapRun,05:54.58,+05:01.41,,true,603787,76561198382647385,[U:1:422381657]
2018-03-20,00:44.64,Steve,jump_cow,WR,IRC,,-00:02.24,,false,603835,76561198063901478,[U:1:103635750]
2018-03-21,00:44.00,Bea    GO!,jump_cow,WR,MapRecord,,-00:00.63,00:01.18,false,604239,76561198084406120,[U:1:124140392]
2018-03-21,00:41.77,Steve,jump_cow,WR,MapRecord,,-00:00.95,00:00.95,false,604414,,
2018-04-19,00:40.98,kidder | hugs.tf,jump_cow,WR,MapRecord,,-00:00.29,00:00.29,false,628566,76561198000949987,[U:1:40684259]
2018-09-16,00:40.53,420noSCOPE,jump_cow,WR,MapRecord,,-00:00.45,00:00.76,false,763887,,
2019-03-09,00:39.22,kidder,jump_cow,WR,MapRecord,,-00:01.30,00:01.76,false,911127,,
2020-09-01,00:37.87,song,jump_cow,WR,MapRecord,,-00:01.34,00:02.93,false,1343849,76561198210286877,[U:1:250021149]
2023-04-26,00:37.09,うさぎ。,jump_cow,WR,IRC,,-00:02.13,,false,2292516,76561198210286877,[U:1:250021149]
2025-04-18,00:36.69,garf,jump_cow,WR,IRC,,-00:00.40,,false,3281474,,
2025-04-21,00:36.34,₍ᐢᐢ₎. us,jump_cow,WR,IRC,,-00:00.34,,false,3286084,,
2025-04-22,00:35.73,₍ᐢᐢ₎. us,jump_cow,WR,IRC,,-00:00.62,,false,3287371,,
2025-04-22,00:35.58,₍ᐢᐢ₎. us,jump_cow,WR,IRC,,-00:00.15,,false,3287703,,
