date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-10-28,04:03.03,mslenny-chan,jump_crunch,WR,IRC,,-12:27.75,,false,801361,,
2018-10-28,02:18.14,mslenny-chan,jump_crunch,WR,MapRecord,,-00:30.26,00:30.26,false,801501,76561198136378809,[U:1:176113081]
2018-10-28,02:05.74,kidder,jump_crunch,WR,IRC,,-00:12.40,,false,801521,,
2018-10-28,01:54.00,kidder,jump_crunch,WR,MapRecord,,-00:04.21,00:04.21,false,801798,76561198000949987,[U:1:40684259]
2018-10-29,01:52.57,ᴳʸᴺ Hate Ma,jump_crunch,WR,MapRun,19:31.25,+17:38.68,,true,801930,,
2018-10-29,01:50.56,Thriller,jump_crunch,WR,MapRecord,,-00:02.01,00:03.78,false,802238,,
2018-10-31,01:46.96,kiddler,jump_crunch,WR,IRC,,-00:02.90,,false,803967,,
2018-11-02,01:36.79,farmer internet,jump_crunch,WR,MapRecord,,-00:10.16,00:10.16,false,806026,76561198000949987,[U:1:40684259]
2019-11-03,01:35.98,Diller,jump_crunch,WR,MapRecord,,-00:00.80,00:14.57,false,1095813,76561198040963460,[U:1:80697732]
2020-09-19,01:35.58,mr gato,jump_crunch,WR,MapRecord,,-00:00.40,00:07.37,false,1362282,76561198126091800,[U:1:165826072]
2020-09-20,01:34.82,mr gato,jump_crunch,WR,MapRecord,,-00:00.75,00:00.75,false,1363006,76561198126091800,[U:1:165826072]
2021-04-06,01:32.71,mr gato,jump_crunch,WR,MapRecord,,-00:02.11,00:02.11,false,1556727,76561198126091800,[U:1:165826072]
2021-04-09,01:29.47,mr gato,jump_crunch,WR,IRC,,-00:03.24,,false,1559417,,
2023-08-05,01:23.04,vice,jump_crunch,WR,IRC,,-00:06.43,,false,2438558,,
2025-07-04,01:22.89,rev!4,jump_crunch,WR,IRC,,-00:00.15,,false,3390876,,
2025-07-10,01:22.88,✪ SenseiJuba,jump_crunch,WR,MapRun,19:28.66,+18:05.78,,true,3399435,76561198313758751,[U:1:353493023]
