date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-04-29,14:12.84,resistance is fu,jump_damer_rc6,WR,IRCSet,,,,false,636405,,,
2018-04-29,00:05.81,Omelette du Miel,jump_damer_rc6,WR,Bonus 1 First,,,,false,636415,76561198044680920,[U:1:84415192],
2018-04-29,00:11.35,Wÿm,jump_damer_rc6,WR,Bonus 3,,-00:00.04,00:00.05,false,636415,76561198049473836,[U:1:89208108],
2018-04-29,03:03.10,Chief,jump_damer_rc6,WR,IRC,,-00:26.39,,false,636415,,,
2018-04-29,03:03.10,-villejh-,jump_damer_rc6,WR,MapRun,16:06.29,+13:03.19,,true,636415,76561198093201625,[U:1:132935897],
2018-04-29,03:03.10,LuxZen,jump_damer_rc6,WR,MapRun,21:50.51,+18:47.41,,true,636415,76561198152922353,[U:1:192656625],
2018-04-29,03:03.10,Mr. Obvious,jump_damer_rc6,WR,MapRun,33:43.22,+30:40.12,,true,636415,76561198088735927,[U:1:128470199],
2018-04-29,03:03.10,MrSmithers,jump_damer_rc6,WR,MapRun,17:22.58,+14:19.48,,true,636415,76561198067207875,[U:1:106942147],
2018-04-29,03:03.10,Player,jump_damer_rc6,WR,MapRun,04:08.94,+01:05.84,01:42.01,true,636415,76561198084157393,[U:1:123891665],
2018-04-29,03:03.10,Player,jump_damer_rc6,WR,MapRun,06:19.46,+03:16.36,,true,636415,76561198084157393,[U:1:123891665],
2018-04-29,03:03.10,Shunix -tt,jump_damer_rc6,WR,MapRun,05:40.91,+02:37.81,00:07.89,true,636415,76561198047121805,[U:1:86856077],
2018-04-29,03:03.10,Shunix -tt,jump_damer_rc6,WR,MapRun,20:40.31,+17:37.21,,true,636415,76561198047121805,[U:1:86856077],
2018-04-29,03:03.10,hotbrain,jump_damer_rc6,WR,MapRun,41:16.52,+38:13.42,,true,636415,76561198096708622,[U:1:136442894],
2018-04-29,03:03.11,AerEE,jump_damer_rc6,WR,MapRun,12:29.20,+09:26.09,,true,636415,76561198065367158,[U:1:105101430],
2018-04-29,03:03.11,Ltfx,jump_damer_rc6,WR,MapRun,08:41.29,+05:38.18,,true,636415,76561198051610309,[U:1:91344581],
2018-04-29,03:03.11,Luuk,jump_damer_rc6,WR,MapRun,39:00.70,+35:57.59,,true,636415,76561198088266026,[U:1:128000298],
2018-04-29,03:03.11,Player,jump_damer_rc6,WR,MapRun,06:03.41,+03:00.30,,true,636415,76561198084157393,[U:1:123891665],
2018-04-29,03:03.11,RƐnsƐ,jump_damer_rc6,WR,MapRun,08:28.99,+05:25.88,,true,636415,76561198038777445,[U:1:78511717],
2018-04-29,03:03.11,Shunix -tt,jump_damer_rc6,WR,MapRun,05:48.81,+02:45.70,03:32.74,true,636415,76561198047121805,[U:1:86856077],
2018-04-29,03:03.11,Shunix -tt,jump_damer_rc6,WR,MapRun,09:21.55,+06:18.44,11:18.76,true,636415,76561198047121805,[U:1:86856077],
2018-04-29,03:03.11,greenrab,jump_damer_rc6,WR,MapRun,1:01:36.82,+58:33.71,,true,636415,76561198042391429,[U:1:82125701],
2018-04-29,03:03.11,nNn,jump_damer_rc6,WR,MapRun,1:53:03.49,+1:50:00.38,,true,636415,76561197988650167,[U:1:28384439],
2018-04-29,03:03.11,noobeldub,jump_damer_rc6,WR,MapRun,09:32.41,+06:29.30,,true,636415,76561198092096689,[U:1:131830961],
2018-04-29,03:03.11,ondkaja,jump_damer_rc6,WR,MapRun,23:08.02,+20:04.91,,true,636415,76561198010123351,[U:1:49857623],
