date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-10-14,05:07.58,newjuls -ttdark,jump_dang,WR,MapRun,16:00.06,+10:52.48,02:16.12,true,789665,76561198396018338,[U:1:435752610],
2019-09-22,05:07.57,i can hear the b,jump_dang,WR,Ranked,,,,true,1064240,,,
2019-10-02,05:07.57,riot,jump_dang,WR,MapRun,06:20.23,+01:12.66,02:05.98,true,1071373,76561198065169685,[U:1:104903957],
2020-11-16,05:07.57,Solomon,jump_dang,WR,MapRun,14:56.08,+09:48.51,,true,1419107,76561198040927024,[U:1:80661296],
2021-03-12,04:33.67,tripbwai,jump_dang,WR,MapRecord,,-00:33.90,01:47.25,false,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,06:20.92,+01:13.35,00:06.46,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,06:27.39,+01:19.82,00:13.12,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,06:40.41,+01:32.84,,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,06:40.51,+01:32.94,01:32.28,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,08:12.79,+03:05.22,01:22.29,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,08:39.87,+03:32.30,,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,09:16.32,+04:08.75,,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,09:35.08,+04:27.51,00:54.24,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,05:07.57,tripbwai,jump_dang,WR,MapRun,17:47.59,+12:40.02,,true,1533292,76561198109904512,[U:1:149638784],
2021-03-12,04:33.67,tripbwai,jump_dang,WR,IRC,,-00:33.90,,false,1533382,,,
2021-03-12,04:33.67,tripbwai,jump_dang,WR,IRC,,-00:33.90,,false,1533433,,,
2021-08-13,04:33.67,Agent C,jump_dang,WR,MapRun,59:35.92,+55:02.25,,true,1668404,76561198332723633,[U:1:372457905],
2021-09-27,04:32.56,Solomon,jump_dang,WR,MapRecord,,-00:01.11,01:10.41,false,1714355,76561198040927024,[U:1:80661296],
2021-09-27,04:32.56,Solomon,jump_dang,WR,Compact,,,,false,1714355,76561198040927024,[U:1:80661296],
2021-09-27,04:32.56,Solomon,jump_dang,WR,Ranked,,,,true,1714355,76561198040927024,[U:1:80661296],
2021-09-27,04:33.67,i may be stupid,jump_dang,WR,Compact,,,,false,1714355,,,
2022-06-07,04:32.56,row♥,jump_dang,WR,MapRun,50:35.20,+46:02.64,,true,1969056,76561199231624538,[U:1:1271358810],
2022-08-26,04:20.70,bunny.,jump_dang,WR,IRC,,-00:11.86,,false,2038089,76561198201985399,[U:1:241719671],
2022-08-26,04:20.70,bunny.,jump_dang,WR,MapRecord,,-00:11.86,00:49.11,false,2038178,76561198201985399,[U:1:241719671],
2022-08-26,04:32.56,bunny.,jump_dang,WR,MapRun,06:22.78,+01:50.22,35:54.84,true,2038178,76561198201985399,[U:1:241719671],
2022-08-26,04:32.57,bunny.,jump_dang,WR,MapRun,05:09.81,+00:37.24,01:12.97,true,2038178,76561198201985399,[U:1:241719671],
2022-10-09,04:05.68,slox brazilian f,jump_dang,WR,MapRecord,,-00:15.01,00:33.52,false,2082746,,,
2022-10-09,04:20.70,Le Batata,jump_dang,WR,MapRun,26:03.97,+21:43.27,,true,2082746,76561198059453711,[U:1:99187983],
2022-10-09,04:20.70,red,jump_dang,WR,MapRun,48:45.93,+44:25.23,,true,2082746,76561198044774077,[U:1:84508349],
2022-11-15,04:05.69,Grimm,jump_dang,WR,MapRun,39:21.72,+35:16.03,,true,2118179,76561198089240119,[U:1:128974391],
2023-09-16,03:36.51,x_ray2700,jump_dang,WR,MapRecord,,-00:20.65,00:58.87,false,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.16,x_ray2700,jump_dang,WR,MapRun,04:35.38,+00:38.22,00:24.27,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.16,x_ray2700,jump_dang,WR,MapRun,05:00.94,+01:03.78,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.16,x_ray2700,jump_dang,WR,MapRun,06:51.31,+02:54.15,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.16,x_ray2700,jump_dang,WR,MapRun,07:20.32,+03:23.16,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.16,x_ray2700,jump_dang,WR,MapRun,10:18.88,+06:21.72,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.17,x_ray2700,jump_dang,WR,MapRun,05:02.16,+01:04.99,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-16,03:57.17,x_ray2700,jump_dang,WR,MapRun,05:39.93,+01:42.76,,true,2504920,76561198979680671,[U:1:1019414943],
2023-09-19,03:36.51,Guenther,jump_dang,WR,MapRun,45:02.19,+41:25.68,,true,2508998,76561198059003606,[U:1:98737878],
2023-09-19,03:36.51,☆HDGamer☆ [Y,jump_dang,WR,MapRun,35:42.28,+32:05.77,,true,2508998,,,
2024-02-11,03:36.51,cute kitty girl,jump_dang,WR,MapRun,43:09.03,+39:32.52,,true,2726753,,,
2024-02-17,03:36.51,garf,jump_dang,WR,MapRun,22:42.37,+19:05.86,,true,2736099,76561199243400809,[U:1:1283135081],
2024-03-11,03:36.51,fate,jump_dang,WR,MapRun,55:08.01,+51:31.50,,true,2768680,76561198058068851,[U:1:97803123],
2024-03-16,03:36.51,Ehva,jump_dang,WR,MapRun,42:19.23,+38:42.72,,true,2776123,76561198007326816,[U:1:47061088],
2024-03-23,03:36.51,EV,jump_dang,WR,MapRun,22:50.88,+19:14.37,,true,2785421,76561198073154044,[U:1:112888316],
2024-03-24,03:36.51,zyfqn,jump_dang,WR,MapRun,17:41.28,+14:04.77,,true,2787785,76561198239098156,[U:1:278832428],
2024-03-24,03:36.51,Haveiyk,jump_dang,WR,MapRun,1:19:16.47,+1:15:39.96,,true,2787819,76561198173345453,[U:1:213079725],
2024-03-24,03:36.51,Hypnotize,jump_dang,WR,MapRun,34:00.82,+30:24.31,,true,2787819,76561198058754493,[U:1:98488765],
2024-03-24,03:36.51,citymare  cityzo,jump_dang,WR,MapRun,34:22.32,+30:45.81,,true,2787886,,,
2024-03-28,03:36.51,conorbb,jump_dang,WR,MapRun,17:44.89,+14:08.38,,true,2793513,76561198101725605,[U:1:141459877],
2024-04-02,03:36.51,dillwax,jump_dang,WR,MapRun,33:03.73,+29:27.22,,true,2800365,76561198183060018,[U:1:222794290],
2024-04-09,03:36.51,Maxx,jump_dang,WR,MapRun,38:32.92,+34:56.41,,true,2808905,76561198045405304,[U:1:85139576],
2024-04-12,03:36.51,aniekuwee,jump_dang,WR,MapRun,1:29:30.73,+1:25:54.22,,true,2813970,76561198115012906,[U:1:154747178],
2024-04-25,03:36.51,Itadori Yuji,jump_dang,WR,MapRun,20:51.27,+17:14.76,,true,2830847,76561198111108219,[U:1:150842491],
2024-05-11,03:36.51,ᵐüˢˡⁱ,jump_dang,WR,MapRun,41:27.55,+37:51.04,,true,2854465,76561198379555950,[U:1:419290222],
2024-05-12,03:36.51,frogshot enthusi,jump_dang,WR,MapRun,37:03.25,+33:26.74,,true,2855628,,,
2024-05-13,03:36.51,alba,jump_dang,WR,MapRun,45:43.83,+42:07.32,,true,2857812,76561198058193878,[U:1:97928150],
2024-05-22,03:36.51,im doopid,jump_dang,WR,MapRun,25:03.66,+21:27.15,,true,2869889,76561197970114051,[U:1:9848323],
2024-06-12,03:36.51,0mger,jump_dang,WR,MapRun,1:00:03.45,+56:26.94,,true,2900758,76561198053615827,[U:1:93350099],
2024-06-12,03:36.51,Oujni,jump_dang,WR,MapRun,29:53.92,+26:17.41,,true,2900758,76561198124567224,[U:1:164301496],
2024-06-12,03:36.51,squanchy,jump_dang,WR,MapRun,47:10.41,+43:33.90,,true,2900758,76561197976728947,[U:1:16463219],
2024-06-18,03:36.51,nikita@gosuslugi,jump_dang,WR,MapRun,11:37.45,+08:00.94,,true,2910188,,,
