date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2018-08-06,07:23.05,MEGAWOP,jump_data_final,WR,Map,record,first_record,,,,727486,76561198045778439,[U:1:85512711],
2018-08-06,03:42.85,deceptive -ttdar,jump_data_final,WR,Map,record,map_record,,-03:40.20,,727490,,,
2018-08-06,02:27.80,deceptive -ttdar,jump_data_final,WR,Map,record,map_record,,-01:15.04,01:15.04,727490,,,
2018-08-06,02:25.17,vice -ttdark,jump_data_final,WR,Map,record,map_record,,-00:02.63,,727490,76561198366368448,[U:1:406102720],
2018-08-06,00:38.09,MEGAWOP,jump_data_final,WR,Bonus 3,command,wr_command,,,,,,,
2018-08-06,02:13.96,vice -ttdark,jump_data_final,WR,Map,record,map_record,,-00:11.20,00:11.20,727490,76561198366368448,[U:1:406102720],
2018-08-06,01:35.60,vice -ttdark,jump_data_final,WR,Map,record,map_record,,-00:14.12,00:38.35,727490,76561198366368448,[U:1:406102720],
2018-08-06,00:11.42,vice -ttdark,jump_data_final,WR,Bonus 3,command,wr_command,,,,,76561198366368448,[U:1:406102720],
2018-08-06,01:33.39,neon,jump_data_final,WR,Map,command,rank_command,,,,,,,
2018-08-11,01:32.43,cherry blood,jump_data_final,WR,Map,record,map_record,,-00:00.95,00:03.17,731228,76561198366368448,[U:1:406102720],
2018-08-21,01:28.26,Starkie,jump_data_final,WR,Map,record,map_record,,-00:04.17,00:05.61,739902,76561198008003429,[U:1:47737701],
2018-08-21,01:26.87,Starkie,jump_data_final,WR,Map,record,map_record,,-00:01.38,00:01.38,739939,76561198008003429,[U:1:47737701],
2019-03-10,01:25.27,neon,jump_data_final,WR,Map,record,map_record,,-00:01.60,00:08.11,912016,76561198041137841,[U:1:80872113],
2019-07-05,01:21.80,newjuls,jump_data_final,WR,Map,record,map_record,,-00:03.46,00:04.00,1002992,76561198396018338,[U:1:435752610],
2020-04-21,01:21.03,pi,jump_data_final,WR,Map,record,map_record,,-00:00.77,00:15.88,1230664,76561198222006144,[U:1:261740416],
2021-07-04,01:19.63,phancy,jump_data_final,WR,Map,record,map_record,,-00:01.40,00:14.79,1629586,76561198116189732,[U:1:155924004],
2021-07-04,01:17.22,phancy,jump_data_final,WR,Map,record,map_record,,-00:02.41,00:02.41,1629586,76561198116189732,[U:1:155924004],
2022-10-24,01:17.02,Yttam,jump_data_final,WR,Map,record,map_record,,-00:00.19,00:03.18,2096634,76561198035204545,[U:1:74938817],
2022-12-13,01:16.27,jtravs,jump_data_final,WR,Map,record,map_record,,-00:00.75,00:00.75,2145814,76561198117262056,[U:1:156996328],
2023-01-12,01:14.55,gangster spongeb,jump_data_final,WR,Map,record,map_record,,-00:01.72,00:04.96,2178595,,,
2023-01-26,01:13.65,Matty,jump_data_final,WR,Map,record,map_record,,-00:00.90,00:02.35,2193808,76561198035204545,[U:1:74938817],
2023-09-08,01:10.14,vice,jump_data_final,WR,Map,record,map_record,,-00:03.51,00:14.49,2492150,76561198366368448,[U:1:406102720],
2024-01-29,00:12.28,scoob,jump_data_final,WR,Bonus 2,command,rank_command,,,,,,,
2024-04-05,00:03.06,Waldo,jump_data_final,WR,Bonus 1,command,rank_command,,,,,,,
2025-02-08,00:08.32,Waldo,jump_data_final,WR,Bonus 3,command,rank_command,,,,,,,
2025-05-07,01:08.66,newjuls,jump_data_final,WR,Map,record,map_record,,-00:01.48,00:02.16,3308471,76561198396018338,[U:1:435752610],
