date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1593905,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1593905,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1593995,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1593995,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1593995,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1593999,76561198020256631,[U:1:59990903],
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1593999,76561198064099697,[U:1:103833969],
2021-05-21,00:02.70,Kratos,jump_deep_final,WR,Bonus 1,,,,false,1594004,76561198930334128,[U:1:970068400],
2021-05-21,00:04.98,Kratos,jump_deep_final,WR,Bonus 1 First,,,,false,1594004,76561198930334128,[U:1:970068400],
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594004,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594004,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594004,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594008,76561198116189732,[U:1:155924004],
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594008,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594008,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594013,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594013,76561198020256631,[U:1:59990903],
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594013,76561198064099697,[U:1:103833969],
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594016,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594016,76561198020256631,[U:1:59990903],
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594016,76561198064099697,[U:1:103833969],
2021-05-21,02:34.50,Waldo,jump_deep_final,WR,Compact,,,,false,1594018,76561198020256631,[U:1:59990903],
2021-05-21,02:34.50,Fungus Obungus,jump_deep_final,WR,MapRun,04:20.05,+01:45.55,,true,1594018,76561198053967778,[U:1:93702050],
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594018,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,MapRecord,,-00:16.15,,false,1594018,76561198020256631,[U:1:59990903],
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,FirstRecord,,,,false,1594018,76561198064099697,[U:1:103833969],
2021-05-21,02:38.91,phancy,jump_deep_final,WR,MapRecord,,-00:43.38,00:59.89,false,1594020,76561198116189732,[U:1:155924004],
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594020,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594020,,,
2021-05-21,04:16.53,Waldo,jump_deep_final,WR,IRC,,-00:16.15,,false,1594023,,,
2021-05-21,04:32.68,lkowoede,jump_deep_final,WR,IRCSet,,,,false,1594023,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594031,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594033,76561198116189732,[U:1:155924004],
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594036,,,
2021-05-21,02:38.91,phancy,jump_deep_final,WR,IRC,,-00:43.38,,false,1594038,,,
2021-05-22,02:26.86,phancy,jump_deep_final,WR,MapRecord,,-00:07.63,00:08.37,false,1594872,76561198116189732,[U:1:155924004],
2021-05-22,02:26.86,phancy,jump_deep_final,WR,IRC,,-00:07.63,,false,1594921,,,
2021-05-22,02:26.86,phancy,jump_deep_final,WR,IRC,,-00:07.63,,false,1594927,,,
2021-05-22,02:26.86,phancy,jump_deep_final,WR,IRC,,-00:07.63,,false,1594929,,,
2021-05-22,02:26.86,phancy,jump_deep_final,WR,IRC,,-00:07.63,,false,1594934,,,
2021-05-22,02:26.86,phancy,jump_deep_final,WR,IRC,,-00:07.63,,false,1594938,,,
2021-05-28,02:21.25,song,jump_deep_final,WR,IRC,,-00:05.61,,false,1599505,,,
2021-05-28,02:21.25,song,jump_deep_final,WR,IRC,,-00:05.61,,false,1599555,,,
2021-06-29,02:19.38,MEGAWOP,jump_deep_final,WR,IRC,,-00:01.87,,false,1625303,,,
2022-04-10,02:14.70,cander,jump_deep_final,WR,MapRecord,,-00:04.68,00:17.20,false,1912616,76561198318722879,[U:1:358457151],
2022-11-21,00:02.68,vashoi,jump_deep_final,WR,Bonus 1,,-00:00.01,00:00.30,false,2124096,76561198377607948,[U:1:417342220],
2023-10-04,02:12.03,Matty,jump_deep_final,WR,MapRecord,,-00:02.67,00:40.83,false,2529927,76561198035204545,[U:1:74938817],
2023-10-04,02:12.03,Matty,jump_deep_final,WR,Compact,,,,false,2529927,76561198035204545,[U:1:74938817],
2023-10-04,02:14.70,cander,jump_deep_final,WR,Compact,,,,false,2529927,,,
2024-08-05,02:12.03,Matty,jump_deep_final,WR,Compact,,,,false,2979415,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072082,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072171,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072176,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072097,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,MapRecord,,-00:03.75,00:06.42,false,3072109,76561198318722879,[U:1:358457151],
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072204,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072193,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072277,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072238,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3071993,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072259,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072148,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072284,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072244,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072283,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072290,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072231,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072264,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072267,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072287,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072252,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3071944,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072288,,,
2024-10-06,02:08.28,cander,jump_deep_final,WR,IRC,,-00:03.75,,false,3072279,,,
2024-11-25,02:08.28,cander,jump_deep_final,WR,Compact,,,,false,3145682,,,
