date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-04-23,42:11.67,Elandi!!,jump_depression_a11,WR,IRC,,-04:12.94,,false,1571884,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571884,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571884,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571884,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571891,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571891,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571891,76561198254280928,[U:1:294015200],
2021-04-23,41:31.12,JPBGamer,jump_depression_a11,WR,IRC,,-00:40.54,,false,1571892,,,
2021-04-23,42:11.67,Elandi!!,jump_depression_a11,WR,IRC,,-04:12.94,,false,1571892,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571892,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571892,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571892,,,
2021-04-23,41:31.12,JPBGamer,jump_depression_a11,WR,IRC,,-00:40.54,,false,1571894,,,
2021-04-23,42:11.67,Elandi!!,jump_depression_a11,WR,IRC,,-04:12.94,,false,1571894,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571894,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571894,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571894,,,
2021-04-23,35:55.83,newjuls,jump_depression_a11,WR,IRC,,-05:35.29,,false,1571899,,,
2021-04-23,41:31.12,JPBGamer,jump_depression_a11,WR,IRC,,-00:40.54,,false,1571899,,,
2021-04-23,42:11.67,Elandi!!,jump_depression_a11,WR,IRC,,-04:12.94,,false,1571899,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571899,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571899,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571899,,,
2021-04-23,42:11.67,Elandi!!,jump_depression_a11,WR,IRC,,-04:12.94,,false,1571914,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571914,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571914,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571914,,,
2021-04-23,46:24.61,meso,jump_depression_a11,WR,IRC,,-02:07.14,,false,1571919,,,
2021-04-23,48:31.75,Zyphon,jump_depression_a11,WR,IRC,,-05:02.98,,false,1571919,,,
2021-04-23,53:34.74,Aventador,jump_depression_a11,WR,IRCSet,,,,false,1571919,,,
2021-04-23,02:16.72,Aventador,jump_depression_a11,WR,Course 10,,-00:54.15,,false,1571926,76561198254280928,[U:1:294015200],
2021-04-23,02:18.18,♫Delirious♫,jump_depression_a11,WR,Course 9 First,,,,false,1571926,76561198057735172,[U:1:97469444],
2021-04-23,02:35.98,Aventador,jump_depression_a11,WR,Course 8 First,,,,false,1571926,76561198254280928,[U:1:294015200],
2021-04-23,02:39.61,JPBGamer,jump_depression_a11,WR,Course 4,,-00:08.02,00:39.34,false,1571926,76561198172573209,[U:1:212307481],
2021-04-23,02:47.64,meso,jump_depression_a11,WR,Course 4,,-00:54.58,,false,1571926,76561198343592483,[U:1:383326755],
2021-04-23,03:10.87,TheBanchou,jump_depression_a11,WR,Course 10 First,,,,false,1571926,76561198107616407,[U:1:147350679],
2021-04-23,03:25.18,Zyphon,jump_depression_a11,WR,Course 7,,-00:09.34,,false,1571926,76561198082664774,[U:1:122399046],
2021-04-23,03:26.65,Zyphon,jump_depression_a11,WR,Course 1,,-02:11.56,,false,1571926,76561198082664774,[U:1:122399046],
2021-04-23,03:34.53,meso,jump_depression_a11,WR,Course 7,,-00:15.42,,false,1571926,76561198343592483,[U:1:383326755],
2021-04-23,03:42.22,ronv45,jump_depression_a11,WR,Course 4,,-00:26.46,,false,1571926,76561198023181047,[U:1:62915319],
2021-04-23,03:49.95,♫Delirious♫,jump_depression_a11,WR,Course 7 First,,,,false,1571926,76561198057735172,[U:1:97469444],
2021-04-23,03:52.47,Face,jump_depression_a11,WR,Course 5,,-00:47.85,,false,1571926,76561198010648520,[U:1:50382792],
2021-04-23,04:05.55,meso,jump_depression_a11,WR,Course 3,,-00:03.66,,false,1571926,76561198343592483,[U:1:383326755],
2021-04-23,04:08.68,Aventador,jump_depression_a11,WR,Course 4 First,,,,false,1571926,76561198254280928,[U:1:294015200],
2021-04-23,04:09.21,Zyphon,jump_depression_a11,WR,Course 3,,-00:15.31,,false,1571926,76561198082664774,[U:1:122399046],
2021-04-23,04:24.52,Aventador,jump_depression_a11,WR,Course 3 First,,,,false,1571926,76561198254280928,[U:1:294015200],
2021-04-23,04:27.69,JPBGamer,jump_depression_a11,WR,Course 6,,-00:11.43,,false,1571926,76561198172573209,[U:1:212307481],
