date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2018-03-03,07:02.97,--,jump_desa_rc2,WR,MapRun,16:10.42,+09:07.45,,true,589557,76561198368263090,[U:1:407997362],
2018-04-05,06:09.97,Boshy,jump_desa_rc2,WR,MapRecord,,-00:42.81,00:42.81,false,617047,76561198046601398,[U:1:86335670],
2018-04-05,06:52.78,Boshy,jump_desa_rc2,WR,MapRecord,,-00:10.18,00:10.18,false,617047,76561198046601398,[U:1:86335670],
2021-07-16,00:07.11,IV,jump_desa_rc2,WR,Bonus 1,,-00:00.12,00:00.30,false,1639766,76561198036170813,[U:1:75905085],
2021-08-29,05:58.21,💗 ⁧⁧ Meti,jump_desa_rc2,WR,IRC,,-00:11.76,,false,1687191,,,
2021-08-29,05:58.21,💗 ⁧⁧ Meti,jump_desa_rc2,WR,IRC,,-00:11.76,,false,1687201,,,
2021-08-29,05:58.21,💗 ⁧⁧ Meti,jump_desa_rc2,WR,MapRecord,,-00:11.76,01:19.36,false,1687233,76561198096749316,[U:1:136483588],
2022-06-03,05:49.38,ondkaja,jump_desa_rc2,WR,MapRecord,,-00:08.83,01:55.14,false,1965145,76561198010123351,[U:1:49857623],
2022-06-25,05:39.54,Kratos,jump_desa_rc2,WR,MapRun,23:51.57,+18:12.03,,true,1985965,76561198930334128,[U:1:970068400],
2022-06-25,05:37.29,ondkaja,jump_desa_rc2,WR,MapRecord,,-00:02.25,00:12.09,false,1986327,76561198010123351,[U:1:49857623],
2022-06-25,05:37.29,ondkaja,jump_desa_rc2,WR,IRC,,-00:02.25,,false,1986372,,,
2022-12-29,00:07.03,triti,jump_desa_rc2,WR,Bonus 1,,-00:00.07,00:00.09,false,2161692,76561199058834773,[U:1:1098569045],
2023-09-08,05:34.98,makly,jump_desa_rc2,WR,IRC,,-00:02.31,,false,2493115,,,
2023-09-09,05:34.98,makly,jump_desa_rc2,WR,MapRecord,,-00:02.31,00:09.54,false,2493296,76561197976761681,[U:1:16495953],
2023-09-17,04:48.91,x_ray2700,jump_desa_rc2,WR,MapRecord,,-00:46.06,00:59.14,false,2506487,76561198979680671,[U:1:1019414943],
2023-09-17,04:48.91,x_ray2700,jump_desa_rc2,WR,IRC,,-00:46.06,,false,2506562,,,
2025-01-20,00:06.31,musli,jump_desa_rc2,WR,Bonus 1,,-00:00.16,00:00.16,false,3228723,76561198379555950,[U:1:419290222],
2025-01-20,00:06.48,musli,jump_desa_rc2,WR,Bonus 1,,-00:00.04,00:00.54,false,3228723,76561198379555950,[U:1:419290222],
