date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2014-07-08,03:07.93,Gebobus,jump_deserted_b1,WR,MapRecord,,-00:03.49,00:39.83,false,9863,76561198044263100,STEAM_0:0:41998686
2014-07-11,03:00.46,cody,jump_deserted_b1,WR,MapRecord,,-00:07.46,00:18.43,false,10384,76561198078488228,STEAM_0:0:59111250
2014-07-29,02:54.04,Superchuck,jump_deserted_b1,WR,IRC,,-00:06.42,,false,12757,,
2014-07-31,02:36.82,cody,jump_deserted_b1,WR,MapRecord,,-00:17.21,00:23.64,false,13132,76561198078488228,STEAM_0:0:59111250
2014-09-06,02:30.99,Donatello,jump_deserted_b1,WR,MapRecord,,-00:05.82,00:05.82,false,20517,76561198078488228,[U:1:118222500]
2014-10-10,02:12.86,Kucino -kk,jump_deserted_b1,WR,MapRecord,,-00:18.13,00:49.15,false,22819,76561198045405184,[U:1:85139456]
2014-11-06,02:10.76,lewinsky,jump_deserted_b1,WR,MapRecord,,-00:02.10,00:03.24,false,28673,,
2015-02-23,02:08.68,Soup Can,jump_deserted_b1,WR,MapRecord,,-00:02.07,,false,64393,76561198029285343,[U:1:69019615]
2015-06-16,01:58.50,Outrider,jump_deserted_b1,WR,MapRecord,,-00:02.57,00:02.57,false,107292,76561198199118091,[U:1:238852363]
2015-08-15,01:57.94,Soup caN -tt | t,jump_deserted_b1,WR,MapRecord,,-00:00.55,00:05.68,false,128672,,
2017-11-19,01:45.78,kag,jump_deserted_b1,WR,MapRun,02:59.30,+01:13.52,,true,506606,,
2018-01-14,01:45.77,Fedorable,jump_deserted_b1,WR,MapRun,03:11.30,+01:25.53,,true,551417,76561198045462965,[U:1:85197237]
2018-04-01,01:39.10,Soup -tt,jump_deserted_b1,WR,MapRecord,,-00:06.67,,false,614066,,
2019-04-10,01:32.86,Soup -tt,jump_deserted_b1,WR,MapRecord,,-00:03.31,00:06.24,false,936499,76561198029285343,[U:1:69019615]
2023-07-31,01:28.29,Chi's Cat  Nancy,jump_deserted_b1,WR,MapRun,29:38.11,+28:09.82,,true,2432321,,
2025-04-17,01:28.28,riotbz,jump_deserted_b1,WR,MapRun,03:57.10,+02:28.82,00:55.30,true,3279737,76561198065169685,[U:1:104903957]
2025-05-09,01:27.40,newjuls,jump_deserted_b1,WR,IRC,,-00:00.88,,false,3311045,,
