date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583051,,,
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583051,76561198097974718,[U:1:137708990],
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583052,76561198020256631,[U:1:59990903],
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583052,,,
2021-05-07,00:04.36,† king,jump_detached_rcx,WR,Bonus 2 First,,,,false,1583055,76561198097974718,[U:1:137708990],
2021-05-07,00:09.57,† king,jump_detached_rcx,WR,Bonus 3 First,,,,false,1583055,76561198097974718,[U:1:137708990],
2021-05-07,00:12.99,† king,jump_detached_rcx,WR,Bonus 4 First,,,,false,1583055,76561198097974718,[U:1:137708990],
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583055,,,
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,FirstRecord,,,,false,1583055,76561198097974718,[U:1:137708990],
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583056,76561198020256631,[U:1:59990903],
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583056,,,
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583062,,,
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583063,,,
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583063,76561198097974718,[U:1:137708990],
2021-05-07,00:02.53,Waldo,jump_detached_rcx,WR,Bonus 2,,-00:01.83,,false,1583065,76561198020256631,[U:1:59990903],
2021-05-07,00:03.73,Gorge004,jump_detached_rcx,WR,Bonus 1,,-00:00.13,,false,1583065,76561198056605260,[U:1:96339532],
2021-05-07,00:03.87,Waldo,jump_detached_rcx,WR,Bonus 1 First,,,,false,1583065,76561198020256631,[U:1:59990903],
2021-05-07,00:06.15,Waldo,jump_detached_rcx,WR,Bonus 3,,-00:03.42,,false,1583065,76561198020256631,[U:1:59990903],
2021-05-07,00:06.37,Waldo,jump_detached_rcx,WR,Bonus 4,,-00:06.61,,false,1583065,76561198020256631,[U:1:59990903],
2021-05-07,02:17.55,Voyager,jump_detached_rcx,WR,MapRun,04:06.64,+01:49.09,,true,1583065,76561198073172510,[U:1:112906782],
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,MapRecord,,-00:59.95,,false,1583065,76561198020256631,[U:1:59990903],
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583065,,,
2021-05-07,03:22.84,Waldo,jump_detached_rcx,WR,IRC,,-00:59.95,,false,1583070,76561198020256631,[U:1:59990903],
2021-05-07,04:22.80,† king,jump_detached_rcx,WR,IRCSet,,,,false,1583070,76561198097974718,[U:1:137708990],
2021-05-08,00:03.01,Gorge004,jump_detached_rcx,WR,Bonus 1,,-00:00.10,00:00.72,false,1583184,76561198056605260,[U:1:96339532],
2021-05-08,01:23.74,bluff o))),jump_detached_rcx,WR,MapRun,16:33.58,+15:09.84,,true,1583184,76561199013528025,[U:1:1053262297],
2021-05-08,00:01.24,vice,jump_detached_rcx,WR,Bonus 2,,-00:00.06,00:02.02,false,1583479,76561198366368448,[U:1:406102720],
2021-05-08,00:02.29,vice,jump_detached_rcx,WR,Bonus 1,,-00:00.72,,false,1583479,76561198366368448,[U:1:406102720],
2021-05-08,00:02.79,vice,jump_detached_rcx,WR,Bonus 3,,-00:01.41,00:01.89,false,1583479,76561198366368448,[U:1:406102720],
2021-05-08,00:02.05,IV,jump_detached_rcx,WR,Bonus 1,,-00:00.24,,false,1583671,76561198036170813,[U:1:75905085],
2021-05-10,01:22.18,Matty,jump_detached_rcx,WR,IRC,,-00:01.56,,false,1585407,,,
2021-05-10,01:22.18,Matty,jump_detached_rcx,WR,MapRecord,,-00:01.56,00:16.09,false,1585481,76561198035204545,[U:1:74938817],
2021-05-11,01:14.52,Muddy Buddy,jump_detached_rcx,WR,MapRun,02:23.68,+01:09.16,,true,1585555,76561198069991227,[U:1:109725499],
