date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583051,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583051,76561198094169965,[U:1:133904237],
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583052,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583052,,,
2021-05-07,00:07.59,dick free from a,jump_detached_rcx,WR,Bonus 4,,-00:00.07,00:00.07,false,1583055,,,
2021-05-07,00:07.66,dick free from a,jump_detached_rcx,WR,Bonus 4,,-00:00.13,00:01.90,false,1583055,,,
2021-05-07,00:08.29,Warped,jump_detached_rcx,WR,Bonus 2,,-00:01.18,,false,1583055,76561197989916494,[U:1:29650766],
2021-05-07,00:09.48,sgt Bytheway,jump_detached_rcx,WR,Bonus 2,,-00:05.62,,false,1583055,76561198094169965,[U:1:133904237],
2021-05-07,00:13.45,ondkaja,jump_detached_rcx,WR,Bonus 1,,-00:00.87,00:01.72,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:14.32,Gorge004,jump_detached_rcx,WR,Bonus 1,,,,false,1583055,76561198056605260,[U:1:96339532],
2021-05-07,00:15.10,ondkaja,jump_detached_rcx,WR,Bonus 2 First,,,,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:18.09,ondkaja,jump_detached_rcx,WR,Bonus 4 First,,,,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:18.19,ondkaja,jump_detached_rcx,WR,Bonus 3,,-00:00.21,00:01.72,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:18.40,juup -rng,jump_detached_rcx,WR,Bonus 3,,-00:01.51,,false,1583055,76561198243952326,[U:1:283686598],
2021-05-07,00:19.92,ondkaja,jump_detached_rcx,WR,Bonus 3,,-00:00.93,00:00.93,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:20.85,ondkaja,jump_detached_rcx,WR,Bonus 3,,-00:09.48,,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,00:31.23,sgt Bytheway,jump_detached_rcx,WR,Bonus 3 First,,,,false,1583055,76561198094169965,[U:1:133904237],
2021-05-07,09:02.28,dick free from a,jump_detached_rcx,WR,MapRun,2:20:41.80,+2:11:39.52,,true,1583055,,,
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,MapRecord,,-14:47.98,21:12.27,false,1583055,76561198010123351,[U:1:49857623],
2021-05-07,12:52.81,juup -rng,jump_detached_rcx,WR,MapRun,17:43.66,+04:50.85,,true,1583055,76561198243952326,[U:1:283686598],
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,FirstRecord,,,,false,1583055,76561198094169965,[U:1:133904237],
2021-05-07,27:40.80,ondkaja,jump_detached_rcx,WR,MapRun,34:05.08,+06:24.28,,true,1583055,76561198010123351,[U:1:49857623],
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583056,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583056,,,
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583063,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583063,,,
2021-05-07,00:14.32,Gorge004,jump_detached_rcx,WR,Bonus 1 First,,,,false,1583065,76561198056605260,[U:1:96339532],
2021-05-07,09:02.28,tomato tom,jump_detached_rcx,WR,MapRun,45:44.17,+36:41.89,,true,1583065,76561198120374593,[U:1:160108865],
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583065,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583065,,,
2021-05-07,27:40.80,Voyager,jump_detached_rcx,WR,MapRun,31:16.68,+03:35.88,,true,1583065,76561198073172510,[U:1:112906782],
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583070,,,
2021-05-07,27:40.80,sgt Bytheway,jump_detached_rcx,WR,IRCSet,,,,false,1583070,,,
2021-05-07,12:52.81,ondkaja,jump_detached_rcx,WR,IRC,,-14:47.98,,false,1583099,,,
2021-05-08,09:02.28,MrHappyCamper,jump_detached_rcx,WR,MapRun,22:05.31,+13:03.03,,true,1583184,76561198053056815,[U:1:92791087],
2021-05-08,09:02.28,put a donk on it,jump_detached_rcx,WR,MapRun,17:05.80,+08:03.52,,true,1583184,76561198109904512,[U:1:149638784],
2021-05-08,06:31.57,riot,jump_detached_rcx,WR,IRC,,-02:30.70,,false,1583401,,,
2021-05-08,00:08.26,vice,jump_detached_rcx,WR,Bonus 1,,-00:00.12,00:00.73,false,1583479,76561198366368448,[U:1:406102720],
2021-05-08,06:31.57,riot,jump_detached_rcx,WR,MapRecord,,-02:30.70,04:19.86,false,1583479,76561198065169685,[U:1:104903957],
2021-05-08,09:02.28,riot,jump_detached_rcx,WR,MapRun,10:51.43,+01:49.15,,true,1583479,76561198065169685,[U:1:104903957],
2021-05-08,05:08.71,Ww! Darkknio™,jump_detached_rcx,WR,MapRun,1:06:43.66,+1:01:34.95,,true,1583671,76561198063242136,[U:1:102976408],
2021-05-08,05:08.71,beagle,jump_detached_rcx,WR,MapRun,2:24:42.91,+2:19:34.20,,true,1583671,76561198084406120,[U:1:124140392],
2021-05-08,05:08.72,IV,jump_detached_rcx,WR,MapRun,1:05:17.88,+1:00:09.16,,true,1583671,76561198036170813,[U:1:75905085],
2021-05-08,05:08.72,phancy,jump_detached_rcx,WR,MapRun,40:56.43,+35:47.71,,true,1583671,76561198116189732,[U:1:155924004],
2021-05-08,06:31.57,Katto -rng,jump_detached_rcx,WR,MapRun,20:10.24,+13:38.67,,true,1583671,76561198346669763,[U:1:386404035],
2021-05-08,06:31.57,kurt,jump_detached_rcx,WR,MapRun,1:29:25.78,+1:22:54.21,,true,1583671,76561198343592483,[U:1:383326755],
2021-05-08,06:31.57,twitch.tv/warped,jump_detached_rcx,WR,MapRun,1:02:04.42,+55:32.85,,true,1583671,,,
2021-05-09,00:04.38,dick free from a,jump_detached_rcx,WR,Bonus 2,,-00:00.90,00:03.76,false,1584016,,,
2021-05-09,00:06.78,dick free from a,jump_detached_rcx,WR,Bonus 4,,-00:00.15,00:00.21,false,1584016,,,
2021-05-09,00:03.73,Katto -rng,jump_detached_rcx,WR,Bonus 2,,-00:00.64,00:02.55,false,1584304,76561198346669763,[U:1:386404035],
2021-05-09,00:06.13,Katto -rng,jump_detached_rcx,WR,Bonus 4,,-00:00.64,00:00.72,false,1584304,76561198346669763,[U:1:386404035],
2021-05-09,00:07.44,vice,jump_detached_rcx,WR,Bonus 1,,-00:00.82,00:00.82,false,1584304,76561198366368448,[U:1:406102720],
2021-05-10,04:06.58,ondkaja,jump_detached_rcx,WR,MapRun,18:24.49,+14:17.91,,true,1585236,76561198010123351,[U:1:49857623],
2021-05-12,04:02.37,tripbwai,jump_detached_rcx,WR,MapRun,10:02.65,+06:00.28,07:03.15,true,1587118,76561198109904512,[U:1:149638784],
2021-05-14,03:58.66,Zyphon,jump_detached_rcx,WR,MapRun,1:17:11.83,+1:13:13.17,,true,1588585,76561198082664774,[U:1:122399046],
