date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-09-09,04:26.47,Gebobus,jump_devils_redo,WR,Course 2,,-00:00.37,04:17.33,false,21331,76561198044263100,[U:1:83997372],
2014-09-09,05:16.97,Gebobus,jump_devils_redo,WR,MapRecord,,-00:36.39,04:28.72,false,21331,76561198044263100,[U:1:83997372],
2014-10-13,04:15.26,jondy,jump_devils_redo,WR,Course 2,,-00:11.20,00:41.76,false,23497,76561198055778722,[U:1:95512994],
2014-10-13,04:45.01,jondy,jump_devils_redo,WR,MapRecord,,-00:31.96,00:39.61,false,23497,76561198055778722,[U:1:95512994],
2014-11-16,00:19.81,Pluto,jump_devils_redo,WR,Course 1,,-00:00.52,00:00.54,false,31005,76561198044511072,[U:1:84245344],
2015-01-18,04:44.06,LessThanThree,jump_devils_redo,WR,MapRecord,,-00:00.95,00:29.88,false,51657,76561198066563951,[U:1:106298223],
2015-02-07,03:36.77,jdollo,jump_devils_redo,WR,Course 2,,-00:20.02,00:20.02,false,58811,76561198055778722,[U:1:95512994],
2015-02-07,03:56.80,jdollo,jump_devils_redo,WR,Course 2,,-00:17.16,00:18.46,false,58811,76561198055778722,[U:1:95512994],
2015-02-07,04:13.37,jdollo,jump_devils_redo,WR,MapRecord,,-00:13.93,00:13.93,false,58811,76561198055778722,[U:1:95512994],
2015-02-07,04:27.31,jdollo,jump_devils_redo,WR,MapRecord,,-00:16.75,00:17.70,false,58811,76561198055778722,[U:1:95512994],
2015-02-07,04:27.31,jdollo,jump_devils_redo,WR,Compact,,,,false,58811,76561198055778722,[U:1:95512994],
2015-02-07,04:27.31,jdollo,jump_devils_redo,WR,Compact,,,,false,58811,76561198055778722,[U:1:95512994],
2015-05-10,04:13.37,xzibit pimp my a,jump_devils_redo,WR,Compact,,,,false,91976,,,
2015-05-10,04:13.37,Cool Down,jump_devils_redo,WR,MapRun,29:11.43,+24:58.06,,true,91976,76561198059798346,[U:1:99532618],
