date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-05,01:23.24,Xtra,jump_dystopia,WR,Course 5,,-00:04.02,01:22.11,false,9578,76561198041487315,STEAM_0:1:40610793,
2014-07-05,04:16.63,Xtra,jump_dystopia,WR,MapRecord,,-00:28.99,08:11.75,false,9578,76561198041487315,STEAM_0:1:40610793,
2014-07-05,04:16.63,Xtra,jump_dystopia,WR,IRC,,-00:28.99,,false,9580,,,
2014-07-20,03:50.96,( ͡° ͜ʖ ͡°) Lenn...,jump_dystopia,WR,MapRecord,,-00:25.67,03:11.67,false,11597,76561198042884040,STEAM_0:0:41309156,
2014-07-20,03:50.96,( ͡° ͜ʖ ͡°) Lenn...,jump_dystopia,WR,Compact,,,,false,11597,76561198042884040,STEAM_0:0:41309156,
2014-07-20,03:50.96,( ͡° ͜ʖ ͡°) Lenn...,jump_dystopia,WR,Compact,,,,false,11597,76561198042884040,STEAM_0:0:41309156,
2014-07-20,03:50.96,( ͡° ͜ʖ ͡°) Lenn...,jump_dystopia,WR,Compact,,,,false,11597,76561198042884040,STEAM_0:0:41309156,
2014-07-20,03:50.96,( ͡° ͜ʖ ͡°) Lenn...,jump_dystopia,WR,Compact,,,,false,11597,76561198042884040,STEAM_0:0:41309156,
2014-09-06,03:34.10,Spoiler city,jump_dystopia,WR,MapRecord,,-00:16.85,00:18.64,false,20551,76561198048236806,[U:1:87971078],
2014-10-18,01:06.74,hi im sinn,jump_dystopia,WR,Course 5,,-00:02.81,00:02.81,false,24569,76561198067226764,[U:1:106961036],
2014-10-18,03:13.30,hi im sinn,jump_dystopia,WR,MapRecord,,-00:20.80,00:22.08,false,24569,76561198067226764,[U:1:106961036],
2014-10-18,03:13.30,hi im sinn,jump_dystopia,WR,Compact,,,,false,24569,76561198067226764,[U:1:106961036],
2014-10-31,03:13.30,[PH]poo,jump_dystopia,WR,Compact,,,,false,27511,,,
2014-12-28,00:19.68,[o.W.n] oX BeAsT,jump_dystopia,WR,Course 2,,-00:00.07,00:00.41,false,42150,,,
2014-12-28,03:11.51,[o.W.n] oX BeAsT,jump_dystopia,WR,MapRecord,,-00:01.78,00:23.85,false,42150,,,
2014-12-28,03:13.30,shinn ;3,jump_dystopia,WR,Compact,,,,false,42150,,,
2014-12-28,03:13.30,shinn ;3,jump_dystopia,WR,Compact,,,,false,42150,,,
2015-06-14,03:04.43,Ltfx,jump_dystopia,WR,IRC,,-00:07.08,,false,106519,76561198051610309,[U:1:91344581],
2015-06-14,00:09.20,Ltfx,jump_dystopia,WR,Course 1,,-00:00.07,00:00.07,false,106547,76561198051610309,[U:1:91344581],
2015-06-14,03:04.43,Ltfx,jump_dystopia,WR,MapRecord,,-00:07.08,00:07.71,false,106547,76561198051610309,[U:1:91344581],
2015-06-14,03:11.51,Ｆｏｒｇｉ,jump_dystopia,WR,Compact,,,,false,106547,,,
2015-06-16,03:04.43,Ltfx,jump_dystopia,WR,Compact,,,,false,107305,,,
2015-07-31,00:17.98,Peace,jump_dystopia,WR,Course 2,,-00:01.69,00:01.87,false,122217,76561198055540152,[U:1:95274424],
2015-07-31,00:58.99,879m,jump_dystopia,WR,Course 5,,-00:00.65,00:05.92,false,122217,76561198043793220,[U:1:83527492],
2015-07-31,00:59.65,Peace,jump_dystopia,WR,Course 5,,-00:02.25,00:04.68,false,122217,76561198055540152,[U:1:95274424],
2015-07-31,02:58.69,879m,jump_dystopia,WR,MapRecord,,-00:05.74,00:13.54,false,122217,76561198043793220,[U:1:83527492],
2015-07-31,03:04.43,Ltfx,jump_dystopia,WR,Compact,,,,false,122217,,,
2018-03-25,00:03.97,p4tt ☿,jump_dystopia,WR,Course 4,,,,false,607917,,,
2018-03-25,00:06.76,gancho,jump_dystopia,WR,Course 3,,,,false,607917,,,
2018-03-25,00:06.76,gancho,jump_dystopia,WR,Course 3,,,,false,607917,,,
