date,record_time,player,map,record_type,segment,evidence,evidence_source,run_time,split,improvement,demo_id,steam_id64,steam_id,steam_candidates
2021-09-03,02:33.18,💗 ⁧⁧ Meti,jump_echelon_rc1,WR,Course 1,record,zone_first,,,,1693536,76561198096749316,[U:1:136483588],
2021-09-03,06:53.08,💗 ⁧⁧ Meti,jump_echelon_rc1,WR,Course 2,record,zone_first,,,,1693536,76561198096749316,[U:1:136483588],
2021-09-03,09:41.44,💗 ⁧⁧ Meti,jump_echelon_rc1,WR,Map,record,first_record,,,,1693536,76561198096749316,[U:1:136483588],
2021-09-03,02:07.30,Waldo,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:25.87,,1693541,76561198020256631,[U:1:59990903],
2021-09-03,04:02.46,Waldo,jump_echelon_rc1,WR,Course 2,record,zone_record,,-02:50.62,,1693541,76561198020256631,[U:1:59990903],
2021-09-03,06:29.94,Waldo,jump_echelon_rc1,WR,Map,record,map_record,,-03:11.50,,1693541,76561198020256631,[U:1:59990903],
2021-09-04,01:52.35,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:14.95,,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:45.64,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:06.70,00:06.70,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:33.16,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:12.48,00:12.48,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:31.41,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:01.75,00:01.75,1693619,76561198045707908,[U:1:85442180],
2021-09-04,03:28.30,sam,jump_echelon_rc1,WR,Course 2,record,zone_record,,-01:14.88,01:14.88,1693619,76561198045707908,[U:1:85442180],
2021-09-04,05:12.39,sam,jump_echelon_rc1,WR,Map,record,map_record,,-01:22.24,01:22.24,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:26.88,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:04.53,00:04.53,1693619,76561198045707908,[U:1:85442180],
2021-09-04,03:03.31,sam,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:24.99,00:24.99,1693619,76561198045707908,[U:1:85442180],
2021-09-04,04:41.37,sam,jump_echelon_rc1,WR,Map,record,map_record,,-00:31.02,00:31.02,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:26.79,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:00.09,00:00.09,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:26.55,sam,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:00.24,00:00.24,1693619,76561198045707908,[U:1:85442180],
2021-09-04,01:23.08,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:03.46,00:22.02,1694145,76561198318722879,[U:1:358457151],
2021-09-04,02:58.68,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:04.63,00:43.53,1694145,76561198318722879,[U:1:358457151],
2021-09-04,04:33.09,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:08.28,00:43.81,1694145,76561198318722879,[U:1:358457151],
2021-09-04,02:48.45,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:10.23,00:10.23,1694145,76561198318722879,[U:1:358457151],
2021-09-04,04:30.03,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:03.06,00:03.06,1694145,76561198318722879,[U:1:358457151],
2021-09-04,01:22.15,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:00.93,00:00.93,1694145,76561198318722879,[U:1:358457151],
2021-09-04,01:19.30,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:02.85,00:02.85,1694145,76561198318722879,[U:1:358457151],
2021-09-04,02:46.08,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:02.37,00:02.37,1694145,76561198318722879,[U:1:358457151],
2021-09-04,04:18.96,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:11.07,00:11.07,1694145,76561198318722879,[U:1:358457151],
2021-09-04,02:31.98,Supergirl,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:34.39,00:34.39,1694145,76561198073524362,[U:1:113258634],
2021-09-04,02:25.20,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:06.78,00:07.30,1694145,76561198318722879,[U:1:358457151],
2021-09-04,03:58.87,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:20.08,00:20.08,1694145,76561198318722879,[U:1:358457151],
2021-09-04,01:19.20,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:00.10,00:00.10,1694145,76561198318722879,[U:1:358457151],
2021-09-04,02:21.69,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:03.51,00:03.51,1694145,76561198318722879,[U:1:358457151],
2021-09-04,03:54.54,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:04.33,00:04.33,1694145,76561198318722879,[U:1:358457151],
2021-09-06,01:18.70,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:00.49,00:00.49,1696716,76561198318722879,[U:1:358457151],
2021-09-06,01:17.05,cander,jump_echelon_rc1,WR,Course 1,record,zone_record,,-00:01.65,00:01.65,1696716,76561198318722879,[U:1:358457151],
2021-09-06,03:48.43,cander,jump_echelon_rc1,WR,Map,record,map_record,,-00:06.10,00:06.10,1696716,76561198318722879,[U:1:358457151],
2021-10-14,02:12.84,cander,jump_echelon_rc1,WR,Course 2,record,zone_record,,-00:08.05,00:08.85,1732678,76561198318722879,[U:1:358457151],
