date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id,steam_candidates
2014-07-26,03:23.65,zaaaa,jump_edgebug_b2,WR,MapRecord,,-02:39.84,09:29.14,false,12353,76561198070882254,STEAM_0:0:55308263,
2014-07-26,03:23.65,zaaaa,jump_edgebug_b2,WR,Compact,,,,false,12353,76561198070882254,STEAM_0:0:55308263,
2014-07-28,02:50.19,cody #Shunix's T...,jump_edgebug_b2,WR,MapRecord,,-00:33.46,03:13.31,false,12651,76561198078488228,STEAM_0:0:59111250,
2014-10-10,02:11.05,Seras,jump_edgebug_b2,WR,IRC,,-00:39.13,,false,22787,,,
2014-10-10,02:11.05,Seras,jump_edgebug_b2,WR,MapRecord,,-00:39.13,01:12.59,false,22795,76561198070882254,[U:1:110616526],
2014-10-12,02:02.34,Cody | EbinMemeJ,jump_edgebug_b2,WR,MapRecord,,-00:08.71,00:20.35,false,23110,,,
2014-10-18,00:08.61,soaria,jump_edgebug_b2,WR,Bonus 3,,-00:00.35,00:00.47,false,24502,76561198067226764,[U:1:106961036],
2014-11-16,01:34.91,Kucino <3 LeraYn,jump_edgebug_b2,WR,MapRecord,,-00:27.42,02:31.21,false,30951,76561198045405184,[U:1:85139456],
2015-01-10,01:34.78,Conolel Pootis,jump_edgebug_b2,WR,MapRecord,,-00:00.13,00:03.97,false,48042,76561198078488228,[U:1:118222500],
2015-03-26,01:34.78,cody -tt,jump_edgebug_b2,WR,Compact,,,,false,75303,,,
2015-03-26,01:34.78,*hisses at sunli,jump_edgebug_b2,WR,MapRun,35:44.06,+34:09.28,,true,75303,,,
2015-03-26,01:34.78,Farewell,jump_edgebug_b2,WR,MapRun,43:25.31,+41:50.53,,true,75303,76561198124166801,[U:1:163901073],
2015-03-26,01:34.78,LTT,jump_edgebug_b2,WR,MapRun,09:03.98,+07:29.20,,true,75303,76561198066563951,[U:1:106298223],
2015-03-26,01:34.78,Ricky Bøbby,jump_edgebug_b2,WR,MapRun,03:14.05,+01:39.27,02:57.11,true,75303,76561198018656606,[U:1:58390878],
2015-03-26,01:34.78,Soup Can,jump_edgebug_b2,WR,MapRun,05:37.55,+04:02.77,00:02.26,true,75303,76561198029285343,[U:1:69019615],
2015-03-26,01:34.79,Ricky Bøbby,jump_edgebug_b2,WR,MapRun,06:11.17,+04:36.38,11:33.11,true,75303,76561198018656606,[U:1:58390878],
2015-03-26,01:34.79,Ricky Bøbby,jump_edgebug_b2,WR,MapRun,17:44.29,+16:09.50,,true,75303,76561198018656606,[U:1:58390878],
2015-03-26,01:34.79,Soup Can,jump_edgebug_b2,WR,MapRun,02:55.15,+01:20.36,02:42.40,true,75303,76561198029285343,[U:1:69019615],
2015-04-12,01:31.60,Soup Can,jump_edgebug_b2,WR,MapRecord,,-00:03.18,00:18.48,false,81860,76561198029285343,[U:1:69019615],
